,이름,타율,타수대비홈런,타수대비삼진,타수대비사구,타수대비득점,타수대비타점,출루율,도루성공률
326,이지영,0.238,0,0.132450331,0.016556291,0.102649007,0.086092715,0.24600639,0.571428571
327,최윤석,0.219,0,0.1875,0,0.09375,0.0625,0.212121212,0
328,김동명,0.287,0.019138756,0.210526316,0.014354067,0.133971292,0.114832536,0.297169811,1
329,김연훈,0.167,0,0.125,0,0.041666667,0.125,0.16,0
330,고영우,0.237,0,0.236842105,0,0.342105263,0.078947368,0.230769231,0
331,윤병호,0.2,0,0.181818182,0,0.2,0.036363636,0.196428571,1
332,조영훈,0.15,0.025,0.275,0,0.025,0.075,0.146341463,0
333,박준혁,0.147308889,0.012331481,0.250093429,0.01109515,0.095825775,0.071561131,0.152818875,0.228777155
334,우동균,0.147308889,0.012331481,0.250093429,0.01109515,0.095825775,0.071561131,0.152818875,0.228777155
335,김사연,0.216,0,0.215686275,0,0.098039216,0.058823529,0.211538462,1
336,박승욱,0.203,0.018987342,0.360759494,0.025316456,0.158227848,0.069620253,0.215568862,0
337,김인태,0.186,0.046511628,0.255813953,0,0.11627907,0.093023256,0.186046512,0
338,정현석,0.147308889,0.012331481,0.250093429,0.01109515,0.095825775,0.071561131,0.152818875,0.228777155
339,김태연,0.048,0.047619048,0.523809524,0,0.047619048,0.095238095,0.047619048,0
340,이양기,0.227,0,0.227272727,0,0,0.068181818,0.217391304,0
341,조인성,0.138,0,0.310344828,0,0.034482759,0,0.137931034,0
342,하준호,0.224,0.015306122,0.290816327,0.020408163,0.158163265,0.091836735,0.235294118,0.642857143
343,김사훈,0.184,0,0.276315789,0.013157895,0.013157895,0.105263158,0.182926829,1
344,김지수,0.171,0.028571429,0.228571429,0,0.2,0.142857143,0.166666667,0
345,김재현,0.167,0.023809524,0.321428571,0.011904762,0.071428571,0.071428571,0.176470588,0
346,김상호,0.228,0,0.217821782,0.01980198,0.069306931,0.069306931,0.242718447,0
347,대니돈,0.14,0.02,0.32,0,0.1,0.04,0.14,0
348,김대륙,0.151,0,0.320754717,0.037735849,0.075471698,0.037735849,0.178571429,0
349,박기혁,0.238,0.008510638,0.217021277,0.008510638,0.093617021,0.076595745,0.237704918,0.666666667
350,김민식,0.222,0.011363636,0.15625,0.014204545,0.110795455,0.113636364,0.228021978,0.5
351,장민석,0.278,0.003344482,0.193979933,0,0.127090301,0.070234114,0.266881029,0.666666667
352,백상원,0.13,0,0.239130435,0,0.086956522,0.043478261,0.127659574,0
353,모넬,0.165,0.023529412,0.329411765,0.011764706,0.117647059,0.105882353,0.174418605,0.666666667
354,주효상,0.195,0.008474576,0.43220339,0.016949153,0.084745763,0.076271186,0.208333333,0
355,신성현,0.164,0.014925373,0.313432836,0.014925373,0.074626866,0.104477612,0.173913043,1
356,최재원,0.232,0.007042254,0.23943662,0.021126761,0.14084507,0.084507042,0.243243243,0.5
357,채은성,0.267,0.006006006,0.198198198,0.033033033,0.084084084,0.105105105,0.282485876,0.454545455
358,김주형,0.17,0,0.122641509,0.009433962,0.103773585,0.094339623,0.177570093,0
359,이동훈,0.221,0,0.114503817,0.007633588,0.175572519,0.015267176,0.214285714,0.666666667
360,한유섬,0.221,0,0.114503817,0.007633588,0.175572519,0.015267176,0.214285714,0.666666667
361,박대온,0.221,0,0.114503817,0.007633588,0.175572519,0.015267176,0.214285714,0.666666667
362,장기영,0.221,0,0.114503817,0.007633588,0.175572519,0.015267176,0.214285714,0.666666667
363,김동욱,0.221,0,0.114503817,0.007633588,0.175572519,0.015267176,0.214285714,0.666666667
363,고장혁,0.221,0,0.114503817,0.007633588,0.175572519,0.015267176,0.214285714,0.666666667
