,이름,타율,타수대비홈런,타수대비삼진,타수대비사구,타수대비득점,타수대비타점,출루율,도루성공률
0,김재환,0.334,0.083491461,0.25426945,0.017077799,0.197343454,0.252371917,0.345149254,1
1,박병호,0.345,0.1075,0.285,0.0425,0.22,0.28,0.371702638,0
2,양의지,0.358,0.0523918,0.091116173,0.029612756,0.191343964,0.175398633,0.376106195,1
3,전준우,0.342,0.059352518,0.147482014,0.012589928,0.212230216,0.161870504,0.34929078,0.5
4,로하스,0.305,0.076241135,0.25177305,0.012411348,0.20212766,0.20212766,0.312937063,0.580645161
5,손아섭,0.329,0.047016275,0.179023508,0.003616637,0.197106691,0.168173599,0.330935252,0.869565217
6,러프,0.33,0.065217391,0.211462451,0.035573123,0.191699605,0.247035573,0.353053435,0.625
7,안치홍,0.342,0.046558704,0.115384615,0.020242915,0.178137652,0.238866397,0.35515873,0.833333333
8,최형우,0.339,0.047348485,0.164772727,0.013257576,0.174242424,0.195075758,0.347663551,1
9,김현수,0.362,0.04415011,0.134657837,0.002207506,0.209713024,0.222958057,0.363436123,0.25
10,로맥,0.316,0.081439394,0.232954545,0.018939394,0.193181818,0.202651515,0.328996283,0.666666667
11,채은성,0.331,0.047258979,0.183364839,0.017013233,0.147448015,0.224952741,0.342007435,0.75
12,최주환,0.333,0.050096339,0.171483622,0.019267823,0.167630058,0.208092486,0.345935728,1
13,버나디나,0.31,0.038986355,0.200779727,0.019493177,0.20662768,0.136452242,0.321292776,0.711111111
14,나성범,0.318,0.041366906,0.235611511,0.026978417,0.197841727,0.163669065,0.336252189,0.882352941
15,이재원,0.329,0.041769042,0.15970516,0.029484029,0.154791155,0.14004914,0.345153664,0
16,구자욱,0.333,0.041841004,0.230125523,0.010460251,0.209205021,0.175732218,0.338842975,1
17,이대호,0.333,0.068139963,0.138121547,0.025782689,0.149171271,0.230202578,0.350089767,0
18,김재호,0.311,0.039800995,0.191542289,0.009950249,0.194029851,0.186567164,0.315403423,0.75
19,이정후,0.355,0.013071895,0.126361656,0.017429194,0.176470588,0.124183007,0.363829787,0.733333333
20,호잉,0.306,0.056710775,0.175803403,0.009451796,0.160680529,0.207939509,0.312734082,0.71875
21,유강남,0.296,0.044705882,0.188235294,0.021176471,0.124705882,0.155294118,0.309633028,0
22,김하성,0.288,0.039138943,0.15851272,0.009784736,0.18590998,0.164383562,0.294003868,0.8
23,허경민,0.324,0.019379845,0.100775194,0.031007752,0.164728682,0.153100775,0.340782123,0.833333333
24,한동민,0.284,0.08436214,0.255144033,0.032921811,0.199588477,0.236625514,0.306772908,0.666666667
25,최정,0.244,0.086206897,0.31773399,0.056650246,0.233990148,0.18226601,0.284382284,0.818181818
26,유한준,0.339,0.046728972,0.123831776,0.004672897,0.137850467,0.193925234,0.340277778,0.5
27,박건우,0.326,0.024590164,0.133196721,0.020491803,0.161885246,0.172131148,0.338677355,0.7
28,황재균,0.296,0.047169811,0.226415094,0.00754717,0.143396226,0.166037736,0.300373134,0.666666667
29,이원석,0.301,0.041753653,0.215031315,0.014613779,0.154488518,0.194154489,0.310699588,0.666666667
30,오재원,0.313,0.031712474,0.251585624,0.00422833,0.164904863,0.171247357,0.313807531,0.714285714
31,박해민,0.299,0.015625,0.171875,0.005208333,0.197916667,0.118055556,0.298126065,0.782608696
32,민병헌,0.318,0.038374718,0.153498871,0.018058691,0.167042889,0.148984199,0.328918322,0.727272727
33,이형종,0.316,0.029748284,0.187643021,0.027459954,0.18993135,0.09610984,0.330396476,0.6
34,노수광,0.313,0.015533981,0.166990291,0.025242718,0.180582524,0.102912621,0.324022346,0.862068966
35,박민우,0.324,0.01216545,0.124087591,0.0243309,0.165450122,0.080291971,0.337264151,0.772727273
36,오재일,0.279,0.067331671,0.301745636,0.014962594,0.172069825,0.199501247,0.28992629,0.5
37,오지환,0.278,0.020637899,0.273921201,0.013133208,0.174484053,0.133208255,0.280797101,0.666666667
38,김주찬,0.34,0.041958042,0.132867133,0.016317016,0.165501166,0.216783217,0.349315068,0.888888889
39,번즈,0.268,0.04978355,0.287878788,0.019480519,0.173160173,0.138528139,0.281779661,0.714285714
40,박경수,0.262,0.054585153,0.281659389,0.019650655,0.141921397,0.161572052,0.276231263,0.8
41,이천웅,0.34,0.005571031,0.133704735,0.008356546,0.169916435,0.108635097,0.343406593,0.5
42,나지완,0.271,0.082018927,0.255520505,0.059936909,0.157728707,0.246056782,0.3125,0
43,이범호,0.28,0.060240964,0.177710843,0.012048193,0.123493976,0.207831325,0.288690476,1
44,임병욱,0.293,0.030732861,0.281323877,0,0.179669031,0.141843972,0.293144208,0.842105263
45,김선빈,0.295,0.009433962,0.099056604,0.021226415,0.172169811,0.115566038,0.30523918,0.8
46,강백호,0.29,0.055028463,0.235294118,0.0056926,0.204933586,0.159392789,0.294339623,0.375
47,김헌곤,0.3,0.021442495,0.136452242,0.019493177,0.150097466,0.138401559,0.310606061,0.709677419
48,강민호,0.269,0.051522248,0.224824356,0.032786885,0.107728337,0.166276347,0.292517007,0
49,이병규,0.273,0.050505051,0.292929293,0.035353535,0.156565657,0.196969697,0.297560976,0
50,이성열,0.295,0.070103093,0.294845361,0.010309278,0.156701031,0.210309278,0.301425662,0.5625
51,신본기,0.294,0.025882353,0.223529412,0.025882353,0.129411765,0.167058824,0.308390023,0.166666667
52,이용규,0.293,0.00203666,0.126272912,0.024439919,0.16700611,0.073319756,0.305283757,0.731707317
53,김민성,0.283,0.024213075,0.1937046,0.014527845,0.111380145,0.108958838,0.292857143,1
54,김강민,0.298,0.059574468,0.242553191,0.021276596,0.170212766,0.195744681,0.306122449,0.625
55,노진혁,0.283,0.026190476,0.219047619,0.004761905,0.123809524,0.1,0.286052009,0.571428571
56,정근우,0.304,0.029333333,0.114666667,0.018666667,0.168,0.152,0.315926893,0.545454545
57,송광민,0.297,0.041474654,0.214285714,0.00921659,0.14516129,0.18202765,0.303652968,0.5
58,이지영,0.343,0.011235955,0.151685393,0.02247191,0.174157303,0.106741573,0.345744681,0
59,송성문,0.313,0.033175355,0.232227488,0,0.165876777,0.213270142,0.309859155,0.333333333
60,가르시아,0.339,0.043715847,0.136612022,0.043715847,0.147540984,0.18579235,0.366492147,1
61,스크럭스,0.257,0.051896208,0.28742515,0.023952096,0.149700599,0.193612774,0.274853801,0.6
62,박용택,0.303,0.028625954,0.204198473,0.009541985,0.169847328,0.145038168,0.310018904,0.5
63,강경학,0.278,0.020408163,0.240816327,0.016326531,0.171428571,0.110204082,0.288,0.666666667
64,최항,0.293,0.031531532,0.256756757,0.036036036,0.171171171,0.157657658,0.314655172,0.5
65,양석환,0.263,0.045548654,0.167701863,0.01242236,0.109730849,0.169772257,0.271428571,0.5
66,이명기,0.302,0.008948546,0.143176734,0.006711409,0.196868009,0.093959732,0.299349241,0.705882353
67,이택근,0.308,0.012987013,0.142857143,0.029220779,0.12987013,0.168831169,0.325,1
68,박세혁,0.282,0.017647059,0.323529412,0.023529412,0.217647059,0.129411765,0.293785311,1
69,초이스,0.258,0.048710602,0.226361032,0.028653295,0.157593123,0.1747851,0.278551532,0.666666667
70,정수빈,0.367,0.020408163,0.132653061,0.010204082,0.204081633,0.234693878,0.373737374,0.714285714
71,샌즈,0.314,0.139534884,0.313953488,0,0.197674419,0.430232558,0.313953488,0
72,김성욱,0.26,0.040247678,0.198142415,0.003095975,0.151702786,0.139318885,0.260736196,0.846153846
73,전병우,0.364,0.045454545,0.363636364,0.015151515,0.272727273,0.196969697,0.373134328,1
74,김혜성,0.27,0.011627907,0.276744186,0.011627907,0.18372093,0.104651163,0.276255708,0.837837838
75,나주환,0.262,0.033149171,0.182320442,0.013812155,0.149171271,0.154696133,0.263157895,0.454545455
76,모창민,0.279,0.059233449,0.177700348,0.006968641,0.132404181,0.216027875,0.283737024,0.4
77,권희동,0.283,0.023323615,0.16909621,0.011661808,0.125364431,0.166180758,0.286931818,0.25
78,정훈,0.305,0.040229885,0.224137931,0.005747126,0.189655172,0.149425287,0.308571429,0.666666667
79,박석민,0.255,0.050314465,0.251572327,0.047169811,0.125786164,0.172955975,0.288288288,1
80,채태인,0.293,0.039893617,0.284574468,0.013297872,0.117021277,0.199468085,0.30104712,0
81,정주현,0.261,0.01980198,0.224422442,0.00660066,0.158415842,0.102310231,0.260450161,0.857142857
82,김민식,0.245,0.019354839,0.203225806,0.009677419,0.170967742,0.119354839,0.24382716,0.714285714
83,장성우,0.258,0.036516854,0.230337079,0.005617978,0.115168539,0.134831461,0.26183844,0.5
84,김규민,0.295,0.010067114,0.298657718,0.020134228,0.157718121,0.134228188,0.308196721,0.666666667
85,최재훈,0.262,0.003355705,0.204697987,0.05033557,0.120805369,0.090604027,0.29153605,1
86,김성현,0.277,0.009638554,0.101204819,0.021686747,0.122891566,0.13253012,0.288372093,0.75
87,윤석민,0.276,0.041304348,0.15,0.008695652,0.126086957,0.130434783,0.28111588,0.8
88,정성훈,0.295,0.021857923,0.267759563,0.027322404,0.120218579,0.153005464,0.313829787,0
89,류지혁,0.268,0.004385965,0.188596491,0.043859649,0.228070175,0.127192982,0.285140562,0.777777778
90,서건창,0.34,0,0.134751773,0.021276596,0.19858156,0.106382979,0.349315068,1
91,지성준,0.275,0.033816425,0.265700483,0.009661836,0.106280193,0.140096618,0.279620853,1
92,박한이,0.284,0.029239766,0.266081871,0,0.137426901,0.125730994,0.278735632,0.625
93,유재신,0.424,0.03030303,0.303030303,0,0.575757576,0.242424242,0.424242424,1
94,박승욱,0.308,0,0.246153846,0.030769231,0.169230769,0.138461538,0.31884058,0.8
95,안중열,0.247,0.025974026,0.363636364,0.019480519,0.123376623,0.116883117,0.25,0
96,문규현,0.275,0.018987342,0.142405063,0,0.132911392,0.129746835,0.267692308,0.75
97,이진영,0.318,0.010600707,0.123674912,0,0.141342756,0.137809187,0.316901408,0.666666667
98,정진호,0.301,0.007434944,0.163568773,0.003717472,0.197026022,0.137546468,0.29390681,0.888888889
99,김태균,0.315,0.039370079,0.220472441,0.015748031,0.098425197,0.133858268,0.325581395,0
100,이원재,0.304,0.036231884,0.239130435,0,0.086956522,0.137681159,0.304347826,0
101,김상수,0.263,0.022075055,0.200883002,0.017660044,0.139072848,0.110375276,0.270788913,0.571428571
102,박동원,0.248,0.051282051,0.213675214,0,0.162393162,0.145299145,0.243697479,0
103,류승현,0.307,0.013333333,0.16,0.013333333,0.12,0.173333333,0.311688312,0
104,김회성,0.259,0.047058824,0.305882353,0.035294118,0.176470588,0.2,0.274725275,1
105,한승택,0.247,0.033707865,0.269662921,0.02247191,0.112359551,0.168539326,0.255319149,0
106,김재현,0.277,0.015384615,0.261538462,0.046153846,0.292307692,0.076923077,0.308823529,0.875
107,서상우,0.29,0.028985507,0.260869565,0.014492754,0.144927536,0.202898551,0.3,0
108,정은원,0.249,0.019900498,0.248756219,0.004975124,0.164179104,0.099502488,0.25,0.833333333
109,나경민,0.263,0,0.368421053,0.052631579,0.403508772,0.01754386,0.295081967,0.75
110,최원준,0.272,0.013245033,0.19205298,0.013245033,0.152317881,0.105960265,0.277419355,0.714285714
111,유민상,0.271,0.0625,0.291666667,0,0.1875,0.291666667,0.270833333,0
112,하주석,0.254,0.018595041,0.268595041,0.008264463,0.138429752,0.107438017,0.259713701,0.538461538
113,정의윤,0.272,0.050691244,0.133640553,0.00921659,0.124423963,0.175115207,0.278538813,0.5
114,박준태,0.228,0.040650407,0.300813008,0.073170732,0.260162602,0.195121951,0.270072993,0
115,최영진,0.294,0.031746032,0.238095238,0,0.103174603,0.142857143,0.2890625,0.333333333
116,김태진,0.355,0.032258065,0.161290323,0,0.161290323,0.096774194,0.34375,0.333333333
117,백상원,0.153335758,0.013864554,0.259872034,0.009050209,inf,0.069733867,0.157970267,0.257063235
118,장영석,0.224,0.035714286,0.31122449,0.010204082,0.12244898,0.12755102,0.232323232,1
119,국해성,0.333,0,0.208333333,0.041666667,0.166666667,0.041666667,0.36,1
120,백용환,0.277,0,0.319148936,0,0.14893617,0.085106383,0.270833333,0
121,조수행,0.279,0.005464481,0.180327869,0,0.191256831,0.092896175,0.271276596,1
122,김인태,0.263,0.010526316,0.273684211,0,0.168421053,0.105263158,0.260416667,0
123,허도환,0.273,0.045454545,0.363636364,0.045454545,0.181818182,0.045454545,0.304347826,0
124,홍재호,0.263,0.013157895,0.157894737,0,0.210526316,0.118421053,0.253164557,0
125,박헌욱,0.273,0.045454545,0.227272727,0,0.045454545,0.136363636,0.272727273,1
126,최준석,0.255,0.026143791,0.267973856,0,0.045751634,0.156862745,0.254901961,0
127,양원혁,0.153335758,0.013864554,0.259872034,0.009050209,inf,0.069733867,0.157970267,0.257063235
128,장승현,0.153335758,0.013864554,0.259872034,0.009050209,inf,0.069733867,0.157970267,0.257063235
129,백동훈,0.222,0.037037037,0.407407407,0.037037037,0.259259259,0.148148148,0.25,0
130,허일,0.153335758,0.013864554,0.259872034,0.009050209,inf,0.069733867,0.157970267,0.257063235
131,양종민,0.153335758,0.013864554,0.259872034,0.009050209,inf,0.069733867,0.157970267,0.257063235
132,최승준,0.25,0.055555556,0.347222222,0.013888889,0.069444444,0.152777778,0.260273973,0
133,도태훈,0.229,0.028571429,0.142857143,0.057142857,0.142857143,0.142857143,0.27027027,0
134,김종덕,0.153335758,0.013864554,0.259872034,0.009050209,inf,0.069733867,0.157970267,0.257063235
135,최원제,0.153335758,0.013864554,0.259872034,0.009050209,inf,0.069733867,0.157970267,0.257063235
136,안상현,0.153335758,0.013864554,0.259872034,0.009050209,inf,0.069733867,0.157970267,0.257063235
137,김성훈,0.243,0,0.124324324,0.032432432,0.12972973,0.12972973,0.262886598,0.666666667
138,송준석,0.153335758,0.013864554,0.259872034,0.009050209,inf,0.069733867,0.157970267,0.257063235
139,김찬형,0.232,0.007042254,0.197183099,0.056338028,0.169014085,0.063380282,0.271523179,0.8
140,김재현,0.153335758,0.013864554,0.259872034,0.009050209,inf,0.069733867,0.157970267,0.257063235
141,헥터,0.153335758,0.013864554,0.259872034,0.009050209,inf,0.069733867,0.157970267,0.257063235
142,김철호,0.153335758,0.013864554,0.259872034,0.009050209,inf,0.069733867,0.157970267,0.257063235
143,이대형,0.153335758,0.013864554,0.259872034,0.009050209,inf,0.069733867,0.157970267,0.257063235
144,김정후,0.153335758,0.013864554,0.259872034,0.009050209,inf,0.069733867,0.157970267,0.257063235
145,유승철,0.153335758,0.013864554,0.259872034,0.009050209,inf,0.069733867,0.157970267,0.257063235
146,이민호,0.153335758,0.013864554,0.259872034,0.009050209,inf,0.069733867,0.157970267,0.257063235
147,이인혁,0.153335758,0.013864554,0.259872034,0.009050209,inf,0.069733867,0.157970267,0.257063235
148,김기연,0.153335758,0.013864554,0.259872034,0.009050209,inf,0.069733867,0.157970267,0.257063235
149,최윤석,0.153335758,0.013864554,0.259872034,0.009050209,inf,0.069733867,0.157970267,0.257063235
150,김지성,0.153335758,0.013864554,0.259872034,0.009050209,inf,0.069733867,0.157970267,0.257063235
151,조정훈,0.153335758,0.013864554,0.259872034,0.009050209,inf,0.069733867,0.157970267,0.257063235
152,진명호,0.153335758,0.013864554,0.259872034,0.009050209,inf,0.069733867,0.157970267,0.257063235
153,장시환,0.153335758,0.013864554,0.259872034,0.009050209,inf,0.069733867,0.157970267,0.257063235
154,유원상,0.153335758,0.013864554,0.259872034,0.009050209,inf,0.069733867,0.157970267,0.257063235
155,고창성,0.153335758,0.013864554,0.259872034,0.009050209,inf,0.069733867,0.157970267,0.257063235
156,박정배,0.153335758,0.013864554,0.259872034,0.009050209,inf,0.069733867,0.157970267,0.257063235
157,노경은,0.153335758,0.013864554,0.259872034,0.009050209,inf,0.069733867,0.157970267,0.257063235
158,문경찬,0.153335758,0.013864554,0.259872034,0.009050209,inf,0.069733867,0.157970267,0.257063235
159,임창민,0.153335758,0.013864554,0.259872034,0.009050209,inf,0.069733867,0.157970267,0.257063235
160,엄상백,0.153335758,0.013864554,0.259872034,0.009050209,inf,0.069733867,0.157970267,0.257063235
161,윤성빈,0.153335758,0.013864554,0.259872034,0.009050209,inf,0.069733867,0.157970267,0.257063235
