,이름,타율,타수대비홈런,타수대비삼진,타수대비사구,타수대비득점,타수대비타점,출루율,도루성공률
0,김하성,0.307,0.035185185,0.148148148,0.012962963,0.207407407,0.192592593,0.315693431,0.891891892
1,양의지,0.354,0.051282051,0.11025641,0.038461538,0.156410256,0.174358974,0.377777778,0.571428571
2,최정,0.292,0.057654076,0.182902584,0.051689861,0.170974155,0.196819085,0.327032136,0.6
3,샌즈,0.305,0.053333333,0.192380952,0.011428571,0.19047619,0.215238095,0.312617702,0.333333333
4,로하스,0.321,0.046153846,0.230769231,0.005769231,0.130769231,0.2,0.325047801,0.5
5,박병호,0.28,0.076388889,0.270833333,0.030092593,0.212962963,0.226851852,0.301123596,0
6,페르난데스,0.344,0.026223776,0.094405594,0.01048951,0.152097902,0.153846154,0.351211073,0.333333333
7,이정후,0.336,0.010452962,0.069686411,0.006968641,0.158536585,0.118466899,0.339070568,0.65
8,강백호,0.336,0.029748284,0.199084668,0.004576659,0.164759725,0.148741419,0.339407745,0.642857143
9,박민우,0.344,0.002136752,0.085470085,0.019230769,0.19017094,0.096153846,0.354906054,0.72
10,박건우,0.319,0.021834061,0.124454148,0.015283843,0.181222707,0.139737991,0.32832618,0.8
11,전준우,0.301,0.040366972,0.130275229,0.012844037,0.155963303,0.152293578,0.309222423,0.8
12,러프,0.292,0.046610169,0.184322034,0.014830508,0.169491525,0.213983051,0.302713987,0.666666667
13,최형우,0.3,0.037280702,0.168859649,0.015350877,0.14254386,0.188596491,0.311015119,0
14,오재일,0.293,0.04496788,0.211991435,0.006423983,0.162740899,0.218415418,0.29787234,0.666666667
15,황재균,0.284,0.044742729,0.156599553,0.004474273,0.174496644,0.149888143,0.287305122,0.588235294
16,로맥,0.276,0.057539683,0.232142857,0.011904762,0.170634921,0.188492063,0.284313725,0.666666667
17,이천웅,0.308,0.003663004,0.15018315,0.009157509,0.161172161,0.087912088,0.311711712,0.677419355
18,김현수,0.304,0.020912548,0.098859316,0.011406844,0.142585551,0.155893536,0.312030075,0.75
19,최재훈,0.29,0.008042895,0.163538874,0.037533512,0.126005362,0.08310992,0.31202046,0.230769231
20,민병헌,0.304,0.024390244,0.149051491,0.013550136,0.140921409,0.116531165,0.312,0.684210526
21,김재환,0.283,0.030364372,0.228744939,0.010121457,0.153846154,0.184210526,0.290581162,0.75
22,호잉,0.284,0.037815126,0.18907563,0.010504202,0.155462185,0.153361345,0.290456432,0.75862069
23,유한준,0.317,0.027944112,0.121756487,0.007984032,0.121756487,0.171656687,0.322772277,1
24,오지환,0.252,0.019027484,0.238900634,0.014799154,0.133192389,0.11205074,0.258726899,0.84375
25,유강남,0.27,0.038277512,0.196172249,0.031100478,0.105263158,0.11722488,0.291666667,0
26,박석민,0.267,0.052777778,0.191666667,0.033333333,0.136111111,0.205555556,0.287234043,0.333333333
27,터커,0.311,0.025210084,0.1232493,0.008403361,0.140056022,0.140056022,0.316666667,0
28,채은성,0.316,0.025586354,0.140724947,0.025586354,0.125799574,0.153518124,0.332640333,0.5
29,박세혁,0.279,0.009070295,0.154195011,0.015873016,0.131519274,0.142857143,0.283842795,0.8
30,이형종,0.286,0.031026253,0.186157518,0.023866348,0.133651551,0.150357995,0.302325581,0.545454545
31,김상수,0.271,0.010683761,0.143162393,0.032051282,0.162393162,0.081196581,0.290388548,0.875
32,박동원,0.297,0.031545741,0.176656151,0.006309148,0.157728707,0.173501577,0.294478528,1
33,김재호,0.268,0.01061008,0.153846154,0.018567639,0.135278515,0.127320955,0.275510204,0.5
34,안치홍,0.315,0.013812155,0.102209945,0.002762431,0.124309392,0.135359116,0.316804408,0.666666667
35,손아섭,0.295,0.01953125,0.1796875,0.001953125,0.15234375,0.123046875,0.295719844,0.6
