순,이름,팀,war,g,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,ops,woba,wrc+,war,wpa
39,이명기,17KRF,2.33,115,512,464,79,154,24,4,9,213,63,8,7,28,3,0,57,2,14,3,.332,.372,.459,.831,.361,108.7,2.33,0.76
40,김민성,17넥3B,2.26,133,530,472,59,133,26,1,15,206,78,0,1,43,7,2,93,15,0,8,.282,.345,.436,.782,.345,98.6,2.26,1.50
41,박해민,17삼CF,2.22,144,638,570,96,162,25,8,7,224,54,40,12,50,1,0,78,6,8,9,.284,.338,.393,.731,.325,85.6,2.22,1.49
42,김재호,17두SS,2.17,91,331,283,34,83,18,1,7,124,50,7,1,36,3,1,52,6,2,7,.293,.371,.438,.809,.358,111.2,2.17,1.09
43,이성열,17한LF,2.14,81,318,280,41,86,16,1,21,167,65,3,0,19,9,0,80,0,4,5,.307,.364,.596,.961,.399,131.4,2.14,2.44
44,오지환,17LSS,2.14,107,390,334,47,91,13,4,8,136,39,10,5,45,5,2,105,8,1,5,.272,.363,.407,.770,.346,101.2,2.14,-0.42
45,초이스,17넥RF,2.10,46,201,176,37,54,8,1,17,115,42,0,0,17,7,0,49,5,0,1,.307,.388,.653,1.042,.436,163.8,2.10,1.61
46,윤석민,17넥kDH,2.08,142,586,538,90,168,30,1,20,260,105,0,1,33,8,0,85,24,0,7,.312,.357,.483,.840,.368,113.1,2.08,1.26
47,나주환,17SSS,2.03,122,452,419,69,122,24,1,19,205,65,0,3,19,5,3,85,15,8,1,.291,.329,.489,.818,.347,98.4,2.03,1.61
48,로맥,17SRF,2.03,102,416,359,58,87,19,0,31,199,64,1,1,50,6,2,116,6,0,1,.242,.344,.554,.898,.378,117.3,2.03,1.67
49,모창민,17NDH,1.96,136,527,474,64,148,25,3,17,230,90,9,6,39,2,2,81,6,3,9,.312,.361,.485,.846,.367,113.7,1.96,3.24
50,정현,17kSS,1.95,124,399,350,45,105,20,3,6,149,42,4,2,18,22,0,70,14,6,3,.300,.369,.426,.795,.355,102.4,1.95,-0.14
51,채태인,17넥1B,1.93,109,384,342,46,110,23,1,12,171,62,0,1,34,5,2,94,9,0,3,.322,.388,.500,.888,.390,128.5,1.93,0.77
52,고종욱,17넥LF,1.82,123,453,426,70,133,24,8,8,197,54,16,4,22,3,2,92,11,0,2,.312,.349,.462,.811,.357,104.2,1.82,0.58
53,유한준,17kRF,1.81,133,497,445,52,136,19,0,13,194,68,0,2,45,2,2,59,10,2,3,.306,.370,.436,.806,.359,105.6,1.81,1.32
54,박석민,17N3B,1.73,101,382,319,43,78,15,0,14,135,56,1,2,50,13,0,92,17,0,0,.245,.369,.423,.792,.359,107.5,1.73,-0.11
55,박경수,17k2B,1.71,131,511,442,62,116,27,1,15,190,66,1,2,57,6,4,118,14,3,3,.262,.352,.430,.782,.345,95.9,1.71,0.56
56,최진행,17한LF,1.68,89,289,258,29,79,21,0,13,139,50,0,2,19,10,0,77,3,1,1,.306,.375,.539,.914,.395,130.2,1.68,1.76
57,이종욱,17NCF,1.56,107,355,318,52,98,15,0,5,128,34,9,2,28,5,0,30,5,2,2,.308,.371,.403,.774,.352,103.2,1.56,0.93
58,정성훈,17L1B,1.55,115,321,276,32,86,14,0,6,118,30,4,3,36,6,2,49,4,1,2,.312,.400,.428,.828,.375,121.2,1.55,-0.27
59,하주석,17한SS,1.48,111,470,432,69,123,18,8,11,190,52,7,6,23,5,0,83,6,9,1,.285,.328,.440,.767,.333,89.3,1.48,1.11
60,이원석,17삼3B,1.46,121,459,411,55,109,20,1,18,185,62,2,0,34,4,2,80,4,4,6,.265,.323,.450,.773,.333,89.2,1.46,0.55
61,김동엽,17SLF,1.46,125,428,393,58,109,18,1,22,195,70,2,4,23,9,1,62,6,0,3,.277,.329,.496,.826,.356,103.6,1.46,1.12
62,이형종,17LLF,1.42,128,434,377,57,100,18,0,9,145,44,11,6,40,11,0,73,7,4,2,.265,.351,.385,.736,.334,94.1,1.42,0.00
63,조동찬,17삼2B,1.41,122,393,353,35,102,23,0,10,155,46,3,0,22,10,0,72,8,4,4,.289,.345,.439,.784,.345,98.2,1.41,-0.20
64,정의윤,17SDH,1.40,112,381,349,44,112,16,0,15,173,45,0,1,19,9,0,61,11,0,4,.321,.368,.496,.863,.379,119.7,1.40,0.69
65,장영석,17넥1B,1.27,60,212,186,30,50,14,0,12,100,38,0,0,17,9,0,50,4,0,0,.269,.359,.538,.896,.386,128.2,1.27,1.09
66,노수광,17KSCF,1.24,131,425,382,72,109,18,3,6,151,39,16,9,25,9,2,84,3,4,5,.285,.340,.395,.735,.327,87.0,1.24,0.20
67,박세혁,17두C,1.19,97,237,201,41,57,8,0,5,80,26,2,1,19,5,0,44,1,8,4,.284,.354,.398,.752,.329,91.5,1.19,0.25
68,이승엽,17삼DH,1.18,135,533,472,65,132,30,5,24,244,87,1,1,47,6,6,85,7,0,8,.280,.347,.517,.864,.367,111.1,1.18,1.93
69,양석환,17L3B,1.15,132,496,445,62,117,27,3,14,192,83,3,7,38,6,2,93,13,2,5,.263,.326,.431,.757,.331,93.4,1.15,-0.65
70,백창수,17LLF,1.09,52,122,101,15,33,9,0,4,54,18,1,0,12,4,0,18,4,3,2,.327,.412,.535,.946,.404,143.0,1.09,0.50
71,오정복,17kLF,1.04,81,213,195,24,69,13,0,2,88,16,0,1,9,5,0,24,5,3,1,.354,.395,.451,.847,.378,117.8,1.04,0.37
72,강한울,17삼SS,1.02,135,448,412,58,125,9,3,0,140,24,12,7,26,0,0,57,4,9,1,.303,.344,.340,.684,.312,77.8,1.02,-1.46
73,박동원,17넥C,0.92,103,284,256,33,69,9,0,11,111,39,2,1,17,3,0,56,9,6,2,.270,.320,.434,.754,.325,86.5,0.92,-0.26
74,배영섭,17삼LF,0.91,92,244,218,39,66,11,1,6,97,26,1,0,19,3,1,44,5,3,1,.303,.365,.445,.810,.357,106.3,0.91,-0.09
75,이해창,17kC,0.90,114,283,254,33,69,11,0,11,113,44,1,4,19,1,1,50,5,6,2,.272,.323,.445,.767,.327,84.1,0.90,-0.00
76,오선진,17한2B,0.89,65,209,184,23,57,11,0,2,74,21,3,5,15,4,0,22,5,4,2,.310,.371,.402,.773,.346,99.0,0.89,-0.26
77,안익훈,17LCF,0.89,108,248,219,38,70,5,0,1,78,16,3,2,18,4,0,28,3,5,2,.320,.379,.356,.735,.337,93.6,0.89,0.99
78,김성훈,17삼2B,0.82,47,166,151,27,48,4,2,0,56,18,4,2,12,1,0,16,2,1,1,.318,.370,.371,.741,.341,97.0,0.82,0.12
79,히메네스,17L3B,0.81,51,198,181,29,50,6,1,7,79,30,3,5,13,3,0,19,8,0,1,.276,.333,.436,.770,.341,100.6,0.81,-0.31
80,최준석,17롯DH,0.80,125,464,409,43,119,15,0,14,176,82,0,0,49,1,0,89,24,0,5,.291,.364,.430,.795,.356,104.3,0.80,2.51
