Date,Team_1_Name,Team_2_Name,Team_1_pitcher_name,Team_2_pitcher_name,Team_1_Lineup,Team_2_Lineup,Team_1_Score,Team_2_Score,Win_team
2020-05-05,두산,LG,알칸타라,차우찬,박건우 허경민 오재일 김재환 페르난데스 김재호 박세혁 오재원 정수빈 ,이천웅 정근우 김현수 라모스 채은성 박용택 김민성 유강남 오지환 ,2,8,1
2020-05-05,한화,SK,서폴드,킹엄,이용규 정은원 호잉 이성열 송광민 김태균 정진호 최재훈 하주석 ,노수광 고종욱 최정 로맥 한유섬 윤석민 이재원 김창평 정현 ,3,0,0
2020-05-05,롯데,KT,스트레일리,데스파이네,민병헌 전준우 손아섭 이대호 안치홍 정훈 마차도 한동희 정보근 ,심우준 김민혁 강백호 유한준 로하스 황재균 박경수 장성우 배정대 ,7,2,0
2020-05-05,NC,삼성,루친스키,백정현,박민우 알테어 나성범 양의지 박석민 모창민 노진혁 김성욱 이명기 ,김헌곤 구자욱 살라디노 이원석 김상수 김동엽 강민호 박해민 이성규 ,4,0,0
2020-05-05,키움,KIA,브리검,양현종,서건창 김하성 이정후 박병호 이택근 이지영 모터 임병욱 박준태 ,최원준 김선빈 터커 최형우 장영석 유민상 나지완 한승택 박찬호 ,11,2,0
2020-05-06,두산,LG,이영하,송은범,박건우 페르난데스 오재일 김재환 최주환 김재호 박세혁 허경민 정수빈 ,이천웅 정근우 김현수 라모스 채은성 박용택 김민성 유강남 오지환 ,5,2,0
2020-05-06,한화,SK,임준섭,핀토,이용규 정은원 호잉 이성열 송광민 김태균 정진호 최재훈 하주석 ,김강민 윤석민 최정 로맥 정의윤 한유섬 이재원 김창평 정현 ,2,5,1
2020-05-06,롯데,KT,서준원,쿠에바스,민병헌 전준우 손아섭 이대호 안치홍 정훈 마차도 한동희 정보근 ,심우준 김민혁 강백호 유한준 로하스 황재균 박경수 장성우 배정대 ,9,4,0
2020-05-06,NC,삼성,라이트,라이블리,박민우 알테어 나성범 양의지 박석민 모창민 노진혁 김성욱 이명기 ,박해민 김동엽 구자욱 살라디노 김상수 이원석 김헌곤 강민호 이성규 ,4,3,0
2020-05-06,키움,KIA,요키시,브룩스,서건창 김하성 이정후 박병호 이택근 박동원 모터 임병욱 박준태 ,박찬호 김선빈 터커 이우성 최형우 장영석 황윤호 한승택 최원준 ,3,2,0
2020-05-07,두산,LG,플렉센,정찬헌,박건우 페르난데스 오재일 김재환 최주환 김재호 박세혁 허경민 정수빈 ,이천웅 정근우 김현수 라모스 채은성 박용택 김민성 유강남 오지환 ,9,3,0
2020-05-07,한화,SK,장시환,박종훈,정은원 정진호 호잉 이성열 송광민 김태균 하주석 최재훈 이용규 ,정진기 고종욱 최정 로맥 한유섬 정의윤 이재원 김창평 정현 ,8,4,0
