Date,Team_1_Name,Team_2_Name,Team_1_pitcher_name,Team_2_pitcher_name,Team_1_Lineup,Team_2_Lineup,Team_1_Score,Team_2_Score,Win_team
2018-03-24,삼성,두산,윤성환,린드블럼,박해민 김상수 구자욱 러프 강민호 이원석 박한이 김헌곤 강한울 ,허경민 최주환 박건우 김재환 양의지 오재일 파레디스 오재원 김재호 ,6,3,0
2018-03-24,한화,넥센,샘슨,로저스,이용규 양성우 송광민 김태균 하주석 정근우 호잉 최재훈 오선진 ,서건창 초이스 김태완 박병호 김하성 고종욱 김민성 이정후 박동원 ,3,6,1
2018-03-24,롯데,SK,듀브론트,켈리,민병헌 손아섭 전준우 이대호 채태인 번즈 한동희 신본기 나원탁 ,정진기 나주환 최정 로맥 정의윤 한유섬 김동엽 이재원 김성현 ,5,6,1
2018-03-24,kt,KIA,피어밴드,헥터,심우준 이진영 로하스 윤석민 황재균 유한준 박경수 강백호 장성우 ,이명기 김주찬 버나디나 최형우 나지완 안치홍 이범호 김민식 김선빈 ,5,4,0
2018-03-24,LG,NC,윌슨,왕웨이중,안익훈 양석환 박용택 가르시아 김현수 채은성 강승호 유강남 오지환 ,박민우 노진혁 나성범 스크럭스 모창민 권희동 이종욱 손시헌 신진호 ,2,4,1
2018-03-25,삼성,두산,아델만,장원준,박해민 김상수 구자욱 러프 강민호 이원석 조동찬 김헌곤 강한울 ,허경민 최주환 박건우 김재환 양의지 오재일 파레디스 오재원 김재호 ,4,5,1
2018-03-25,한화,넥센,휠러,최원태,이용규 양성우 송광민 김태균 하주석 정근우 호잉 최재훈 오선진 ,서건창 초이스 김태완 박병호 김하성 고종욱 김민성 이정후 주효상 ,4,1,0
2018-03-25,롯데,SK,윤성빈,김광현,민병헌 손아섭 전준우 이대호 박헌도 번즈 한동희 문규현 나원탁 ,정진기 나주환 최정 한유섬 로맥 정의윤 김동엽 최항 이재원 ,0,5,1
2018-03-25,kt,KIA,주권,양현종,정현 오정복 로하스 윤석민 황재균 유한준 박경수 강백호 장성우 ,이명기 버나디나 김주찬 최형우 나지완 안치홍 이범호 김민식 김선빈 ,1,14,1
2018-03-25,LG,NC,김대현,베렛,안익훈 김용의 박용택 가르시아 김현수 채은성 오지환 유강남 강승호 ,박민우 노진혁 나성범 스크럭스 최준석 권희동 이종욱 손시헌 신진호 ,1,7,1
2018-03-27,롯데,두산,레일리,후랭코프,민병헌 손아섭 채태인 이대호 전준우 번즈 한동희 문규현 나종덕 ,허경민 최주환 박건우 김재환 양의지 오재일 파레디스 오재원 류지혁 ,0,5,1
2018-03-27,LG,넥센,소사,브리검,안익훈 김현수 박용택 가르시아 임훈 양석환 오지환 정상호 강승호 ,이정후 초이스 서건창 박병호 김하성 고종욱 김민성 김태완 주효상 ,4,5,1
2018-03-27,kt,SK,고영표,산체스,심우준 박경수 로하스 윤석민 황재균 유한준 오태곤 강백호 장성우 ,노수광 정진기 최정 한유섬 로맥 김동엽 나주환 최항 이재원 ,5,8,1
2018-03-27,삼성,KIA,보니야,팻딘,배영섭 김상수 구자욱 러프 강민호 이원석 조동찬 강한울 김헌곤 ,이명기 버나디나 김주찬 최형우 나지완 안치홍 이범호 김민식 김선빈 ,0,17,1
2018-03-27,한화,NC,윤규진,최금강,이용규 양성우 송광민 김태균 하주석 최진행 호잉 최재훈 정근우 ,박민우 노진혁 나성범 스크럭스 최준석 모창민 이종욱 김성욱 정범모 ,6,9,1
2018-03-28,롯데,두산,김원중,유희관,전준우 손아섭 민병헌 이대호 채태인 한동희 번즈 나종덕 문규현 ,허경민 최주환 박건우 김재환 양의지 오재일 파레디스 오재원 류지혁 ,5,6,1
2018-03-28,LG,넥센,임찬규,신재영,안익훈 김현수 박용택 가르시아 채은성 김용의 오지환 유강남 강승호 ,이정후 초이스 서건창 박병호 김하성 고종욱 김민성 임병욱 박동원 ,9,3,0
2018-03-28,kt,SK,금민철,박종훈,이진영 강백호 로하스 황재균 유한준 윤석민 박경수 장성우 정현 ,노수광 나주환 최정 한유섬 로맥 김동엽 최승준 이재원 김성현 ,8,5,0
