Date,Team_1_Name,Team_2_Name,Team_1_pitcher_name,Team_2_pitcher_name,Team_1_Lineup,Team_2_Lineup,Team_1_Score,Team_2_Score,Win_team
2017-03-31,한화,두산,비야누에바,니퍼트,김원석 장민석 김태균 로사리오 최진행 임익준 조인성 강경학 신성현 ,민병헌 오재원 에반스 김재환 양의지 오재일 박건우 허경민 김재호 ,0,3,1
2017-03-31,LG,넥센,소사,밴헤켄,이형종 오지환 박용택 히메네스 채은성 최재원 정성훈 정상호 문선재 ,서건창 이택근 채태인 윤석민 대니돈 김민성 고종욱 김하성 박동원 ,2,1,0
2017-03-31,kt,SK,로치,켈리,이대형 하준호 유한준 모넬 박경수 이진영 이해창 박기혁 심우준 ,김강민 김성현 최정 정의윤 박정권 김동엽 한유섬 이재원 박승욱 ,3,2,0
2017-03-31,KIA,삼성,헥터,페트릭,버나디나 서동욱 김주찬 최형우 나지완 이범호 김주형 이홍구 김선빈 ,박해민 김헌곤 구자욱 러프 이승엽 이원석 이지영 강한울 조동찬 ,7,2,0
2017-03-31,롯데,NC,레일리,맨쉽,전준우 번즈 손아섭 이대호 최준석 강민호 김문호 신본기 문규현 ,김성욱 지석훈 나성범 스크럭스 박석민 권희동 모창민 손시헌 김태군 ,5,6,1
2017-04-01,한화,두산,오간도,유희관,신성현 장민석 송광민 김태균 최진행 로사리오 조인성 김원석 정근우 ,민병헌 오재원 에반스 김재환 양의지 오재일 박건우 허경민 김재호 ,6,5,0
2017-04-01,LG,넥센,류제국,오설리반,김용의 오지환 박용택 히메네스 이형종 이천웅 정성훈 유강남 손주인 ,서건창 이택근 채태인 윤석민 대니돈 김민성 고종욱 김하성 박동원 ,8,3,0
2017-04-01,KIA,삼성,팻딘,우규민,버나디나 노수광 김주찬 최형우 나지완 서동욱 김주형 이홍구 김선빈 ,박해민 김헌곤 구자욱 러프 이승엽 이원석 이지영 강한울 조동찬 ,9,7,0
2017-04-01,kt,SK,정대현,윤희상,이대형 하준호 유한준 모넬 박경수 이진영 이해창 박기혁 심우준 ,김강민 워스 최정 정의윤 김동엽 이재원 나주환 김성현 박승욱 ,2,0,0
2017-04-01,롯데,NC,김원중,이재학,전준우 번즈 손아섭 이대호 김문호 김대우 강민호 문규현 신본기 ,김성욱 모창민 나성범 스크럭스 박석민 권희동 지석훈 손시헌 김태군 ,3,0,0
2017-04-02,한화,두산,송은범,고원준,하주석 장민석 송광민 김태균 최진행 로사리오 김원석 강경학 차일목 ,민병헌 오재원 에반스 김재환 양의지 오재일 박건우 허경민 김재호 ,4,5,1
2017-04-02,LG,넥센,윤지웅,신재영,김용의 오지환 박용택 히메네스 채은성 서상우 이천웅 유강남 손주인 ,서건창 김하성 채태인 윤석민 대니돈 김민성 이택근 이정후 박동원 ,9,2,0
2017-04-02,kt,SK,피어밴드,문승원,전민수 하준호 유한준 모넬 박경수 장성우 이진영 박기혁 심우준 ,김강민 워스 최정 정의윤 김동엽 이재원 나주환 김성현 박승욱 ,8,1,0
2017-04-02,KIA,삼성,김윤동,윤성환,버나디나 노수광 김주찬 최형우 나지완 서동욱 김주형 이홍구 김선빈 ,박해민 강한울 구자욱 러프 이승엽 이원석 이지영 백상원 김헌곤 ,3,16,1
2017-04-02,롯데,NC,박진형,구창모,전준우 번즈 손아섭 이대호 최준석 강민호 김문호 문규현 신본기 ,김성욱 모창민 나성범 스크럭스 박석민 권희동 지석훈 손시헌 김태군 ,12,4,0
2017-04-04,삼성,LG,장원삼,차우찬,박해민 김헌곤 구자욱 러프 이승엽 이원석 이지영 강한울 조동찬 ,김용의 오지환 박용택 히메네스 채은성 이형종 정성훈 유강남 손주인 ,0,11,1
2017-04-04,두산,kt,장원준,주권,민병헌 오재원 에반스 김재환 양의지 오재일 박건우 허경민 김재호 ,이대형 심우준 유한준 모넬 박경수 오정복 박기혁 이해창 하준호 ,2,0,0
2017-04-04,NC,한화,최금강,배영수,이상호 김성욱 나성범 스크럭스 권희동 모창민 조평호 손시헌 김태군 ,장민석 하주석 송광민 김태균 로사리오 김원석 최진행 강경학 차일목 ,0,6,1
2017-04-04,SK,KIA,박종훈,양현종,김강민 워스 최정 정의윤 김동엽 박정권 이재원 김성현 박승욱 ,버나디나 신종길 김주찬 최형우 나지완 서동욱 김선빈 김주형 한승택 ,1,6,1
2017-04-04,넥센,롯데,최원태,박세웅,서건창 이정후 대니돈 윤석민 채태인 김민성 고종욱 김하성 박동원 ,전준우 번즈 손아섭 이대호 최준석 강민호 김문호 문규현 신본기 ,2,5,1
2017-04-06,삼성,LG,페트릭,소사,박해민 강한울 구자욱 러프 이승엽 이원석 이지영 백상원 김헌곤 ,김용의 오지환 박용택 히메네스 채은성 이형종 양석환 유강남 최재원 ,0,4,1
2017-04-06,두산,kt,함덕주,고영표,민병헌 오재원 에반스 김재환 양의지 오재일 박건우 류지혁 김재호 ,심우준 박경수 유한준 모넬 장성우 오정복 박기혁 홍현빈 정현 ,1,5,1
2017-04-06,NC,한화,해커,오간도,김준완 이상호 나성범 스크럭스 박석민 권희동 지석훈 손시헌 김태군 ,장민석 하주석 최진행 김태균 로사리오 이양기 신성현 강경학 차일목 ,5,2,0
2017-04-06,SK,KIA,켈리,임기영,정진기 김성현 최정 정의윤 한유섬 김동엽 박정권 이재원 박승욱 ,버나디나 노수광 김주찬 최형우 나지완 서동욱 김선빈 김주형 한승택 ,4,6,1
2017-04-06,넥센,롯데,오주원,레일리,서건창 이정후 이택근 윤석민 김태완 김민성 허정협 김하성 박동원 ,전준우 번즈 손아섭 이대호 최준석 강민호 문규현 이우민 신본기 ,3,12,1
2017-04-07,넥센,두산,밴헤켄,니퍼트,고종욱 이정후 서건창 윤석민 채태인 김민성 대니돈 김하성 박동원 ,박건우 오재원 민병헌 김재환 에반스 오재일 허경민 박세혁 김재호 ,7,3,0
2017-04-07,NC,SK,맨쉽,김주한,김준완 박민우 나성범 스크럭스 박석민 권희동 지석훈 손시헌 김태군 ,김강민 노수광 최정 김동엽 한유섬 정의윤 이재원 김성현 박승욱 ,5,3,0
2017-04-07,삼성,kt,우규민,로치,박해민 강한울 구자욱 러프 이승엽 이원석 이지영 백상원 김헌곤 ,이대형 전민수 유한준 모넬 박경수 이진영 박기혁 이해창 심우준 ,2,3,1
2017-04-07,한화,KIA,비야누에바,헥터,장민석 하주석 송광민 김태균 로사리오 이양기 최진행 정근우 조인성 ,버나디나 김선빈 김주찬 최형우 나지완 서동욱 안치홍 김주형 한승택 ,2,4,1
2017-04-07,LG,롯데,류제국,김원중,이형종 오지환 박용택 히메네스 채은성 정성훈 임훈 유강남 최재원 ,전준우 번즈 손아섭 이대호 최준석 강민호 문규현 이우민 신본기 ,6,4,0
2017-04-08,넥센,두산,오설리반,유희관,고종욱 이정후 서건창 윤석민 채태인 김민성 이택근 김하성 박동원 ,민병헌 김인태 에반스 김재환 박건우 오재원 허경민 최재훈 김재호 ,13,10,0
2017-04-08,NC,SK,구창모,윤희상,박민우 김성욱 나성범 스크럭스 박석민 권희동 지석훈 손시헌 박대온 ,김강민 노수광 최정 김동엽 한유섬 이재원 박정권 김성현 박승욱 ,2,9,1
