Date,Team_1_Name,Team_1_Score,Team_2_Name,Team_2_Score
2019/9/1,KT,1,ÇÑÈ­,6
2019/9/1,LG,6,SK,9
2019/9/1,»ï¼º,1,µÎ»ê,4
2019/9/1,Å°¿ò,2,NC,4
2019/9/1,·Ôµ¥,2,KIA,4
2019/9/3,KIA,6,ÇÑÈ­,5
2019/9/3,»ï¼º,5,·Ôµ¥,4
2019/9/3,NC,1,SK,8
2019/9/3,Å°¿ò,5,µÎ»ê,2
2019/9/3,LG,5,KT,0
2019/9/4,KIA,1,ÇÑÈ­,0
2019/9/4,»ï¼º,8,·Ôµ¥,0
2019/9/5,»ï¼º,4,Å°¿ò,0
2019/9/5,ÇÑÈ­,3,NC,0
2019/9/6,»ï¼º,1,Å°¿ò,6
2019/9/6,·Ôµ¥,2,LG,5
2019/9/6,KIA,2,KT,5
2019/9/6,ÇÑÈ­,0,NC,4
2019/9/7,·Ôµ¥,1,ÇÑÈ­,5
2019/9/7,NC,8,»ï¼º,2
2019/9/7,Å°¿ò,7,KIA,3
2019/9/8,·Ôµ¥,12,ÇÑÈ­,0
2019/9/8,NC,4,»ï¼º,9
2019/9/8,µÎ»ê,1,LG,2
2019/9/8,Å°¿ò,13,KIA,3
2019/9/8,SK,0,KT,5
2019/9/10,KT,2,»ï¼º,3
2019/9/10,KIA,4,·Ôµ¥,8
2019/9/10,LG,5,ÇÑÈ­,2
2019/9/11,KT,8,»ï¼º,11
2019/9/11,KIA,4,·Ôµ¥,0
2019/9/11,Å°¿ò,4,SK,2
2019/9/11,NC,4,µÎ»ê,0
2019/9/11,LG,5,ÇÑÈ­,9
2019/9/12,LG,2,Å°¿ò,3
2019/9/12,SK,2,·Ôµ¥,1
2019/9/12,KIA,0,µÎ»ê,5
2019/9/12,NC,7,KT,4
2019/9/13,LG,4,Å°¿ò,1
2019/9/13,ÇÑÈ­,5,»ï¼º,4
2019/9/13,SK,0,·Ôµ¥,1
2019/9/13,KIA,2,µÎ»ê,6
2019/9/13,NC,5,KT,2
2019/9/14,·Ôµ¥,2,ÇÑÈ­,5
2019/9/14,µÎ»ê,6,SK,7
2019/9/14,KIA,2,LG,7
2019/9/14,»ï¼º,1,NC,7
2019/9/14,Å°¿ò,2,KT,3
2019/9/15,·Ôµ¥,7,ÇÑÈ­,1
2019/9/15,KT,8,SK,6
2019/9/15,µÎ»ê,4,LG,10
2019/9/15,»ï¼º,1,NC,6
2019/9/16,ÇÑÈ­,11,»ï¼º,1
2019/9/16,Å°¿ò,6,µÎ»ê,3
2019/9/16,LG,4,KT,2
2019/9/17,Å°¿ò,0,ÇÑÈ­,1
2019/9/17,NC,2,KIA,3
2019/9/18,NC,6,SK,0
2019/9/18,·Ôµ¥,5,KIA,6
2019/9/18,LG,4,»ï¼º,3
2019/9/19,µÎ»ê,6,SK,4
2019/9/19,KIA,2,»ï¼º,12
2019/9/19,µÎ»ê,7,SK,3
2019/9/19,LG,3,NC,5
2019/9/20,»ï¼º,3,ÇÑÈ­,5
2019/9/20,KT,7,·Ôµ¥,0
2019/9/20,Å°¿ò,5,SK,1
2019/9/20,KIA,2,µÎ»ê,6
2019/9/21,KIA,3,µÎ»ê,5
2019/9/21,»ï¼º,6,KT,3
2019/9/22,LG,6,µÎ»ê,3
2019/9/23,NC,6,·Ôµ¥,1
2019/9/23,ÇÑÈ­,9,LG,1
2019/9/23,KIA,1,KT,2
2019/9/24,»ï¼º,4,LG,2
2019/9/24,µÎ»ê,7,NC,7
2019/9/24,Å°¿ò,0,KIA,5
2019/9/24,SK,3,KT,7
2019/9/25,µÎ»ê,7,·Ôµ¥,0
2019/9/25,»ï¼º,0,SK,1
2019/9/25,ÇÑÈ­,3,NC,2
2019/9/26,µÎ»ê,11,»ï¼º,0
2019/9/26,KIA,3,·Ôµ¥,1
2019/9/26,ÇÑÈ­,4,NC,2
2019/9/26,LG,4,KT,3
2019/9/27,SK,4,»ï¼º,0
2019/9/27,NC,3,LG,0
2019/9/28,SK,7,»ï¼º,9
2019/9/28,ÇÑÈ­,6,µÎ»ê,7
2019/9/28,LG,1,KIA,7
2019/9/28,NC,2,KT,5
2019/9/29,SK,2,ÇÑÈ­,0
2019/9/29,Å°¿ò,4,·Ôµ¥,1
2019/9/29,µÎ»ê,3,LG,0
2019/9/29,»ï¼º,0,KT,7
2019/9/30,SK,6,ÇÑÈ­,2
2019/9/30,·Ôµ¥,0,LG,2
