Date,Team_1_Name,Team_1_Score,Team_2_Name,Team_2_Score
2019/6/1,»ï¼º,2,·Ôµ¥,5
2019/6/1,ÇÑÈ­,6,SK,0
2019/6/1,NC,1,LG,5
2019/6/1,Å°¿ò,4,KIA,0
2019/6/1,µÎ»ê,3,KT,13
2019/6/2,»ï¼º,8,·Ôµ¥,3
2019/6/2,ÇÑÈ­,2,SK,5
2019/6/2,NC,4,LG,1
2019/6/2,Å°¿ò,6,KIA,5
2019/6/2,µÎ»ê,7,KT,4
2019/6/4,SK,2,Å°¿ò,1
2019/6/4,NC,1,»ï¼º,3
2019/6/4,ÇÑÈ­,2,·Ôµ¥,3
2019/6/4,KT,4,LG,8
2019/6/4,µÎ»ê,7,KIA,2
2019/6/5,SK,6,Å°¿ò,2
2019/6/5,NC,3,»ï¼º,4
2019/6/5,ÇÑÈ­,6,·Ôµ¥,3
2019/6/5,KT,2,LG,9
2019/6/5,µÎ»ê,5,KIA,4
2019/6/6,ÇÑÈ­,4,·Ôµ¥,3
2019/6/6,KT,7,LG,8
2019/6/6,µÎ»ê,3,KIA,12
2019/6/6,SK,2,Å°¿ò,6
2019/6/6,NC,0,»ï¼º,6
2019/6/7,LG,2,ÇÑÈ­,3
2019/6/7,»ï¼º,2,SK,4
2019/6/7,Å°¿ò,1,µÎ»ê,7
2019/6/7,·Ôµ¥,1,KT,2
2019/6/7,KIA,1,NC,2
2019/6/8,LG,3,ÇÑÈ­,2
2019/6/8,»ï¼º,0,SK,8
2019/6/8,Å°¿ò,5,µÎ»ê,4
2019/6/8,KIA,4,NC,5
2019/6/8,·Ôµ¥,2,KT,6
2019/6/9,LG,3,ÇÑÈ­,1
2019/6/9,»ï¼º,9,SK,0
2019/6/9,Å°¿ò,4,µÎ»ê,0
2019/6/9,KIA,3,NC,4
2019/6/9,·Ôµ¥,0,KT,2
2019/6/11,µÎ»ê,1,ÇÑÈ­,4
2019/6/11,·Ôµ¥,1,LG,1
2019/6/11,Å°¿ò,9,NC,8
2019/6/11,»ï¼º,1,KIA,7
2019/6/11,SK,13,KT,1
2019/6/12,µÎ»ê,9,ÇÑÈ­,6
2019/6/12,·Ôµ¥,3,LG,4
2019/6/12,Å°¿ò,5,NC,4
2019/6/12,»ï¼º,3,KIA,7
2019/6/12,SK,6,KT,3
2019/6/13,µÎ»ê,7,ÇÑÈ­,2
2019/6/13,·Ôµ¥,3,LG,4
2019/6/13,Å°¿ò,1,NC,3
2019/6/13,»ï¼º,2,KIA,3
2019/6/13,SK,1,KT,5
2019/6/14,ÇÑÈ­,7,Å°¿ò,8
2019/6/14,KT,4,»ï¼º,7
2019/6/14,NC,3,SK,7
2019/6/14,LG,4,µÎ»ê,7
2019/6/15,ÇÑÈ­,3,Å°¿ò,8
2019/6/15,KT,10,»ï¼º,7
2019/6/15,KIA,0,·Ôµ¥,7
2019/6/15,NC,0,SK,4
2019/6/15,LG,4,µÎ»ê,3
2019/6/16,ÇÑÈ­,6,Å°¿ò,9
2019/6/16,KT,3,»ï¼º,1
2019/6/16,KIA,5,·Ôµ¥,10
2019/6/16,NC,2,SK,9
2019/6/16,LG,3,µÎ»ê,5
2019/6/18,KT,2,Å°¿ò,3
2019/6/18,·Ôµ¥,11,ÇÑÈ­,3
2019/6/18,LG,5,»ï¼º,12
2019/6/18,NC,7,µÎ»ê,10
2019/6/18,SK,2,KIA,4
2019/6/19,KT,2,Å°¿ò,8
2019/6/19,·Ôµ¥,7,ÇÑÈ­,5
2019/6/19,LG,9,»ï¼º,6
2019/6/19,NC,0,µÎ»ê,1
2019/6/19,SK,7,KIA,1
2019/6/20,KT,1,Å°¿ò,3
2019/6/20,·Ôµ¥,7,ÇÑÈ­,10
2019/6/20,LG,11,»ï¼º,3
2019/6/20,NC,2,µÎ»ê,14
2019/6/20,SK,5,KIA,8
2019/6/21,»ï¼º,5,ÇÑÈ­,2
2019/6/21,µÎ»ê,1,SK,14
2019/6/21,KIA,8,LG,9
2019/6/21,NC,0,KT,5
2019/6/21,Å°¿ò,7,·Ôµ¥,4
2019/6/22,»ï¼º,0,ÇÑÈ­,5
2019/6/22,Å°¿ò,1,·Ôµ¥,4
2019/6/22,µÎ»ê,0,SK,3
2019/6/22,KIA,3,LG,2
2019/6/22,NC,7,KT,6
2019/6/23,»ï¼º,10,ÇÑÈ­,5
2019/6/23,Å°¿ò,1,·Ôµ¥,2
2019/6/23,µÎ»ê,2,SK,3
2019/6/23,KIA,7,LG,0
2019/6/23,NC,2,KT,4
2019/6/25,KIA,3,Å°¿ò,7
2019/6/25,KT,8,·Ôµ¥,8
2019/6/25,SK,8,LG,3
2019/6/25,ÇÑÈ­,14,NC,3
2019/6/25,µÎ»ê,2,»ï¼º,11
2019/6/26,KIA,13,Å°¿ò,6
2019/6/26,SK,7,LG,4
2019/6/27,KIA,2,Å°¿ò,8
2019/6/27,KT,10,·Ôµ¥,2
2019/6/27,SK,4,LG,6
2019/6/27,ÇÑÈ­,5,NC,10
2019/6/27,µÎ»ê,9,»ï¼º,1
2019/6/28,Å°¿ò,6,ÇÑÈ­,5
2019/6/28,SK,3,»ï¼º,9
2019/6/28,·Ôµ¥,2,µÎ»ê,3
2019/6/28,KIA,1,KT,9
2019/6/28,LG,6,NC,2
2019/6/29,·Ôµ¥,4,µÎ»ê,0
2019/6/29,KIA,3,KT,5
2019/6/30,Å°¿ò,6,ÇÑÈ­,4
2019/6/30,SK,14,»ï¼º,7
2019/6/30,·Ôµ¥,4,µÎ»ê,0
2019/6/30,LG,1,NC,9
2019/6/30,KIA,3,KT,4
