Date,Team_1_Name,Team_1_Score,Team_2_Name,Team_2_Score
2019/5/1,µÎ»ê,1,ÇÑÈ­,4
2019/5/1,NC,9,·Ôµ¥,5
2019/5/1,Å°¿ò,0,SK,2
2019/5/1,KT,2,LG,3
2019/5/1,»ï¼º,10,KIA,2
2019/5/2,µÎ»ê,5,ÇÑÈ­,4
2019/5/2,NC,7,·Ôµ¥,6
2019/5/2,Å°¿ò,10,SK,8
2019/5/2,KT,4,LG,5
2019/5/2,»ï¼º,1,KIA,8
2019/5/3,»ï¼º,3,Å°¿ò,8
2019/5/3,KT,5,ÇÑÈ­,4
2019/5/3,SK,11,·Ôµ¥,7
2019/5/3,LG,2,µÎ»ê,7
2019/5/3,KIA,8,NC,4
2019/5/4,»ï¼º,3,Å°¿ò,1
2019/5/4,SK,10,·Ôµ¥,4
2019/5/4,LG,2,µÎ»ê,3
2019/5/4,KT,9,ÇÑÈ­,10
2019/5/4,KIA,1,NC,4
2019/5/5,»ï¼º,2,Å°¿ò,12
2019/5/5,KT,4,ÇÑÈ­,6
2019/5/5,SK,4,·Ôµ¥,3
2019/5/5,LG,2,µÎ»ê,11
2019/5/5,KIA,3,NC,10
2019/5/7,LG,12,Å°¿ò,10
2019/5/7,NC,3,»ï¼º,6
2019/5/7,ÇÑÈ­,2,SK,11
2019/5/7,KIA,3,µÎ»ê,4
2019/5/7,·Ôµ¥,2,KT,7
2019/5/8,LG,0,Å°¿ò,6
2019/5/8,NC,0,»ï¼º,2
2019/5/8,ÇÑÈ­,2,SK,17
2019/5/8,KIA,0,µÎ»ê,1
2019/5/8,·Ôµ¥,4,KT,5
2019/5/9,LG,1,Å°¿ò,2
2019/5/9,NC,4,»ï¼º,6
2019/5/9,ÇÑÈ­,6,SK,1
2019/5/9,KIA,5,µÎ»ê,3
2019/5/9,·Ôµ¥,13,KT,6
2019/5/10,·Ôµ¥,12,»ï¼º,5
2019/5/10,ÇÑÈ­,5,LG,2
2019/5/10,SK,4,KIA,1
2019/5/10,Å°¿ò,6,KT,7
2019/5/10,µÎ»ê,11,NC,12
2019/5/11,·Ôµ¥,2,»ï¼º,9
2019/5/11,ÇÑÈ­,4,LG,6
2019/5/11,µÎ»ê,12,NC,0
2019/5/11,SK,10,KIA,3
2019/5/11,Å°¿ò,6,KT,2
2019/5/12,·Ôµ¥,10,»ï¼º,9
2019/5/12,ÇÑÈ­,0,LG,2
2019/5/12,µÎ»ê,3,NC,2
2019/5/12,SK,4,KIA,3
2019/5/12,Å°¿ò,3,KT,9
2019/5/14,Å°¿ò,3,ÇÑÈ­,7
2019/5/14,LG,0,·Ôµ¥,4
2019/5/14,»ï¼º,4,µÎ»ê,3
2019/5/14,SK,2,NC,8
2019/5/14,KT,6,KIA,1
2019/5/15,Å°¿ò,4,ÇÑÈ­,5
2019/5/15,LG,4,·Ôµ¥,8
2019/5/15,»ï¼º,1,µÎ»ê,3
2019/5/15,SK,7,NC,3
2019/5/15,KT,7,KIA,4
2019/5/16,Å°¿ò,6,ÇÑÈ­,15
2019/5/16,LG,3,·Ôµ¥,2
2019/5/16,»ï¼º,1,µÎ»ê,4
2019/5/16,SK,2,NC,5
2019/5/16,KT,6,KIA,3
2019/5/17,·Ôµ¥,0,Å°¿ò,7
2019/5/17,KIA,5,ÇÑÈ­,2
2019/5/17,µÎ»ê,3,SK,1
2019/5/17,NC,13,LG,2
2019/5/17,»ï¼º,14,KT,3
2019/5/18,·Ôµ¥,1,Å°¿ò,13
2019/5/18,KIA,2,ÇÑÈ­,5
2019/5/18,µÎ»ê,10,SK,5
2019/5/18,NC,9,LG,3
2019/5/18,»ï¼º,0,KT,2
2019/5/19,·Ôµ¥,3,Å°¿ò,9
2019/5/19,KIA,5,ÇÑÈ­,0
2019/5/21,NC,3,Å°¿ò,1
2019/5/21,ÇÑÈ­,3,»ï¼º,9
2019/5/21,SK,4,LG,2
2019/5/21,·Ôµ¥,6,KIA,10
2019/5/21,µÎ»ê,7,KT,12
2019/5/22,NC,2,Å°¿ò,4
2019/5/22,ÇÑÈ­,5,»ï¼º,6
2019/5/22,SK,2,LG,0
2019/5/22,·Ôµ¥,5,KIA,6
2019/5/22,µÎ»ê,1,KT,3
2019/5/23,NC,4,Å°¿ò,2
2019/5/23,ÇÑÈ­,1,»ï¼º,2
2019/5/23,SK,1,LG,2
2019/5/23,·Ôµ¥,1,KIA,3
2019/5/23,µÎ»ê,2,KT,3
2019/5/24,Å°¿ò,10,»ï¼º,5
2019/5/24,LG,5,·Ôµ¥,8
2019/5/24,ÇÑÈ­,4,µÎ»ê,3
2019/5/24,KT,5,KIA,7
2019/5/24,SK,4,NC,2
2019/5/25,Å°¿ò,9,»ï¼º,10
2019/5/25,LG,6,·Ôµ¥,5
2019/5/25,ÇÑÈ­,4,µÎ»ê,7
2019/5/25,SK,7,NC,10
2019/5/25,KT,3,KIA,10
2019/5/26,Å°¿ò,3,»ï¼º,4
2019/5/26,LG,11,·Ôµ¥,2
2019/5/26,ÇÑÈ­,1,µÎ»ê,2
2019/5/26,SK,2,NC,1
2019/5/26,KT,5,KIA,17
2019/5/28,LG,0,Å°¿ò,5
2019/5/28,KIA,0,ÇÑÈ­,2
2019/5/28,KT,0,SK,1
2019/5/28,»ï¼º,1,µÎ»ê,4
2019/5/28,·Ôµ¥,9,NC,4
2019/5/29,LG,4,Å°¿ò,2
2019/5/29,KIA,3,ÇÑÈ­,1
2019/5/29,KT,8,SK,6
2019/5/29,»ï¼º,2,µÎ»ê,3
2019/5/29,·Ôµ¥,6,NC,8
2019/5/30,LG,6,Å°¿ò,3
2019/5/30,KIA,3,ÇÑÈ­,2
2019/5/30,KT,2,SK,3
2019/5/30,»ï¼º,2,µÎ»ê,1
2019/5/30,·Ôµ¥,10,NC,2
2019/5/31,»ï¼º,1,·Ôµ¥,6
2019/5/31,ÇÑÈ­,1,SK,2
2019/5/31,NC,2,LG,3
2019/5/31,Å°¿ò,2,KIA,3
2019/5/31,µÎ»ê,2,KT,3
