Date,Team_1_Name,Team_1_Score,Team_2_Name,Team_2_Score
2019/4/2,LG,2,ÇÑÈ­,6
2019/4/2,KIA,4,»ï¼º,1
2019/4/2,·Ôµ¥,5,SK,0
2019/4/2,KT,0,µÎ»ê,9
2019/4/2,Å°¿ò,8,NC,6
2019/4/3,LG,7,ÇÑÈ­,0
2019/4/3,KIA,3,»ï¼º,6
2019/4/3,·Ôµ¥,3,SK,1
2019/4/3,KT,1,µÎ»ê,5
2019/4/3,Å°¿ò,1,NC,9
2019/4/4,LG,1,ÇÑÈ­,2
2019/4/4,KIA,7,»ï¼º,12
2019/4/4,·Ôµ¥,6,SK,7
2019/4/4,KT,4,µÎ»ê,5
2019/4/4,Å°¿ò,6,NC,5
2019/4/5,ÇÑÈ­,2,·Ôµ¥,5
2019/4/5,»ï¼º,0,SK,3
2019/4/5,NC,7,µÎ»ê,3
2019/4/5,Å°¿ò,4,KIA,6
2019/4/5,LG,13,KT,0
2019/4/6,ÇÑÈ­,7,·Ôµ¥,9
2019/4/6,»ï¼º,1,SK,2
2019/4/6,NC,6,µÎ»ê,5
2019/4/6,Å°¿ò,14,KIA,4
2019/4/6,LG,1,KT,2
2019/4/7,ÇÑÈ­,16,·Ôµ¥,1
2019/4/7,»ï¼º,2,SK,3
2019/4/7,NC,5,µÎ»ê,3
2019/4/7,LG,3,KT,4
2019/4/9,KT,3,Å°¿ò,7
2019/4/10,KT,2,Å°¿ò,4
2019/4/10,SK,8,ÇÑÈ­,3
2019/4/10,µÎ»ê,3,·Ôµ¥,1
2019/4/10,»ï¼º,6,LG,5
2019/4/10,NC,1,KIA,2
2019/4/11,KT,8,Å°¿ò,1
2019/4/11,SK,1,ÇÑÈ­,0
2019/4/11,µÎ»ê,5,·Ôµ¥,1
2019/4/11,»ï¼º,2,LG,5
2019/4/11,NC,4,KIA,2
2019/4/12,ÇÑÈ­,3,Å°¿ò,5
2019/4/12,KT,0,»ï¼º,5
2019/4/12,KIA,4,SK,4
2019/4/12,µÎ»ê,0,LG,3
2019/4/12,·Ôµ¥,1,NC,2
2019/4/13,ÇÑÈ­,3,Å°¿ò,5
2019/4/13,KT,5,»ï¼º,3
2019/4/13,KIA,6,SK,4
2019/4/13,µÎ»ê,2,LG,5
2019/4/13,·Ôµ¥,5,NC,7
2019/4/14,ÇÑÈ­,3,Å°¿ò,2
2019/4/14,KT,12,»ï¼º,14
2019/4/14,KIA,4,SK,2
2019/4/14,µÎ»ê,8,LG,0
2019/4/14,·Ôµ¥,1,NC,8
2019/4/16,KIA,9,·Ôµ¥,10
2019/4/16,SK,3,µÎ»ê,8
2019/4/16,LG,7,NC,2
2019/4/16,ÇÑÈ­,2,KT,4
2019/4/16,Å°¿ò,4,»ï¼º,0
2019/4/17,KIA,6,·Ôµ¥,8
2019/4/17,SK,3,µÎ»ê,12
2019/4/17,LG,4,NC,2
2019/4/17,ÇÑÈ­,8,KT,5
2019/4/17,Å°¿ò,5,»ï¼º,3
2019/4/18,KIA,9,·Ôµ¥,10
2019/4/18,SK,4,µÎ»ê,3
2019/4/18,LG,6,NC,1
2019/4/18,ÇÑÈ­,5,KT,6
2019/4/18,Å°¿ò,4,»ï¼º,5
2019/4/19,»ï¼º,3,ÇÑÈ­,4
2019/4/19,KT,6,·Ôµ¥,5
2019/4/19,NC,14,SK,11
2019/4/19,Å°¿ò,13,LG,3
2019/4/19,µÎ»ê,8,KIA,6
2019/4/20,»ï¼º,5,ÇÑÈ­,12
2019/4/20,KT,4,·Ôµ¥,5
2019/4/20,NC,4,SK,10
2019/4/20,Å°¿ò,7,LG,3
2019/4/20,µÎ»ê,10,KIA,1
2019/4/21,»ï¼º,16,ÇÑÈ­,0
2019/4/21,KT,6,·Ôµ¥,3
2019/4/21,NC,1,SK,4
2019/4/21,Å°¿ò,3,LG,5
2019/4/21,µÎ»ê,9,KIA,2
2019/4/23,µÎ»ê,9,Å°¿ò,3
2019/4/23,KIA,2,LG,9
2019/4/23,NC,4,KT,3
2019/4/24,µÎ»ê,3,Å°¿ò,8
2019/4/24,·Ôµ¥,4,ÇÑÈ­,5
2019/4/24,SK,9,»ï¼º,8
2019/4/24,KIA,3,LG,10
2019/4/24,NC,10,KT,2
2019/4/25,µÎ»ê,6,Å°¿ò,9
2019/4/25,SK,4,»ï¼º,3
2019/4/26,KIA,4,Å°¿ò,8
2019/4/26,·Ôµ¥,8,µÎ»ê,11
2019/4/26,SK,2,KT,0
2019/4/27,KIA,6,Å°¿ò,4
2019/4/27,LG,8,»ï¼º,0
2019/4/27,·Ôµ¥,0,µÎ»ê,7
2019/4/27,ÇÑÈ­,1,NC,15
2019/4/27,SK,2,KT,1
2019/4/28,KIA,5,Å°¿ò,13
2019/4/28,LG,2,»ï¼º,1
2019/4/28,·Ôµ¥,2,µÎ»ê,9
2019/4/28,ÇÑÈ­,4,NC,10
2019/4/28,SK,3,KT,0
2019/4/30,µÎ»ê,1,ÇÑÈ­,2
2019/4/30,NC,1,·Ôµ¥,6
2019/4/30,Å°¿ò,15,SK,5
2019/4/30,KT,9,LG,10
2019/4/30,»ï¼º,0,KIA,8
