Date,Team_1_Name,Team_1_Score,Team_2_Name,Team_2_Score
2019/8/1,·Ôµ¥,9,»ï¼º,4
2019/8/1,KIA,1,SK,10
2019/8/1,Å°¿ò,5,LG,11
2019/8/1,µÎ»ê,3,NC,2
2019/8/1,ÇÑÈ­,3,KT,1
2019/8/3,KT,7,Å°¿ò,1
2019/8/3,SK,3,ÇÑÈ­,0
2019/8/3,µÎ»ê,1,·Ôµ¥,2
2019/8/3,»ï¼º,10,LG,13
2019/8/3,NC,1,KIA,5
2019/8/4,KT,5,Å°¿ò,3
2019/8/4,SK,2,ÇÑÈ­,8
2019/8/4,»ï¼º,2,LG,1
2019/8/4,NC,0,KIA,1
2019/8/4,µÎ»ê,4,·Ôµ¥,9
2019/8/6,KT,3,SK,0
2019/8/6,ÇÑÈ­,3,µÎ»ê,8
2019/8/6,LG,17,KIA,4
2019/8/7,Å°¿ò,16,·Ôµ¥,4
2019/8/7,KT,2,SK,5
2019/8/7,ÇÑÈ­,7,µÎ»ê,5
2019/8/7,»ï¼º,1,NC,2
2019/8/7,LG,5,KIA,10
2019/8/8,SK,6,Å°¿ò,1
2019/8/8,·Ôµ¥,8,»ï¼º,0
2019/8/8,KT,2,µÎ»ê,7
2019/8/8,LG,2,NC,13
2019/8/8,ÇÑÈ­,2,KIA,5
2019/8/9,SK,4,Å°¿ò,5
2019/8/9,·Ôµ¥,6,»ï¼º,3
2019/8/9,KT,1,µÎ»ê,3
2019/8/9,ÇÑÈ­,4,KIA,10
2019/8/9,LG,5,NC,2
2019/8/10,µÎ»ê,2,Å°¿ò,10
2019/8/10,KIA,7,»ï¼º,2
2019/8/10,SK,2,LG,0
2019/8/10,·Ôµ¥,4,NC,7
2019/8/10,ÇÑÈ­,4,KT,5
2019/8/11,µÎ»ê,12,Å°¿ò,7
2019/8/11,KIA,4,»ï¼º,5
2019/8/11,SK,3,LG,4
2019/8/11,·Ôµ¥,1,NC,9
2019/8/11,ÇÑÈ­,6,KT,4
2019/8/13,NC,10,ÇÑÈ­,2
2019/8/13,KT,5,·Ôµ¥,6
2019/8/13,»ï¼º,1,SK,4
2019/8/13,Å°¿ò,7,LG,8
2019/8/13,µÎ»ê,5,KIA,2
2019/8/14,NC,3,ÇÑÈ­,9
2019/8/14,KT,6,·Ôµ¥,0
2019/8/14,Å°¿ò,14,LG,0
2019/8/14,µÎ»ê,1,KIA,4
2019/8/15,NC,3,Å°¿ò,4
2019/8/15,SK,7,KIA,6
2019/8/15,ÇÑÈ­,5,·Ôµ¥,11
2019/8/16,NC,4,Å°¿ò,6
2019/8/16,ÇÑÈ­,2,·Ôµ¥,1
2019/8/16,LG,4,µÎ»ê,7
2019/8/16,SK,0,KIA,1
2019/8/16,»ï¼º,1,KT,9
2019/8/17,ÇÑÈ­,8,Å°¿ò,4
2019/8/17,LG,2,»ï¼º,7
2019/8/17,·Ôµ¥,2,µÎ»ê,9
2019/8/17,SK,0,NC,9
2019/8/17,KT,4,KIA,3
2019/8/18,ÇÑÈ­,5,Å°¿ò,4
2019/8/18,LG,8,»ï¼º,1
2019/8/18,·Ôµ¥,3,µÎ»ê,11
2019/8/18,SK,4,NC,7
2019/8/18,KT,2,KIA,1
2019/8/20,»ï¼º,5,ÇÑÈ­,0
2019/8/20,·Ôµ¥,0,SK,5
2019/8/20,KIA,3,LG,15
2019/8/20,µÎ»ê,2,NC,3
2019/8/20,Å°¿ò,0,KT,6
2019/8/21,·Ôµ¥,4,SK,5
2019/8/21,KIA,4,LG,6
2019/8/21,Å°¿ò,8,KT,1
2019/8/22,KIA,5,Å°¿ò,5
2019/8/22,µÎ»ê,13,»ï¼º,1
2019/8/22,ÇÑÈ­,6,SK,8
2019/8/22,NC,5,LG,2
2019/8/22,·Ôµ¥,2,KT,4
2019/8/23,KIA,0,Å°¿ò,6
2019/8/23,µÎ»ê,8,»ï¼º,4
2019/8/23,ÇÑÈ­,2,SK,6
2019/8/23,NC,2,LG,8
2019/8/23,·Ôµ¥,3,KT,3
2019/8/24,µÎ»ê,13,ÇÑÈ­,3
2019/8/24,Å°¿ò,1,»ï¼º,2
2019/8/24,NC,8,·Ôµ¥,3
2019/8/24,KIA,3,SK,4
2019/8/24,KT,8,LG,12
2019/8/25,µÎ»ê,3,ÇÑÈ­,2
2019/8/25,Å°¿ò,21,»ï¼º,8
2019/8/25,KIA,4,SK,2
2019/8/25,KT,7,LG,3
2019/8/25,NC,4,·Ôµ¥,5
2019/8/27,LG,2,·Ôµ¥,1
2019/8/27,SK,2,µÎ»ê,4
2019/8/27,KT,3,NC,4
2019/8/27,»ï¼º,10,KIA,1
2019/8/27,Å°¿ò,15,ÇÑÈ­,0
2019/8/28,LG,3,·Ôµ¥,4
2019/8/28,SK,2,µÎ»ê,4
2019/8/28,KT,8,NC,2
2019/8/28,»ï¼º,1,KIA,5
2019/8/28,Å°¿ò,1,ÇÑÈ­,2
2019/8/29,·Ôµ¥,0,Å°¿ò,4
2019/8/29,SK,4,»ï¼º,5
2019/8/29,KIA,3,NC,4
2019/8/29,µÎ»ê,8,KT,11
2019/8/30,·Ôµ¥,2,Å°¿ò,5
2019/8/30,SK,2,»ï¼º,0
2019/8/30,ÇÑÈ­,1,LG,0
2019/8/30,µÎ»ê,3,KT,1
2019/8/30,KIA,8,NC,2
2019/8/31,KT,6,ÇÑÈ­,1
2019/8/31,LG,6,SK,4
2019/8/31,»ï¼º,3,µÎ»ê,5
2019/8/31,Å°¿ò,9,NC,3
2019/8/31,·Ôµ¥,2,KIA,4
