Date,Team_1_Name,Team_1_Score,Team_2_Name,Team_2_Score
2019/7/2,µÎ»ê,3,Å°¿ò,6
2019/7/2,·Ôµ¥,1,SK,10
2019/7/2,ÇÑÈ­,2,LG,9
2019/7/2,NC,3,KIA,5
2019/7/2,»ï¼º,3,KT,5
2019/7/3,µÎ»ê,3,Å°¿ò,1
2019/7/3,·Ôµ¥,5,SK,8
2019/7/3,ÇÑÈ­,1,LG,6
2019/7/3,NC,8,KIA,4
2019/7/3,»ï¼º,0,KT,3
2019/7/4,µÎ»ê,4,Å°¿ò,1
2019/7/4,·Ôµ¥,7,SK,9
2019/7/4,ÇÑÈ­,3,LG,4
2019/7/4,NC,9,KIA,3
2019/7/4,»ï¼º,3,KT,5
2019/7/5,·Ôµ¥,1,Å°¿ò,14
2019/7/5,KT,10,ÇÑÈ­,3
2019/7/5,SK,8,µÎ»ê,6
2019/7/5,LG,1,KIA,6
2019/7/5,»ï¼º,3,NC,7
2019/7/6,·Ôµ¥,4,Å°¿ò,6
2019/7/6,KT,8,ÇÑÈ­,9
2019/7/6,SK,4,µÎ»ê,2
2019/7/6,»ï¼º,2,NC,2
2019/7/6,LG,0,KIA,7
2019/7/7,·Ôµ¥,2,Å°¿ò,5
2019/7/7,KT,4,ÇÑÈ­,3
2019/7/7,SK,4,µÎ»ê,5
2019/7/7,»ï¼º,4,NC,2
2019/7/7,LG,10,KIA,9
2019/7/9,SK,0,ÇÑÈ­,1
2019/7/9,KIA,2,»ï¼º,3
2019/7/9,NC,1,·Ôµ¥,4
2019/7/9,µÎ»ê,11,LG,4
2019/7/9,Å°¿ò,12,KT,3
2019/7/11,SK,5,ÇÑÈ­,1
2019/7/11,KIA,2,»ï¼º,4
2019/7/11,NC,4,·Ôµ¥,0
2019/7/11,µÎ»ê,8,LG,4
2019/7/11,Å°¿ò,4,KT,2
2019/7/12,Å°¿ò,6,SK,2
2019/7/12,»ï¼º,6,LG,3
2019/7/12,ÇÑÈ­,0,KIA,5
2019/7/12,µÎ»ê,1,·Ôµ¥,2
2019/7/12,KT,8,NC,9
2019/7/13,µÎ»ê,4,·Ôµ¥,3
2019/7/13,Å°¿ò,2,SK,4
2019/7/13,»ï¼º,3,LG,5
2019/7/13,KT,13,NC,3
2019/7/13,ÇÑÈ­,10,KIA,5
2019/7/14,µÎ»ê,8,·Ôµ¥,2
2019/7/14,Å°¿ò,3,SK,4
2019/7/14,»ï¼º,0,LG,2
2019/7/14,KT,4,NC,1
2019/7/14,ÇÑÈ­,7,KIA,10
2019/7/16,»ï¼º,0,Å°¿ò,6
2019/7/16,LG,4,SK,10
2019/7/16,KT,7,µÎ»ê,2
2019/7/16,NC,3,ÇÑÈ­,2
2019/7/17,»ï¼º,6,Å°¿ò,10
2019/7/17,LG,2,SK,8
2019/7/17,KT,6,µÎ»ê,4
2019/7/17,·Ôµ¥,1,KIA,3
2019/7/17,NC,14,ÇÑÈ­,1
2019/7/18,»ï¼º,1,Å°¿ò,5
2019/7/18,LG,12,SK,5
2019/7/18,KT,7,µÎ»ê,4
2019/7/18,·Ôµ¥,6,KIA,3
2019/7/18,NC,7,ÇÑÈ­,4
2019/7/26,NC,4,Å°¿ò,5
2019/7/26,ÇÑÈ­,8,»ï¼º,9
2019/7/26,SK,8,·Ôµ¥,6
2019/7/27,NC,1,Å°¿ò,4
2019/7/27,ÇÑÈ­,6,»ï¼º,7
2019/7/27,SK,4,·Ôµ¥,0
2019/7/27,KIA,1,µÎ»ê,12
2019/7/27,LG,5,KT,2
2019/7/28,NC,11,Å°¿ò,0
2019/7/28,ÇÑÈ­,6,»ï¼º,13
2019/7/28,SK,3,·Ôµ¥,0
2019/7/28,LG,10,KT,1
2019/7/30,·Ôµ¥,2,»ï¼º,5
2019/7/30,KIA,2,SK,0
2019/7/30,Å°¿ò,4,LG,2
2019/7/30,µÎ»ê,9,NC,1
2019/7/30,ÇÑÈ­,2,KT,3
2019/7/31,·Ôµ¥,8,»ï¼º,4
2019/7/31,KIA,6,SK,2
2019/7/31,Å°¿ò,8,LG,0
2019/7/31,µÎ»ê,4,NC,8
2019/7/31,ÇÑÈ­,5,KT,2
