,Win_team,Team_1_pitcher_WHIP,Team_1_pitcher_piAn,Team_1_pitcher_piHom,Team_1_pitcher_sam,Team_1_pitcher_ball,Team_1_pitcher_ja,Team_2_pitcher_WHIP,Team_2_pitcher_piAn,Team_2_pitcher_piHom,Team_2_pitcher_sam,Team_2_pitcher_ball,Team_2_pitcher_ja,Team_1_hitter_hit,Team_1_hitter_homrun,Team_1_hitter_sam,Team_1_hitter_ball,Team_1_hitter_deg,Team_1_hitter_ta,Team_1_hitter_chul,Team_1_hitter_do,Team_2_hitter_hit,Team_2_hitter_homrun,Team_2_hitter_sam,Team_2_hitter_ball,Team_2_hitter_deg,Team_2_hitter_ta,Team_2_hitter_chul,Team_2_hitter_do
0,0,1.67,0.302583026,0.051660517,0.760034159,0.273270709,6.994022203,1.07,0.208516887,0.02349486,0.933412604,0.225921522,2.88941736,0.293111111,0.032079624,0.203655729,0.015664104,0.154584701,0.146356977,0.301361436,0.600994754,0.301777778,0.042686596,0.195250352,0.017998191,0.169069806,0.17554991,0.313033672,0.833068783
1,1,1.38,0.204836415,0.024182077,1.209677419,0.490074442,4.689826303,1.27,0.257971014,0.020289855,0.78313253,0.192771084,3.795180723,0.279,0.023107158,0.191780502,0.02142842,0.139653495,0.11967304,0.29225127,0.614930378,0.288111111,0.035249989,0.223118218,0.018611667,0.158945597,0.149265175,0.299407359,0.556613757
2,1,1.63,0.257551669,0.020667727,0.795040117,0.452224654,4.923413567,1.26,0.225519288,0.026706231,1.018342821,0.297280202,4.098671727,0.281555556,0.038600038,0.233961866,0.01424304,0.139876484,0.152715112,0.290543061,0.330865592,0.269111111,0.044950174,0.214445119,0.021315496,0.157332163,0.154222336,0.281794228,0.572732823
3,0,1.37,0.263083451,0.033946252,0.864500307,0.232985898,4.304107909,1.41,0.277556441,0.033200531,0.787356322,0.206896552,4.603448276,0.289222222,0.042119403,0.197891507,0.008354165,0.149593619,0.151683331,0.293686321,0.598775388,0.302666667,0.039427647,0.165832744,0.019879003,0.171748574,0.174438481,0.313670687,0.739277933
4,1,1.14,0.229317852,0.015965167,0.876470588,0.205882353,3.070588235,1.48,0.274796748,0.02601626,0.764872521,0.283286119,4.270538244,0.294111111,0.032327519,0.188448346,0.01596056,0.140583128,0.165199447,0.30278921,0.462962963,0.260444444,0.026444203,0.217212381,0.015301807,0.125792865,0.126687306,0.270107707,0.552945421
5,1,1.5,0.266490765,0.026385224,0.801169591,0.315789474,5.052631579,1.87,0.289398281,0.034383954,0.646067416,0.463483146,9.985955056,0.286222222,0.030888374,0.202897661,0.015664104,0.149603111,0.136502092,0.294633235,0.531550309,0.301777778,0.042686596,0.195250352,0.017998191,0.169069806,0.17554991,0.313033672,0.833068783
6,0,1.59,0.278867102,0.026143791,0.928853755,0.335968379,5.158102767,1.33,0.249566724,0.013864818,0.753169277,0.260999254,3.959731544,0.279,0.023107158,0.191780502,0.02142842,0.139653495,0.11967304,0.29225127,0.614930378,0.284777778,0.030562084,0.235740164,0.020631869,0.149992822,0.145242037,0.297234076,0.593650794
7,1,1.72,0.217021277,0.021276596,1.294820717,0.717131474,6.454183267,1.14,0.225631769,0.028880866,0.955882353,0.220588235,2.977941176,0.259666667,0.033401301,0.236063707,0.009889682,0.131536472,0.126406215,0.265391925,0.395680406,0.270888889,0.047382727,0.231728668,0.022909862,0.162696563,0.157014285,0.28471457,0.544955045
8,1,1.65,0.28992629,0.039312039,0.613636364,0.306818182,8.386363636,1.31,0.257772021,0.027202073,0.82563824,0.233568713,4.155350353,0.271592862,0.043170367,0.22205542,0.008148723,inf,0.143886518,0.275235108,0.608819451,0.302666667,0.039427647,0.165832744,0.019879003,0.171748574,0.174438481,0.313670687,0.739277933
9,1,1.84,0.29233871,0.030241935,0.60952381,0.457142857,7.542857143,1.53,0.255014327,0.034383954,0.929032258,0.380645161,5.283870968,0.290777778,0.027266558,0.19217679,0.014580298,0.147957548,0.155420419,0.297396209,0.508417508,0.257777778,0.022767574,0.22724277,0.014527514,0.116164804,0.120113403,0.266903811,0.508500976
