순,이름,팀,war,g,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,ops,woba,wrc+,war,wpa
1,김재환,18두LF,6.94,139,602,527,104,176,36,1,44,346,133,2,0,59,9,4,134,6,0,7,.334,.405,.657,1.062,.438,168.8,6.94,5.80
2,박병호,18넥1B,6.62,113,488,400,88,138,20,0,43,287,112,0,1,68,17,10,114,9,0,3,.345,.457,.718,1.175,.478,190.9,6.62,6.44
3,양의지,18두C,6.42,133,503,439,84,157,29,1,23,257,77,6,0,45,13,6,40,13,0,6,.358,.427,.585,1.013,.431,160.5,6.42,3.91
4,전준우,18롯LF,5.67,144,614,556,118,190,36,2,33,329,90,7,7,48,7,1,82,12,1,2,.342,.400,.592,.991,.421,146.3,5.67,5.45
5,로하스,18KCF,5.66,144,645,564,114,172,30,1,43,333,114,18,13,71,7,4,142,10,1,2,.305,.388,.590,.979,.410,138.5,5.66,5.41
6,손아섭,18롯RF,5.30,141,625,553,109,182,32,5,26,302,93,20,3,68,2,1,99,15,1,1,.329,.404,.546,.950,.409,138.6,5.30,4.35
7,러프,18삼1B,5.28,137,597,506,97,167,32,4,33,306,125,5,3,65,18,0,107,17,0,8,.330,.419,.605,1.024,.432,152.9,5.28,5.89
8,안치홍,18K2B,4.98,130,549,494,88,169,38,1,23,278,118,5,1,36,10,1,57,13,0,9,.342,.392,.563,.954,.407,140.3,4.98,4.06
9,최형우,18KLF,4.94,143,609,528,92,179,34,1,25,290,103,3,0,66,7,7,87,17,0,8,.339,.414,.549,.963,.411,143.4,4.94,5.70
10,김현수,18LLF,4.79,117,511,453,95,164,39,2,20,267,101,1,3,47,1,6,61,9,0,10,.362,.415,.589,1.004,.424,155.2,4.79,4.23
11,로맥,18S1B,4.78,141,616,528,102,167,19,0,43,315,107,10,5,72,10,0,123,7,0,6,.316,.404,.597,1.001,.422,144.1,4.78,3.95
12,채은성,18LRF,4.73,139,578,529,78,175,36,2,25,290,119,3,1,35,9,1,97,12,0,5,.331,.379,.548,.927,.396,137.5,4.73,3.44
13,최주환,18두DH,4.66,138,590,519,87,173,39,6,26,302,108,1,0,51,10,1,89,5,0,10,.333,.397,.582,.979,.413,148.6,4.66,3.90
14,버나디나,18KCF,4.55,131,590,513,106,159,25,3,20,250,70,32,13,63,10,3,103,9,3,1,.310,.395,.487,.883,.385,125.4,4.55,3.55
15,나성범,18NRF,4.51,144,620,556,110,177,36,3,23,288,91,15,2,44,15,4,131,11,0,5,.318,.381,.518,.899,.387,126.6,4.51,4.73
16,이재원,18SC,4.21,130,471,407,63,134,24,0,17,209,57,0,0,43,12,0,65,13,4,5,.329,.405,.514,.918,.397,130.6,4.21,2.10
17,구자욱,18삼RF,3.91,116,529,478,100,159,26,5,20,255,84,10,0,43,5,2,110,4,1,2,.333,.392,.533,.926,.398,131.9,3.91,4.23
18,이대호,18롯DH,3.84,144,604,543,81,181,30,0,37,322,125,0,1,43,14,7,75,18,0,4,.333,.394,.593,.987,.415,142.3,3.84,4.34
19,김재호,18두SS,3.79,131,467,402,78,125,20,0,16,193,75,6,2,52,4,1,77,12,3,6,.311,.390,.480,.870,.379,124.5,3.79,1.69
20,이정후,18넥RF,3.75,109,520,459,81,163,34,2,6,219,57,11,4,42,8,3,58,5,3,8,.355,.412,.477,.889,.391,127.4,3.75,2.90
21,호잉,18한RF,3.72,142,590,529,85,162,47,2,30,303,110,23,9,51,5,10,93,5,0,5,.306,.370,.573,.942,.391,124.8,3.72,4.72
22,유강남,18LC,3.68,132,465,425,53,126,33,0,19,216,66,0,0,28,9,1,80,21,2,1,.296,.352,.508,.860,.368,118.7,3.68,-0.62
23,김하성,18넥SS,3.56,129,576,511,95,147,27,4,20,242,84,8,2,54,5,2,81,16,1,5,.288,.358,.474,.832,.360,108.5,3.56,1.01
24,허경민,18두3B,3.56,133,577,516,85,167,30,5,10,237,79,20,4,32,16,0,52,15,5,8,.324,.376,.459,.835,.366,113.4,3.56,1.89
25,한동민,18SRF,3.53,136,562,486,97,138,31,0,41,292,115,4,2,52,16,3,124,10,0,8,.284,.367,.601,.967,.399,129.8,3.53,4.03
26,최정,18S3B,3.52,115,489,406,95,99,16,1,35,222,74,9,2,58,23,2,129,10,0,2,.244,.368,.547,.915,.385,120.3,3.52,2.50
27,유한준,18KRF,3.48,121,480,428,59,145,21,1,20,228,83,1,1,47,2,3,53,9,2,1,.339,.406,.533,.939,.404,134.5,3.48,2.84
28,박건우,18두CF,3.42,125,529,488,79,159,24,6,12,231,84,7,3,28,10,1,65,14,1,2,.326,.373,.473,.847,.371,117.5,3.42,3.97
29,황재균,18K3B,3.40,142,588,530,76,157,41,3,25,279,88,14,7,49,4,1,120,5,2,3,.296,.358,.526,.885,.376,115.5,3.40,1.96
30,이원석,18삼3B,3.35,128,543,479,74,144,30,1,20,236,93,2,1,52,7,1,103,10,0,5,.301,.374,.493,.867,.376,116.9,3.35,3.82
31,오재원,18두2B,3.29,132,521,473,78,148,24,1,15,219,81,15,6,41,2,0,119,13,3,2,.313,.369,.463,.832,.364,114.0,3.29,4.07
32,박해민,18삼CF,3.20,144,649,576,114,172,30,10,9,249,68,36,10,56,3,0,99,9,8,6,.299,.360,.432,.793,.347,99.1,3.20,1.95
33,민병헌,18롯CF,3.05,118,494,443,74,141,21,0,17,213,66,8,3,35,8,3,68,10,2,6,.318,.374,.481,.855,.370,113.1,3.05,1.13
34,이형종,18LCF,3.05,118,485,437,83,138,27,0,13,204,42,6,4,31,12,0,82,6,5,0,.316,.377,.467,.844,.370,117.8,3.05,2.16
35,노수광,18SCF,3.03,135,588,515,93,161,21,8,8,222,53,25,4,48,13,0,86,3,9,3,.313,.383,.431,.815,.360,107.9,3.03,3.46
36,박민우,18N2B,2.93,115,460,411,68,133,22,5,5,180,33,17,5,32,10,3,51,4,3,4,.324,.383,.438,.821,.363,112.9,2.93,0.96
37,오재일,18두1B,2.85,123,477,401,69,112,19,2,27,216,80,1,1,60,6,2,121,3,0,10,.279,.373,.539,.912,.384,130.4,2.85,1.22
38,오지환,18LSS,2.83,144,617,533,93,148,26,2,11,211,71,10,5,59,7,3,146,6,12,6,.278,.354,.396,.750,.329,89.4,2.83,2.62
39,김주찬,18K1B,2.75,121,471,429,71,146,23,0,18,223,93,8,1,23,7,5,57,15,2,10,.340,.375,.520,.895,.380,122.1,2.75,2.43
40,번즈,18롯2B,2.67,133,505,462,80,124,34,5,23,237,64,5,2,33,9,2,133,8,1,0,.268,.329,.513,.842,.356,103.2,2.67,0.17
41,박경수,18K2B,2.51,135,528,458,65,120,21,0,25,216,74,4,1,58,9,2,129,16,0,3,.262,.354,.472,.826,.357,104.0,2.51,1.52
42,이천웅,18LLF,2.41,112,405,359,61,122,22,3,2,156,39,10,10,39,3,2,48,11,2,2,.340,.407,.435,.842,.377,119.7,2.41,1.65
43,나지완,18KDH,2.35,114,379,317,50,86,18,0,26,182,78,0,0,38,19,2,81,14,0,5,.271,.377,.574,.951,.397,134.3,2.35,0.90
44,이범호,18K3B,2.23,101,380,332,41,93,7,0,20,160,69,1,0,42,4,4,59,12,0,2,.280,.366,.482,.848,.365,112.5,2.23,1.03
45,임병욱,18넥CF,2.14,134,447,423,76,124,29,3,13,198,60,16,3,22,0,1,119,6,0,2,.293,.327,.468,.795,.342,96.3,2.14,0.70
46,김선빈,18KSS,2.10,127,492,424,73,125,17,2,4,158,49,4,1,48,9,1,42,10,6,5,.295,.375,.373,.747,.339,94.5,2.10,1.23
47,강백호,18KLF,2.10,138,585,527,108,153,32,2,29,276,84,3,5,52,3,0,124,4,0,3,.290,.356,.524,.879,.375,115.3,2.10,2.81
48,김헌곤,18삼LF,1.99,141,586,513,77,154,26,2,11,217,71,22,9,54,10,1,70,13,5,4,.300,.375,.423,.798,.355,103.9,1.99,-0.57
49,강민호,18삼C,1.97,129,477,427,46,115,14,0,22,195,71,0,0,29,14,5,96,11,0,7,.269,.331,.457,.788,.337,90.2,1.97,-0.83
50,이병규,18롯DH,1.91,103,257,198,31,54,11,1,10,97,39,0,0,50,7,1,58,5,0,2,.273,.432,.490,.922,.406,137.0,1.91,2.36
51,이성열,18한DH,1.87,131,528,485,76,143,21,1,34,268,102,9,7,35,5,3,143,9,1,2,.295,.347,.553,.900,.377,114.2,1.87,3.15
52,신본기,18롯SS,1.87,139,479,425,55,125,28,1,11,188,71,1,5,33,11,2,95,12,5,5,.294,.357,.442,.799,.347,98.4,1.87,0.62
53,이용규,18한CF,1.84,134,575,491,82,144,14,1,1,163,36,30,11,59,12,0,62,8,8,5,.293,.379,.332,.711,.331,88.6,1.84,-0.72
54,김민성,18넥3B,1.75,128,465,413,46,117,24,0,10,171,45,1,0,40,6,3,80,6,1,5,.283,.351,.414,.765,.338,93.4,1.75,-0.78
55,김강민,18SCF,1.71,80,267,235,40,70,14,0,14,126,46,10,6,22,5,0,57,1,5,0,.298,.370,.536,.906,.381,119.1,1.71,-0.02
