순,이름,팀,war,g,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,ops,woba,wrc+,war,wpa
1,김하성,19키SS,7.17,139,625,540,112,166,38,2,19,265,104,33,4,70,7,4,80,12,1,7,.307,.389,.491,.880,.397,145.7,7.17,4.52
2,양의지,19NC,6.69,118,459,390,61,138,26,0,20,224,68,4,3,48,15,4,43,13,0,6,.354,.438,.574,1.012,.452,179.8,6.69,1.88
3,최정,19S3B,6.32,141,606,503,86,147,27,0,29,261,99,3,2,69,26,6,92,4,0,8,.292,.399,.519,.918,.411,148.9,6.32,3.85
4,샌즈,19키RF,6.16,139,613,525,100,160,39,1,28,285,113,1,2,77,6,1,101,17,0,5,.305,.396,.543,.939,.421,163.0,6.16,3.45
5,로하스,19KCF,5.49,142,576,520,68,167,29,3,24,274,104,4,4,48,3,5,120,4,0,5,.321,.379,.527,.905,.405,151.3,5.49,1.20
6,박병호,19키1B,5.46,122,532,432,92,121,22,0,33,242,98,0,1,78,13,5,117,7,0,9,.280,.399,.560,.959,.422,165.8,5.46,2.21
7,페르난데스,19두DH,5.10,144,645,572,87,197,34,0,15,276,88,1,2,61,6,4,54,16,0,6,.344,.409,.483,.892,.408,154.7,5.10,3.32
8,이정후,19키LF,4.88,140,630,574,91,193,31,10,6,262,68,13,7,45,4,0,40,15,3,4,.336,.386,.456,.842,.386,135.1,4.88,1.39
9,강백호,19KRF,4.74,117,504,437,72,147,29,1,13,217,65,9,5,61,2,4,87,11,0,4,.336,.417,.497,.913,.415,157.4,4.74,3.83
10,박민우,19N2B,4.72,125,526,468,89,161,23,8,1,203,45,18,7,41,9,1,40,10,2,6,.344,.403,.434,.836,.387,135.8,4.72,1.68
11,박건우,19두RF,4.68,127,537,458,83,146,27,5,10,213,64,12,3,60,7,0,57,23,1,11,.319,.397,.465,.863,.394,144.3,4.68,0.91
12,전준우,19롯LF,4.24,141,606,545,85,164,30,1,22,262,83,8,2,46,7,2,71,19,1,7,.301,.359,.481,.839,.379,130.6,4.24,0.53
13,러프,19삼1B,4.18,133,568,472,80,138,35,2,22,243,101,6,3,80,7,6,87,18,0,9,.292,.396,.515,.911,.406,145.8,4.18,1.30
14,최형우,19KDH,4.16,136,555,456,65,137,31,1,17,221,86,0,1,85,7,6,77,13,0,7,.300,.413,.485,.897,.406,150.3,4.16,3.05
15,오재일,19두1B,4.14,130,529,467,76,137,29,1,21,231,102,2,1,55,3,1,99,5,0,4,.293,.369,.495,.863,.390,145.1,4.14,4.60
16,황재균,19K3B,4.05,124,506,447,78,127,16,3,20,209,67,10,7,52,2,2,70,10,0,5,.284,.358,.468,.825,.373,130.2,4.05,2.18
17,로맥,19S1B,4.02,137,589,504,86,139,28,1,29,256,95,6,3,73,6,3,117,11,0,6,.276,.370,.508,.878,.393,136.7,4.02,1.09
18,이천웅,19LCF,3.98,138,613,546,88,168,24,3,2,204,48,21,10,57,5,1,82,13,4,1,.308,.378,.374,.751,.353,114.3,3.98,2.02
19,김현수,19LLF,3.57,140,595,526,75,160,37,0,11,230,82,3,1,54,6,9,52,11,0,9,.304,.370,.437,.807,.366,125.8,3.57,3.29
20,최재훈,19한C,3.55,135,451,373,47,108,18,0,3,135,31,3,10,56,14,0,61,9,4,4,.290,.398,.362,.760,.362,122.0,3.55,-0.01
21,민병헌,19롯CF,3.53,101,420,369,52,112,24,2,9,167,43,13,6,42,5,0,55,9,1,3,.304,.380,.453,.832,.382,133.4,3.53,0.10
22,김재환,19두LF,3.52,136,573,494,76,140,20,5,15,215,91,3,1,63,5,5,113,7,0,11,.283,.363,.435,.798,.362,123.5,3.52,2.53
23,호잉,19한RF,3.51,124,525,476,74,135,26,2,18,219,73,22,7,38,5,5,90,6,1,5,.284,.340,.460,.800,.359,120.9,3.51,1.69
24,유한준,19KDH,3.46,139,562,501,61,159,19,1,14,222,86,3,0,52,4,1,61,20,0,5,.317,.383,.443,.826,.381,133.6,3.46,4.09
25,오지환,19LSS,3.37,134,547,473,63,119,23,5,9,179,53,27,5,57,7,1,113,7,7,3,.252,.339,.378,.717,.330,100.8,3.37,0.85
26,유강남,19LC,3.35,132,468,418,44,113,22,0,16,183,49,0,0,30,13,2,82,21,1,6,.270,.334,.438,.772,.350,117.0,3.35,-0.00
27,박석민,19N3B,3.31,112,444,360,49,96,17,1,19,172,74,1,2,65,12,2,69,17,4,3,.267,.393,.478,.871,.393,139.3,3.31,1.42
28,터커,19KRF,3.25,95,399,357,50,111,33,0,9,171,50,0,0,38,3,0,44,12,0,1,.311,.381,.479,.860,.393,141.4,3.25,0.56
29,채은성,19LRF,3.16,128,513,469,59,148,18,1,12,204,72,2,2,24,12,1,66,9,0,8,.316,.359,.435,.794,.364,124.5,3.16,-0.31
30,박세혁,19두C,3.06,137,505,441,58,123,19,9,4,172,63,8,2,41,7,1,68,5,10,6,.279,.346,.390,.736,.334,101.3,3.06,1.02
31,이형종,19LLF,2.99,120,482,419,56,120,24,1,13,185,63,6,5,42,10,1,78,9,1,10,.286,.358,.442,.799,.363,125.2,2.99,0.34
32,김상수,19삼2B,2.97,129,543,468,76,127,20,2,5,166,38,21,3,50,15,1,67,14,6,4,.271,.358,.355,.712,.334,100.0,2.97,-1.97
33,박동원,19키C,2.92,112,361,317,50,94,15,1,10,141,55,1,0,34,2,0,56,10,7,1,.297,.367,.445,.812,.367,125.2,2.92,1.37
34,김재호,19두SS,2.89,130,470,377,51,101,22,0,4,135,48,3,3,67,7,3,58,10,8,11,.268,.379,.358,.737,.342,108.2,2.89,-0.20
35,안치홍,19K2B,2.84,105,408,362,45,114,18,1,5,149,49,4,2,40,1,1,37,9,0,5,.315,.380,.412,.792,.368,123.3,2.84,0.93
36,손아섭,19롯RF,2.75,134,568,512,78,151,22,1,10,205,63,12,8,52,1,1,92,6,1,2,.295,.360,.400,.760,.353,113.9,2.75,1.70
37,이재원,19SC,2.66,139,502,451,33,121,19,0,12,176,75,1,0,34,9,2,59,16,1,7,.268,.327,.390,.718,.330,95.9,2.66,0.43
38,이창진,19KCF,2.50,133,470,400,57,108,25,1,6,153,48,8,8,57,4,0,92,8,4,5,.270,.363,.383,.745,.347,108.8,2.50,-0.85
39,이성열,19한RF,2.45,129,476,414,60,106,21,1,21,192,85,8,4,48,9,1,114,7,1,4,.256,.343,.464,.807,.364,124.7,2.45,1.76
40,이명기,19KNRF,2.45,139,547,484,62,142,17,3,2,171,35,14,4,48,4,2,66,12,7,4,.293,.359,.353,.713,.332,98.5,2.45,-1.33
41,허경민,19두3B,2.44,133,540,475,71,137,25,1,4,176,60,11,5,34,17,2,36,16,3,11,.288,.350,.371,.721,.334,102.4,2.44,-0.25
42,노진혁,19NSS,2.39,110,390,348,51,92,23,2,13,158,43,0,1,31,2,2,80,7,6,3,.264,.326,.454,.780,.345,107.2,2.39,-0.48
43,서건창,19키2B,2.34,113,486,426,67,128,23,3,2,163,41,17,3,49,3,1,50,5,3,5,.300,.373,.383,.755,.352,112.6,2.34,0.10
44,김선빈,19KSS,2.30,121,447,394,55,115,22,0,3,146,40,5,4,43,1,0,26,7,5,4,.292,.360,.371,.730,.340,104.6,2.30,1.05
45,고종욱,19SLF,2.26,137,513,492,76,159,25,7,3,207,56,31,10,18,1,1,89,5,0,2,.323,.347,.421,.768,.353,115.5,2.26,1.73
46,박경수,19K2B,2.21,136,489,420,43,104,24,0,10,158,65,0,1,55,4,1,102,14,4,6,.248,.336,.376,.712,.329,98.4,2.21,0.30
47,한동민,19SRF,2.11,125,502,427,52,113,20,0,12,169,52,0,1,55,20,4,100,6,0,0,.265,.375,.396,.770,.361,116.9,2.11,0.83
48,정은원,19한2B,2.06,142,624,564,83,148,27,6,8,211,57,14,7,48,0,0,101,6,6,6,.262,.317,.374,.691,.317,91.8,2.06,0.05
49,정수빈,19두CF,2.05,123,513,441,75,117,19,5,0,146,42,26,8,57,6,0,60,6,4,5,.265,.354,.331,.685,.325,94.8,2.05,0.15
50,모창민,19N1B,2.04,101,386,341,49,104,21,2,10,159,55,3,2,31,3,1,62,8,0,11,.305,.358,.466,.824,.371,124.4,2.04,0.47
51,이원석,19삼3B,1.98,111,455,395,44,97,20,0,19,174,76,2,1,43,8,0,73,10,2,7,.246,.327,.441,.767,.346,104.8,1.98,0.89
