순,이름,팀,war,g,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,ops,woba,wrc+,war,wpa
52,구자욱,19삼RF,1.95,122,526,475,66,127,27,6,15,211,71,11,3,38,7,2,88,5,0,6,.267,.327,.444,.771,.348,107.6,1.95,1.16
53,심우준,19KSS,1.92,138,433,391,54,109,13,1,3,133,28,24,3,23,6,0,68,7,12,1,.279,.328,.340,.668,.307,81.9,1.92,-1.54
54,김태균,19한DH,1.90,127,500,433,47,132,21,0,6,171,62,3,0,54,5,5,94,15,0,8,.305,.382,.395,.777,.360,121.8,1.90,0.40
55,김혜성,19키2B,1.90,122,387,348,57,96,17,6,0,125,32,20,3,29,2,1,85,4,4,4,.276,.332,.359,.691,.319,88.1,1.90,0.25
56,강민호,19삼C,1.83,112,393,346,36,81,20,0,13,140,45,0,0,33,9,2,76,9,2,3,.234,.315,.405,.719,.327,92.2,1.83,0.46
57,이대호,19롯DH,1.79,135,549,485,48,138,23,1,16,211,88,0,0,48,9,4,65,19,0,7,.285,.355,.435,.790,.360,118.3,1.79,0.94
58,이학주,19삼SS,1.78,118,436,385,43,101,14,3,7,142,36,15,5,32,10,0,89,3,5,4,.262,.332,.369,.701,.324,92.7,1.78,-0.20
59,김헌곤,19삼LF,1.68,114,467,411,57,122,20,1,5,159,46,10,8,37,8,1,41,18,5,6,.297,.362,.387,.748,.346,107.6,1.68,-0.37
60,정의윤,19SDH,1.68,110,419,380,44,107,24,0,13,170,59,0,0,30,6,1,60,9,0,2,.282,.342,.447,.790,.359,115.8,1.68,0.47
61,김민성,19L3B,1.66,107,401,361,44,94,16,0,8,134,50,2,1,30,4,0,75,12,5,1,.260,.323,.371,.694,.320,94.6,1.66,0.43
62,김강민,19SCF,1.63,127,460,422,54,114,14,2,8,156,50,15,8,31,4,3,103,2,0,3,.270,.324,.370,.694,.321,90.7,1.63,-0.67
63,나성범,19NCF,1.54,23,106,93,19,34,12,1,4,60,14,2,1,12,1,0,26,2,0,0,.366,.443,.645,1.089,.483,201.0,1.54,0.52
64,윌슨,19롯3B,1.35,68,268,231,21,58,15,0,9,100,37,0,2,31,5,0,60,8,0,1,.251,.351,.433,.784,.361,118.4,1.35,0.73
65,권희동,19NRF,1.33,116,413,348,37,89,17,0,6,124,41,3,0,50,7,1,60,10,5,3,.256,.358,.356,.714,.334,100.0,1.33,0.18
66,장성우,19KC,1.32,126,412,365,25,96,7,0,7,124,41,0,1,35,2,2,86,11,4,6,.263,.326,.340,.666,.309,83.6,1.32,-1.85
67,박해민,19삼CF,1.26,144,581,506,64,121,16,7,5,166,44,24,7,58,2,0,82,4,12,3,.239,.318,.328,.646,.300,76.8,1.26,-1.36
68,유민상,19K1B,1.23,61,202,175,23,51,15,0,5,81,26,0,0,23,4,0,35,6,0,0,.291,.386,.463,.849,.391,139.6,1.23,0.46
69,페게로,19L1B,1.22,52,214,199,24,57,10,0,9,94,44,2,1,12,2,0,63,2,0,1,.286,.332,.472,.804,.364,127.3,1.22,1.80
70,송광민,19한3B,1.04,122,486,454,50,119,21,0,7,161,51,8,2,21,3,0,91,18,3,5,.262,.296,.355,.651,.300,80.0,1.04,-1.60
71,박계범,19삼SS,1.01,58,204,168,26,43,8,1,4,65,25,5,1,22,5,0,45,7,6,3,.256,.354,.387,.740,.336,99.9,1.01,-0.34
72,김민혁,19KLF,1.00,127,521,466,68,131,10,1,0,143,32,22,10,32,13,0,61,8,5,5,.281,.341,.307,.648,.309,82.7,1.00,-0.27
73,아수아헤,19롯2B,0.94,48,194,163,34,41,5,4,2,60,21,3,2,26,1,1,24,0,3,1,.252,.356,.368,.724,.334,102.2,0.94,0.63
74,조셉,19L1B,0.91,55,217,197,17,54,3,0,9,84,36,0,1,14,4,0,46,3,0,2,.274,.332,.426,.758,.347,115.6,0.91,0.07
75,박찬호,19K3B,0.91,133,541,504,60,131,15,4,2,160,49,39,6,26,4,0,83,8,5,2,.260,.300,.317,.618,.289,68.7,0.91,-0.19
76,오승택,19K1B,0.89,62,199,187,36,52,11,1,4,77,22,9,0,11,0,0,39,4,0,1,.278,.317,.412,.728,.334,101.2,0.89,0.48
77,이지영,19키C,0.88,106,331,308,40,87,5,1,1,97,39,5,1,15,1,1,28,14,6,1,.282,.317,.315,.632,.293,73.3,0.88,-1.51
78,정근우,19한CF,0.75,88,305,277,37,77,10,1,3,98,30,8,5,20,4,1,43,11,3,1,.278,.334,.354,.688,.320,94.3,0.75,-0.50
79,최주환,19두2B,0.75,87,325,285,27,79,13,0,4,104,47,0,0,28,1,0,35,10,0,11,.277,.332,.365,.697,.323,95.2,0.75,-0.87
80,강로한,19롯2B,0.74,104,306,288,38,69,15,6,4,108,25,7,1,13,3,0,107,3,1,1,.240,.279,.375,.654,.298,77.1,0.74,-0.08
81,김주찬,19K1B,0.71,100,363,337,35,101,16,0,3,126,32,3,1,17,5,3,44,6,1,3,.300,.340,.374,.714,.330,97.0,0.71,-0.46
82,김성욱,19NCF,0.65,116,333,287,38,66,16,1,9,111,36,6,4,29,3,1,69,4,9,5,.230,.303,.387,.689,.306,80.5,0.65,-0.28
83,스몰린스키,19NRF,0.64,55,228,205,32,47,14,1,9,90,42,3,1,16,5,0,31,7,0,2,.229,.298,.439,.737,.332,98.5,0.64,0.78
84,장진혁,19한CF,0.61,113,349,315,42,80,16,5,1,109,24,13,5,26,5,0,74,4,2,1,.254,.320,.346,.666,.312,88.2,0.61,-0.72
85,신본기,19롯SS,0.60,121,413,375,43,96,9,0,1,108,26,3,3,24,8,1,62,9,5,1,.256,.314,.288,.602,.286,68.5,0.60,-1.68
86,오선진,19한SS,0.59,122,453,392,37,88,16,0,3,113,36,7,2,38,10,0,72,8,10,3,.224,.307,.288,.595,.281,66.7,0.59,-1.28
87,임병욱,19키CF,0.57,117,419,379,39,92,17,5,0,119,41,10,2,23,11,0,110,6,6,0,.243,.305,.314,.619,.290,69.1,0.57,0.33
88,노수광,19SLF,0.57,117,445,388,69,97,16,1,2,121,28,27,10,46,2,0,68,1,9,0,.250,.333,.312,.644,.304,80.9,0.57,0.92
89,조용호,19KRF,0.53,87,211,188,15,55,6,3,0,67,19,3,4,21,0,0,28,0,2,0,.293,.364,.356,.720,.339,103.2,0.53,0.17
90,김태진,19NLF,0.53,123,399,374,44,103,14,5,5,142,46,12,4,16,1,0,67,3,5,3,.275,.305,.380,.684,.311,83.6,0.53,-1.28
91,장영석,19키3B,0.53,119,413,372,41,92,15,0,7,128,62,0,0,27,9,0,77,14,0,5,.247,.310,.344,.654,.307,83.4,0.53,0.11
92,베탄코트,19NRF,0.51,53,224,203,23,50,8,0,8,82,29,1,1,18,1,0,51,1,0,2,.246,.308,.404,.712,.326,93.5,0.51,-1.58
93,류지혁,19두SS,0.51,118,316,276,36,69,6,2,0,79,34,18,5,24,7,0,40,6,6,3,.250,.323,.286,.609,.289,69.9,0.51,0.14
94,김성현,19SSS,0.50,144,472,426,45,105,16,2,1,128,34,6,2,33,2,0,43,15,8,3,.246,.302,.300,.602,.282,66.1,0.50,-1.99
95,윌리엄슨,19삼RF,0.46,40,168,154,19,42,7,1,4,63,15,0,1,13,0,0,50,2,0,1,.273,.327,.409,.737,.339,101.9,0.46,-0.42
96,황윤호,19K2B,0.43,57,130,123,9,37,5,2,1,49,9,2,2,5,0,0,12,2,1,1,.301,.326,.398,.724,.331,97.3,0.43,-0.25
97,손시헌,19NSS,0.38,68,149,135,17,36,4,1,2,48,10,1,2,5,5,0,23,2,4,0,.267,.317,.356,.673,.308,81.5,0.38,-0.79
98,김찬형,19NSS,0.36,76,154,141,16,39,4,2,1,50,12,3,4,6,4,0,21,1,2,1,.277,.322,.355,.677,.313,85.3,0.36,-0.31
99,박용택,19LDH,0.34,64,215,195,19,55,9,0,1,67,22,3,1,18,0,1,30,3,0,2,.282,.340,.344,.683,.321,92.7,0.34,-0.85
100,최진행,19한LF,0.34,45,129,117,10,27,6,0,6,51,19,0,0,9,2,0,28,3,0,1,.231,.295,.436,.731,.330,100.5,0.34,0.09
101,신범수,19KC,0.34,39,65,57,4,12,5,0,2,23,7,0,0,7,1,0,14,1,0,0,.211,.308,.404,.711,.327,96.2,0.34,-0.08
102,지성준,19한C,0.33,58,109,104,7,26,6,0,2,38,11,0,0,5,0,0,21,3,0,0,.250,.284,.365,.650,.300,79.7,0.33,-1.02
103,강민국,19KSS,0.28,58,94,88,12,24,0,1,0,26,7,2,0,6,0,0,17,2,0,0,.273,.319,.295,.615,.295,72.6,0.28,-0.14
104,김규민,19키LF,0.28,94,250,222,33,55,8,1,3,74,24,2,4,22,4,0,68,4,0,2,.248,.324,.333,.657,.312,86.0,0.28,-0.62
105,한승택,19KC,0.27,105,288,251,22,56,9,1,3,76,27,1,0,27,1,1,82,8,7,2,.223,.299,.303,.602,.278,61.6,0.27,-0.50
106,채태인,19롯1B,0.25,59,182,167,11,42,11,0,5,68,29,0,0,11,2,1,45,5,0,2,.252,.302,.407,.709,.321,91.5,0.25,-0.44
107,강경학,19한SS,0.25,52,135,113,21,27,4,0,0,31,12,1,2,15,3,0,32,3,3,1,.239,.341,.274,.615,.297,77.6,0.25,-0.26
108,백용환,19KC,0.24,28,51,47,3,11,2,0,2,19,6,0,0,3,1,0,14,0,0,0,.234,.294,.404,.698,.320,90.9,0.24,-0.37
109,최승민,19NCF,0.24,24,10,9,5,4,1,0,0,5,1,5,2,1,0,0,2,0,0,0,.444,.500,.556,1.056,.487,204.2,0.24,0.09
110,최영진,19삼3B,0.23,96,275,251,29,63,15,1,5,95,20,4,1,14,2,2,47,4,8,0,.251,.296,.378,.674,.299,74.9,0.23,-1.26
111,김동한,19롯2B,0.23,42,85,78,9,22,4,0,0,26,2,3,2,6,0,0,15,1,1,0,.282,.333,.333,.667,.313,86.6,0.23,-0.29
112,김민하,19한LF,0.22,72,140,125,14,32,6,0,2,44,14,5,2,9,3,0,41,4,2,1,.256,.319,.352,.671,.311,87.7,0.22,-0.66
113,이흥련,19두C,0.22,27,44,42,3,13,2,1,0,17,5,0,0,2,0,0,12,1,0,0,.310,.341,.405,.746,.345,106.8,0.22,-0.41
114,공민규,19삼1B,0.21,28,60,53,4,13,1,0,3,23,6,0,0,6,1,0,18,0,0,0,.245,.333,.434,.767,.352,108.8,0.21,0.10
115,송민섭,19KRF,0.21,104,64,53,24,16,0,1,0,18,4,0,3,7,2,0,13,0,1,1,.302,.397,.340,.736,.350,110.6,0.21,0.31
116,최항,19S2B,0.20,52,147,127,12,29,5,0,0,34,14,2,0,16,2,0,24,3,1,1,.228,.322,.268,.590,.288,70.1,0.20,-1.09
117,강진성,19NLF,0.19,41,104,97,11,24,4,1,2,36,14,2,1,3,4,0,20,6,0,0,.247,.298,.371,.669,.311,83.5,0.19,0.18
118,김인태,19두LF,0.19,26,70,60,6,14,2,1,2,24,7,1,1,8,0,0,12,2,1,1,.233,.319,.400,.719,.324,98.1,0.19,0.41
119,이원재,19N1B,0.17,94,285,256,31,66,11,0,8,101,36,1,2,20,1,0,47,5,5,3,.258,.311,.395,.705,.318,88.5,0.17,-0.51
120,김회성,19한1B,0.17,58,117,104,7,24,4,0,3,37,18,2,1,11,0,0,24,1,1,1,.231,.302,.356,.658,.303,82.2,0.17,0.16
121,이성규,19삼3B,0.15,16,46,43,3,11,2,0,2,19,7,1,1,2,1,0,16,1,0,0,.256,.304,.442,.746,.339,100.0,0.15,-0.01
122,김재현,19SCF,0.13,83,49,42,29,12,2,1,0,16,2,13,6,4,0,0,11,0,3,0,.286,.348,.381,.729,.320,93.9,0.13,0.45
123,정범모,19NC,0.12,25,45,40,4,9,1,0,2,16,4,1,1,3,0,0,15,0,2,0,.225,.279,.400,.679,.296,72.3,0.12,0.68
124,최윤석,19한SS,0.11,7,15,12,3,3,0,0,0,3,1,0,0,3,0,0,4,0,0,0,.250,.400,.250,.650,.333,102.9,0.11,-0.05
125,허일,19롯CF,0.11,71,162,149,14,38,4,0,1,45,17,2,1,12,1,0,28,1,0,0,.255,.315,.302,.617,.296,74.9,0.11,0.12
126,이병휘,19두2B,0.10,21,12,12,6,3,0,0,0,3,1,5,0,0,0,0,3,0,0,0,.250,.250,.250,.500,.236,32.3,0.10,-0.04
127,김도환,19삼C,0.10,61,106,93,7,19,6,0,2,31,7,0,0,8,0,0,36,0,4,1,.204,.265,.333,.598,.266,52.0,0.10,-0.44
128,박한이,19삼DH,0.10,30,85,74,6,19,3,0,2,28,13,0,0,9,0,0,17,0,1,1,.257,.333,.378,.712,.327,93.9,0.10,0.32
129,임재현,19SRF,0.10,6,3,3,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,.667,.667,.667,1.333,.630,302.3,0.10,-0.01
130,김태연,19한3B,0.09,9,6,4,0,1,1,0,0,2,0,0,0,2,0,0,2,0,0,0,.250,.500,.500,1.000,.460,185.5,0.09,-0.00
131,전민수,19L,0.08,75,105,95,8,23,7,0,0,30,8,2,1,9,0,0,18,4,1,0,.242,.308,.316,.624,.294,74.1,0.08,-0.03
132,고승민,19롯2B,0.08,30,89,83,7,21,6,2,0,31,6,0,0,4,0,0,16,1,1,1,.253,.284,.373,.658,.296,76.3,0.08,-0.33
133,이인혁,19NRF,0.08,6,9,8,1,2,0,0,1,5,1,0,0,1,0,0,3,0,0,0,.250,.333,.625,.958,.416,152.5,0.08,-0.05
134,김태군,19NC,0.08,18,28,22,0,4,0,0,0,4,1,0,0,4,2,0,8,1,0,0,.182,.357,.182,.539,.292,70.5,0.08,-0.07
135,신성현,19두1B,0.07,35,54,41,9,8,0,0,1,11,6,0,0,10,1,0,14,0,0,2,.195,.352,.268,.620,.308,86.3,0.07,-0.13
136,박지규,19L2B,0.06,10,18,11,2,1,0,0,0,1,1,0,0,4,2,0,7,0,1,0,.091,.412,.091,.503,.296,77.9,0.06,0.11
137,나지완,19KDH,0.06,56,153,129,12,24,5,0,6,47,17,0,0,19,3,1,37,3,0,2,.186,.301,.364,.665,.306,82.2,0.06,-0.70
138,류승현,19K1B,0.05,57,163,150,14,38,8,1,0,48,14,3,2,9,4,0,29,3,0,0,.253,.313,.320,.633,.301,77.1,0.05,-0.12
139,이우성,19NKLF,0.05,60,168,151,19,33,4,0,6,55,22,0,0,12,2,0,40,3,1,2,.219,.281,.364,.646,.295,73.5,0.05,-0.98
140,하주석,19한SS,0.04,5,20,19,3,5,2,0,0,7,2,0,0,0,0,0,4,1,1,0,.263,.263,.368,.632,.273,60.5,0.04,-0.51
141,김재성,19LC,0.04,3,7,5,0,1,0,0,0,1,1,0,0,2,0,0,2,0,0,0,.200,.429,.200,.629,.341,106.4,0.04,0.07
142,한준수,19KC,0.04,7,20,20,2,6,2,0,0,8,2,0,0,0,0,0,2,2,0,0,.300,.300,.400,.700,.321,90.8,0.04,-0.07
143,채현우,19S,0.03,9,1,1,2,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,,0.03,0.04
144,예진원,19키LF,0.03,2,8,6,1,1,1,0,0,2,1,0,0,2,0,0,3,0,0,0,.167,.375,.333,.708,.345,105.7,0.03,0.07
145,이준수,19KC,0.03,32,49,36,3,7,1,0,0,8,3,0,0,9,1,0,11,1,3,0,.194,.370,.222,.592,.290,71.2,0.03,-0.04
146,이동훈,19한LF,0.02,14,31,31,3,9,1,0,0,10,4,3,0,0,0,0,8,1,0,0,.290,.290,.323,.613,.286,72.1,0.02,0.05
147,김웅빈,19키3B,0.02,4,11,11,1,3,1,0,0,4,3,0,0,0,0,0,2,2,0,0,.273,.273,.364,.636,.292,70.2,0.02,0.11
148,홍창기,19LCF,0.02,23,25,23,3,5,2,0,0,7,0,2,0,1,1,0,12,1,0,0,.217,.280,.304,.584,.278,63.0,0.02,-0.07
149,이정훈,19KC,0.02,7,15,14,0,4,1,0,0,5,3,0,0,0,0,0,1,2,0,1,.286,.267,.357,.624,.277,61.0,0.02,-0.10
150,이범호,19K,0.02,19,31,26,1,6,1,0,1,10,5,0,0,3,0,0,3,1,0,2,.231,.290,.385,.675,.301,78.9,0.02,-0.29
151,정주현,19L2B,0.01,129,425,376,53,87,19,2,2,116,27,15,6,31,1,0,91,10,16,1,.231,.291,.309,.600,.273,60.1,0.01,-0.98
152,최선호,19삼LF,0.01,17,8,6,1,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,.167,.375,.167,.542,.298,76.2,0.01,0.02
153,오준혁,19S,0.01,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,,0.01,-0.00
154,이석훈,19롯CF,0.01,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000,.000,,0.01,-0.07
155,정병곤,19두2B,0.01,20,31,27,6,5,1,0,0,6,4,0,0,2,2,0,4,2,0,0,.185,.290,.222,.513,.259,50.9,0.01,-0.40
156,박유연,19두C,0.01,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,,0.01,-0.01
157,김민수,19롯3B,0.00,11,37,34,0,8,3,0,0,11,1,0,0,1,2,0,14,2,0,0,.235,.297,.324,.621,.295,74.5,0.00,-0.28
158,박상언,19한,0.00,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,,0.00,0.00
,문경찬,19K,0.00,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,,0.00,-0.00
160,김지수,19키3B,0.00,69,32,30,3,8,2,0,0,10,3,0,0,2,0,0,7,1,0,0,.267,.313,.333,.646,.305,79.9,0.00,-0.05
161,전민재,19두3B,0.00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00
162,김승회,19두,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00
,이승진,19S,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00
,양원혁,19L,0.00,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00
,박시영,19롯P,0.00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00
166,엄상백,19KP,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00
,김종수,19한P,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00
,신재웅,19SP,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00
,구승민,19롯P,0.00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00
,임기준,19KP,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00
,최성영,19NP,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00
,이민우,19KP,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00
,권오준,19삼P,0.00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00
