순,이름,팀,war,g,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,ops,woba,wrc+,war,wpa
1,키움,19,32.83,1637,5658,4991,780,1405,252,37,112,2067,741,110,33,514,69,13,943,122,36,48,.282,.354,.414,.768,.352,114.2,32.83,9.03
2,두산,19,28.28,1738,5669,4912,736,1364,235,31,84,1913,692,102,38,562,73,16,799,117,39,83,.278,.355,.389,.745,.344,109.9,28.28,6.12
3,NC,19,25.80,1783,5631,4968,674,1383,249,26,128,2068,639,86,45,456,83,14,880,126,64,60,.278,.345,.416,.762,.346,106.6,25.80,-1.13
4,KT,19,22.89,1887,5579,4962,650,1374,186,20,103,1909,615,104,44,476,51,15,974,113,45,45,.277,.344,.385,.728,.336,102.1,22.89,1.42
5,LG,19,22.13,1825,5536,4928,641,1316,233,15,94,1861,604,108,47,434,77,17,962,117,49,48,.267,.333,.378,.711,.327,99.0,22.13,2.54
6,SK,19,19.36,1731,5542,4919,655,1290,218,14,117,1887,622,118,50,462,87,20,966,92,35,38,.262,.334,.384,.718,.331,97.4,19.36,0.55
7,삼성,19,17.45,1652,5533,4866,622,1245,230,26,122,1893,598,107,42,478,78,15,976,107,58,53,.256,.329,.389,.718,.328,94.7,17.45,-4.93
8,KIA,19,17.26,1807,5505,4874,605,1286,248,19,76,1800,566,87,42,496,59,13,919,108,31,45,.264,.336,.369,.706,.328,95.1,17.26,-3.84
9,한화,19,15.02,1738,5482,4882,607,1249,223,16,88,1768,562,105,51,441,70,12,1090,112,44,45,.256,.324,.362,.686,.317,92.0,15.02,-7.10
