순,이름,팀,war,g,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,ops,woba,wrc+,war,wpa
39,정훈,20롯CF,2.69,111,476,410,72,121,19,1,11,175,58,11,1,56,4,0,85,8,2,4,.295,.382,.427,.809,.371,115.8,2.69,1.87
40,박해민,20삼CF,2.56,131,538,486,84,142,18,5,11,203,55,34,12,39,3,1,76,7,7,3,.292,.347,.418,.764,.344,99.1,2.56,-0.05
41,한동희,20롯3B,2.47,135,531,461,62,128,22,0,17,201,67,0,3,57,5,0,97,15,5,3,.278,.361,.436,.797,.360,108.4,2.47,0.40
42,최원준,20KCF,2.47,123,412,359,72,117,16,6,2,151,35,14,3,33,6,0,35,1,9,5,.326,.387,.421,.808,.365,112.6,2.47,2.31
43,박경수,20K2B,2.41,119,391,324,33,91,17,0,13,147,59,0,1,48,9,2,96,14,3,7,.281,.381,.454,.835,.374,118.9,2.41,0.77
44,박동원,20키C,2.26,110,366,319,44,80,20,0,12,136,50,0,0,37,6,0,67,10,2,2,.251,.338,.426,.764,.345,105.1,2.26,0.39
45,김선빈,20K2B,2.25,85,351,303,42,100,19,0,1,122,37,1,1,40,2,0,43,12,1,5,.330,.406,.403,.808,.378,120.9,2.25,1.07
46,이용규,20한CF,2.20,119,482,415,58,119,14,2,1,140,32,17,8,58,6,0,36,9,2,1,.287,.381,.337,.719,.345,103.1,2.20,1.04
47,장성우,20KC,2.18,128,449,396,38,110,15,0,13,164,77,0,0,37,0,0,63,15,10,6,.278,.335,.414,.749,.332,91.5,2.18,0.48
48,서건창,20키DH,2.17,133,585,476,77,132,28,5,5,185,51,23,10,90,4,1,58,8,5,10,.277,.390,.389,.778,.361,112.2,2.17,1.02
49,김동엽,20삼DH,2.13,114,447,409,60,127,20,0,20,207,73,4,4,29,4,0,79,14,1,4,.311,.359,.506,.865,.383,121.8,2.13,1.55
50,채은성,20LRF,2.08,109,464,416,59,122,17,2,15,188,88,0,3,32,9,1,69,12,0,7,.293,.351,.452,.803,.361,116.8,2.08,-0.14
51,권희동,20NRF,2.08,121,418,338,67,89,16,0,12,141,50,3,0,58,11,0,70,5,6,5,.263,.384,.417,.801,.365,111.7,2.08,1.84
52,안치홍,20롯2B,2.02,124,460,412,49,118,28,0,8,170,54,14,3,35,7,2,47,11,4,2,.286,.351,.413,.764,.346,99.0,2.02,-0.20
53,김재호,20두SS,1.98,119,452,397,46,115,15,1,2,138,39,6,2,44,4,1,44,17,2,5,.290,.362,.348,.710,.334,95.4,1.98,-0.10
54,강진성,20N1B,1.97,119,424,387,53,122,25,0,12,183,70,9,1,20,9,0,46,11,2,6,.315,.358,.473,.831,.371,115.4,1.97,0.97
55,박준태,20키CF,1.83,126,439,346,71,85,13,1,5,115,29,5,1,62,19,0,120,4,9,3,.246,.386,.332,.718,.342,101.0,1.83,0.76
56,박세혁,20두C,1.78,122,415,352,46,96,18,2,3,127,49,5,3,35,12,0,44,7,9,7,.273,.352,.361,.713,.327,91.6,1.78,1.13
57,이명기,20NLF,1.75,134,534,472,80,146,18,3,2,176,45,12,7,49,4,0,78,6,5,4,.309,.376,.373,.749,.350,102.6,1.75,1.02
58,박병호,20키1B,1.62,91,373,302,54,67,6,0,20,133,62,0,0,55,8,2,110,8,0,8,.222,.349,.440,.789,.352,112.3,1.62,-0.03
59,조용호,20KLF,1.53,130,477,405,73,120,15,0,0,135,32,12,3,63,2,1,83,6,5,2,.296,.392,.333,.725,.347,99.7,1.53,1.85
60,허정협,20키LF,1.43,109,352,306,44,83,12,0,10,125,43,0,0,40,2,0,71,6,3,1,.271,.358,.409,.767,.351,108.4,1.43,1.49
61,살라디노,20삼LF,1.35,44,163,132,26,37,8,0,6,63,27,6,1,23,7,0,41,3,0,1,.280,.411,.477,.888,.405,136.3,1.35,0.53
62,오윤석,20롯2B,1.31,63,197,168,31,50,7,1,4,71,32,2,1,24,2,0,47,2,1,2,.298,.388,.423,.810,.373,116.9,1.31,0.44
63,이원석,20삼3B,1.29,120,463,399,45,107,17,0,13,163,74,0,1,49,2,1,81,7,1,12,.268,.342,.409,.751,.339,94.3,1.29,0.24
64,반즈,20한1B,1.24,74,319,283,38,75,17,1,9,121,42,2,1,27,7,1,81,4,0,2,.265,.342,.428,.769,.348,104.6,1.24,0.31
65,한동민,20SRF,1.23,62,231,193,35,48,5,0,15,98,31,2,0,30,6,1,49,8,0,2,.249,.364,.508,.871,.383,121.0,1.23,0.56
66,이지영,20키C,1.20,99,284,258,22,81,10,2,0,95,36,1,1,18,4,1,26,8,3,1,.314,.367,.368,.735,.341,98.3,1.20,0.44
67,김호재,20삼3B,1.11,65,138,118,19,38,5,0,1,46,10,2,0,16,3,0,19,1,1,0,.322,.416,.390,.806,.381,124.0,1.11,0.03
68,이대호,20롯DH,1.01,144,611,542,67,158,27,0,20,245,110,1,0,53,5,9,68,21,0,11,.292,.354,.452,.806,.357,105.8,1.01,3.56
69,이병규,20롯1B,0.96,53,194,164,28,45,4,0,9,76,32,0,0,28,1,0,55,5,0,1,.274,.381,.463,.845,.383,123.6,0.96,0.91
70,김민성,20L3B,0.96,87,333,297,29,79,20,0,5,114,47,2,1,24,4,2,66,8,4,4,.266,.325,.384,.709,.319,87.7,0.96,-0.30
