순,이름,팀,WAAwithADJ,출장,선발,이닝,기회,자살,보살,실책,수비율,RF9,RNG,ARM,CS,BLK,E+,RAA,/133,POSADJ,RAAwithADJ,WAAw/oADJ,WAAwithADJ
12,배정대,20KCF,0.806,3,141,1221.1,372,354,13,5,.987,2.70,1.62,5.13,0.00,0.00,-0.41,6.34,6.21,2.23,8.57,0.596,0.806
13,장성우,20KC,0.781,3,114,952.0,702,665,34,3,.996,6.61,-0.65,0.00,-0.89,0.42,0.75,-0.37,-0.47,8.64,8.27,-0.035,0.781
14,최재훈,20한C,0.755,3,103,857.2,779,727,47,5,.994,8.12,0.71,0.00,-0.42,-0.31,0.22,0.20,0.29,7.83,8.03,0.019,0.755
15,한동희,20롯3B,0.746,2,130,1103.0,422,194,211,17,.960,3.31,7.53,0.00,0.00,0.00,-0.21,7.32,7.94,0.59,7.90,0.691,0.746
16,박경수,20K2B,0.722,2,94,746.1,474,180,286,8,.983,5.62,6.19,0.00,0.00,0.00,0.13,6.31,10.12,1.36,7.67,0.594,0.722
17,박민우,20N2B,0.700,4,116,943.2,538,250,278,10,.981,5.04,5.58,0.00,0.00,0.00,0.18,5.76,7.31,1.73,7.49,0.538,0.700
18,최지훈,20SRF,0.686,3,118,1007.1,269,257,8,4,.985,2.37,6.86,3.03,0.00,0.00,-0.25,9.65,11.46,-2.47,7.18,0.922,0.686
19,박세혁,20두C,0.648,3,105,881.2,798,752,38,8,.990,8.06,-0.45,0.00,-1.62,1.31,-0.35,-1.11,-1.51,7.97,6.86,-0.105,0.648
20,정수빈,20두CF,0.642,3,132,1161.2,336,328,7,1,.997,2.60,3.82,0.52,0.00,0.00,0.36,4.70,4.85,2.12,6.82,0.443,0.642
21,김민식,20KC,0.632,1,53,470.1,417,365,50,2,.995,7.94,1.09,0.00,1.77,-0.74,0.27,2.39,6.09,4.21,6.60,0.229,0.632
22,박동원,20키C,0.586,3,75,641.1,503,461,36,6,.988,6.98,0.25,0.00,-0.15,0.56,-0.29,0.38,0.71,5.85,6.23,0.036,0.586
23,이재원,20SC,0.570,3,65,545.1,461,422,36,3,.994,7.56,-0.54,0.00,1.53,-0.10,0.18,1.07,2.34,4.86,5.93,0.103,0.570
24,김준태,20롯C,0.543,2,84,793.0,676,615,54,7,.990,7.59,0.74,0.00,-2.00,0.08,-0.27,-1.44,-2.18,7.17,5.73,-0.137,0.543
25,김재호,20두SS,0.534,3,112,960.2,438,137,288,13,.970,3.98,0.13,0.00,0.00,0.00,0.28,0.42,0.52,5.23,5.65,0.040,0.534
26,김선빈,20K2B,0.488,2,79,621.1,373,157,213,3,.992,5.36,3.22,0.00,0.00,0.00,0.84,4.06,7.82,1.13,5.20,0.381,0.488
27,송민섭,20KLF,0.444,2,1,217.0,54,50,4,0,1.000,2.24,1.77,3.70,0.00,0.00,0.12,5.60,30.87,-0.90,4.69,0.530,0.444
28,노진혁,20NSS,0.427,4,119,1005.0,477,182,286,9,.981,4.19,-1.96,0.00,0.00,0.00,1.22,-0.74,-0.88,5.30,4.56,-0.070,0.427
29,전병우,20키3B,0.427,3,96,864.1,377,198,170,9,.976,3.83,3.75,0.00,0.00,0.00,0.61,4.36,6.04,0.13,4.49,0.414,0.427
30,김강민,20SCF,0.426,3,69,658.1,216,207,7,2,.991,2.93,1.15,2.24,0.00,0.00,-0.08,3.31,6.02,1.19,4.50,0.313,0.426
31,한승택,20KC,0.424,3,70,597.0,588,550,35,3,.995,8.82,-0.44,0.00,-0.33,-0.41,0.25,-0.92,-1.85,5.39,4.47,-0.088,0.424
32,이학주,20삼SS,0.404,3,57,483.1,273,108,161,4,.985,5.01,0.98,0.00,0.00,0.00,0.65,1.63,4.04,2.61,4.24,0.156,0.404
33,김규성,20K2B,0.401,3,49,486.0,292,118,168,6,.980,5.30,2.90,0.00,0.00,0.00,0.04,2.95,7.25,1.24,4.19,0.282,0.401
34,허경민,20두3B,0.400,3,113,987.0,310,103,198,9,.971,2.75,0.83,0.00,0.00,0.00,1.22,2.05,2.49,2.23,4.28,0.192,0.400
35,이지영,20키C,0.388,3,50,440.2,381,362,15,4,.990,7.70,-0.02,0.00,-0.03,0.33,-0.17,0.10,0.28,4.00,4.11,0.010,0.388
36,구본혁,20L3B,0.387,3,17,381.1,159,41,113,5,.969,3.64,2.89,0.00,0.00,0.00,0.08,2.97,9.33,1.11,4.08,0.282,0.387
37,구자욱,20삼LF,0.384,2,101,835.0,214,205,7,2,.991,2.29,7.02,1.59,0.00,0.00,0.08,8.70,12.47,-4.59,4.11,0.814,0.384
38,서건창,20키2B,0.382,3,52,440.2,272,124,145,3,.989,5.49,2.84,0.00,0.00,0.00,0.42,3.26,8.87,0.80,4.07,0.307,0.382
39,이정후,20키RF,0.370,3,127,1094.1,284,271,10,3,.989,2.31,6.63,1.31,0.00,0.00,0.02,7.95,8.70,-3.96,3.99,0.738,0.370
40,반즈,20한1B,0.369,1,71,626.1,372,335,33,4,.989,5.29,6.92,1.28,0.00,0.00,-0.11,8.08,15.45,-4.18,3.90,0.765,0.369
41,지석훈,20N3B,0.349,2,35,382.2,185,72,108,5,.973,4.23,2.61,0.00,0.00,0.00,0.07,2.68,8.40,0.99,3.67,0.255,0.349
42,최정,20S3B,0.342,3,118,987.2,257,76,170,11,.957,2.24,1.03,0.00,0.00,0.00,0.83,1.86,2.25,1.82,3.68,0.172,0.342
43,김준완,20NRF,0.325,2,16,176.0,50,46,4,0,1.000,2.56,0.67,3.21,0.00,0.00,0.10,3.98,27.07,-0.57,3.41,0.379,0.325
44,김태군,20NC,0.323,4,34,335.1,319,297,19,3,.991,8.48,0.49,0.00,0.19,-0.18,-0.12,0.38,1.36,3.04,3.42,0.036,0.323
45,정보근,20롯C,0.318,2,57,416.1,379,349,28,2,.995,8.15,-1.09,0.00,0.34,0.16,0.19,-0.40,-1.16,3.72,3.32,-0.039,0.318
46,김성욱,20NRF,0.311,4,41,472.1,121,118,3,0,1.000,2.31,3.09,1.78,0.00,0.00,0.27,5.15,13.04,-1.87,3.27,0.489,0.311
47,김성현,20SSS,0.296,3,113,936.2,503,197,296,10,.980,4.74,-1.46,0.00,0.00,0.00,0.60,-0.86,-1.09,3.97,3.12,-0.081,0.296
48,박승규,20삼RF,0.289,3,46,440.0,118,115,3,0,1.000,2.41,3.14,0.84,0.00,0.00,0.24,4.23,11.50,-1.19,3.03,0.403,0.289
49,양석환,20L3B,0.287,1,37,293.0,170,129,37,4,.977,5.10,3.96,0.00,0.00,0.00,-0.09,3.87,15.80,-0.86,3.01,0.369,0.287
50,최항,20S2B,0.283,2,37,320.0,193,85,105,3,.985,5.34,2.26,0.00,0.00,0.00,0.16,2.42,9.04,0.57,2.99,0.229,0.283
51,김민성,20L3B,0.253,2,79,639.2,152,45,102,5,.967,2.07,0.55,0.00,0.00,0.00,0.96,1.51,2.83,1.16,2.67,0.143,0.253
52,정상호,20두C,0.240,3,25,223.1,209,192,15,2,.990,8.34,1.09,0.00,-0.51,0.01,-0.08,0.51,2.72,1.99,2.50,0.049,0.240
53,임병욱,20키CF,0.224,2,12,91.0,23,20,2,1,.957,2.18,1.30,1.04,0.00,0.00,-0.16,2.18,28.72,0.16,2.35,0.208,0.224
54,김지찬,20삼2B,0.213,3,67,656.2,339,137,192,10,.971,4.51,0.55,0.03,0.00,0.00,-0.33,0.25,0.46,1.99,2.25,0.024,0.213
55,김형준,20NC,0.200,3,13,164.1,153,142,10,1,.994,8.33,0.41,0.00,0.49,-0.30,0.03,0.63,4.56,1.50,2.12,0.059,0.200
56,주효상,20키C,0.199,2,19,191.1,172,154,14,4,.977,7.90,0.21,0.00,0.48,0.21,-0.53,0.37,2.32,1.73,2.10,0.035,0.199
57,소형준,20KP,0.199,2,24,133.0,25,8,17,0,1.000,1.69,1.75,0.00,0.00,0.09,0.27,2.10,18.92,0.00,2.10,0.199,0.199
58,황재균,20K3B,0.197,3,129,1125.0,341,114,214,13,.962,2.62,-0.66,0.00,0.00,0.00,0.83,0.17,0.18,1.95,2.12,0.016,0.197
59,오재원,20두2B,0.197,2,33,367.2,207,91,111,5,.976,4.95,1.65,0.00,0.00,0.00,-0.15,1.50,4.88,0.58,2.08,0.142,0.197
60,김응민,20삼C,0.196,3,21,212.1,177,167,8,2,.989,7.42,0.17,0.00,-0.16,0.23,-0.10,0.14,0.81,1.91,2.05,0.014,0.196
61,박성한,20SSS,0.192,1,29,258.0,138,63,71,4,.971,4.67,0.66,0.00,0.00,0.00,-0.03,0.63,2.93,1.39,2.02,0.060,0.192
62,가뇽,20KP,0.185,2,28,159.2,26,8,18,0,1.000,1.47,1.53,0.00,0.00,0.11,0.32,1.96,14.67,0.00,1.96,0.185,0.185
63,노시환,20한3B,0.184,2,90,785.0,260,99,148,13,.950,2.83,0.30,0.00,0.00,0.00,-0.22,0.09,0.13,1.85,1.94,0.008,0.184
64,이현석,20SC,0.181,3,28,283.1,226,202,22,2,.991,7.12,0.11,0.00,-0.29,-0.46,0.00,-0.65,-2.73,2.55,1.90,-0.062,0.181
65,이흥련,20두SC,0.178,2,35,302.1,287,267,17,3,.990,8.45,0.01,0.00,-0.45,-0.26,-0.17,-0.86,-3.40,2.73,1.87,-0.082,0.178
66,정우영,20LP,0.172,3,0,75.0,27,7,20,0,1.000,3.24,1.63,0.00,0.00,0.05,0.15,1.83,29.17,0.00,1.83,0.172,0.172
67,윌슨,20LP,0.168,3,25,144.2,39,15,24,0,1.000,2.43,1.39,0.00,0.00,0.10,0.29,1.78,14.71,0.00,1.78,0.168,0.168
68,백용환,20KC,0.157,2,20,199.0,169,158,8,3,.982,7.51,0.01,0.00,0.19,-0.03,-0.32,-0.15,-0.90,1.81,1.66,-0.014,0.157
69,이성우,20LC,0.156,3,20,236.0,211,198,12,1,.995,8.01,-0.45,0.00,-0.57,0.39,0.14,-0.49,-2.49,2.14,1.65,-0.046,0.156
70,오선진,20한SS,0.154,3,44,503.1,206,67,135,4,.981,3.61,-0.79,0.00,0.00,0.00,0.65,-0.14,-0.33,1.75,1.61,-0.013,0.154
71,이해창,20한C,0.153,2,33,298.0,276,251,21,4,.986,8.22,0.04,0.00,-0.47,-0.27,-0.38,-1.08,-4.34,2.71,1.63,-0.102,0.153
72,임찬규,20LP,0.152,2,26,147.2,25,10,15,0,1.000,1.52,1.21,0.00,0.00,0.10,0.30,1.60,13.00,0.00,1.60,0.152,0.152
73,홍종표,20K2B,0.151,1,20,192.2,128,57,71,0,1.000,5.98,0.78,0.00,0.00,0.00,0.45,1.23,7.63,0.35,1.57,0.117,0.151
74,황윤호,20K3B,0.141,2,17,160.1,58,9,45,4,.931,3.03,1.50,0.00,0.00,0.00,-0.32,1.19,8.85,0.29,1.48,0.113,0.141
75,박석민,20N3B,0.137,3,103,825.2,229,76,139,14,.939,2.34,0.22,0.00,0.00,0.00,-0.27,-0.05,-0.07,1.52,1.47,-0.005,0.137
76,박종훈,20SP,0.132,3,28,157.1,23,5,18,0,1.000,1.32,0.98,0.00,0.00,0.10,0.31,1.40,10.65,0.00,1.40,0.132,0.132
77,브리검,20키P,0.129,2,21,107.0,26,5,20,1,.962,2.10,1.28,0.00,0.00,0.07,0.01,1.36,15.23,0.00,1.36,0.129,0.129
78,우규민,20삼P,0.128,2,0,48.0,14,2,12,0,1.000,2.63,1.23,0.00,0.00,0.03,0.10,1.35,33.75,0.00,1.35,0.128,0.128
79,서준원,20롯P,0.127,2,20,107.2,29,11,17,1,.966,2.34,1.26,0.00,0.00,0.07,0.02,1.35,14.96,0.00,1.35,0.127,0.127
80,신본기,20롯3B,0.127,2,21,293.2,115,33,80,2,.983,3.46,0.10,0.00,0.00,0.00,0.43,0.52,2.13,0.81,1.34,0.050,0.127
81,장준원,20L3B,0.125,2,18,186.0,51,19,31,1,.980,2.42,0.64,0.00,0.00,0.00,0.35,1.00,6.42,0.32,1.32,0.095,0.125
82,신민재,20LCF,0.124,1,3,90.0,32,28,4,0,1.000,3.20,1.16,-0.09,0.00,0.00,0.08,1.15,15.36,0.16,1.32,0.109,0.124
83,김헌곤,20삼RF,0.111,3,67,615.0,182,176,5,1,.995,2.65,2.58,1.58,0.00,0.00,0.16,4.32,8.40,-3.15,1.16,0.411,0.111
84,노경은,20롯P,0.102,2,24,133.0,25,6,18,1,.960,1.62,0.93,0.00,0.00,0.09,0.07,1.08,9.73,0.00,1.08,0.102,0.102
85,알칸타라,20두P,0.100,2,31,198.2,24,1,23,0,1.000,1.09,0.53,0.00,0.00,0.13,0.40,1.06,6.39,0.00,1.06,0.100,0.100
86,김민수,20삼C,0.100,2,7,68.0,59,54,5,0,1.000,7.81,0.14,0.00,0.11,0.09,0.10,0.43,7.62,0.61,1.04,0.041,0.100
87,최원태,20키P,0.096,2,21,110.0,25,6,19,0,1.000,2.05,0.73,0.00,0.00,0.07,0.22,1.02,11.09,0.00,1.02,0.096,0.096
88,문동욱,20한P,0.095,1,0,18.0,7,1,6,0,1.000,3.50,0.96,0.00,0.00,0.01,0.04,1.01,67.10,0.00,1.01,0.095,0.095
89,채은성,20LRF,0.095,2,79,678.1,176,170,4,2,.989,2.31,5.29,-0.56,0.00,0.00,0.00,4.73,8.35,-3.72,1.01,0.444,0.095
90,유장혁,20한LF,0.095,1,12,104.1,24,23,1,0,1.000,2.07,1.95,-0.46,0.00,0.00,0.06,1.55,17.79,-0.56,0.99,0.149,0.095
91,백승현,20L3B,0.094,3,11,112.0,34,8,25,1,.971,2.65,0.60,0.00,0.00,0.00,0.14,0.74,7.90,0.25,0.99,0.070,0.094
92,양찬열,20두RF,0.092,1,5,48.2,12,11,1,0,1.000,2.22,0.10,1.11,0.00,0.00,0.03,1.24,30.43,-0.26,0.97,0.117,0.092
93,임기영,20KP,0.092,3,25,127.2,15,2,13,0,1.000,1.06,0.64,0.00,0.00,0.08,0.26,0.98,9.17,0.00,0.98,0.092,0.092
94,김영환,20K2B,0.089,0,1,18.2,15,5,10,0,1.000,7.23,0.86,0.00,0.00,0.00,0.04,0.90,57.68,0.03,0.93,0.085,0.089
95,박정현,20한SS,0.088,1,13,105.0,55,20,34,1,.982,4.63,0.36,0.00,0.00,0.00,0.11,0.46,5.29,0.46,0.93,0.044,0.088
96,도태훈,20N3B,0.087,1,3,35.0,10,4,6,0,1.000,2.57,0.77,0.00,0.00,0.00,0.10,0.87,29.83,0.04,0.91,0.083,0.087
97,김병희,20K3B,0.085,2,4,61.1,29,14,14,1,.966,4.11,1.00,0.00,0.00,0.00,-0.04,0.95,18.56,-0.05,0.90,0.090,0.085
98,김호재,20삼3B,0.085,1,32,315.0,112,49,59,4,.964,3.09,0.03,0.00,0.00,0.00,0.11,0.14,0.52,0.77,0.90,0.013,0.085
99,문상철,20K1B,0.085,3,28,235.1,164,154,9,1,.994,6.23,2.93,-0.31,0.00,0.00,0.08,2.70,13.76,-1.81,0.89,0.256,0.085
100,김태진,20NK3B,0.083,3,63,566.0,200,70,121,9,.955,3.04,-0.04,0.00,0.00,0.00,-0.11,-0.15,-0.32,1.01,0.86,-0.015,0.083
101,박민호,20SP,0.079,3,0,52.0,12,1,11,0,1.000,2.08,0.70,0.00,0.00,0.03,0.10,0.84,19.34,0.00,0.84,0.079,0.079
102,최성영,20NP,0.077,2,13,60.2,6,1,5,0,1.000,0.89,0.66,0.00,0.00,0.04,0.12,0.82,16.14,0.00,0.82,0.077,0.077
103,원태인,20삼P,0.077,2,26,140.0,30,12,17,1,.967,1.86,0.64,0.00,0.00,0.09,0.08,0.81,6.93,0.00,0.81,0.077,0.077
104,이재율,20NCF,0.074,2,1,31.0,12,12,0,0,1.000,3.48,0.62,0.19,0.00,0.00,0.02,0.83,31.96,-0.04,0.79,0.078,0.074
105,이영하,20두P,0.070,3,19,132.0,25,8,17,0,1.000,1.71,0.39,0.00,0.00,0.09,0.26,0.74,6.73,0.00,0.74,0.070,0.070
106,조현우,20KP,0.069,2,0,46.2,15,5,10,0,1.000,2.89,0.61,0.00,0.00,0.03,0.09,0.73,18.85,0.00,0.73,0.069,0.069
107,배성근,20롯SS,0.069,1,1,17.0,6,1,5,0,1.000,3.18,0.55,0.00,0.00,0.00,0.05,0.61,42.64,0.09,0.69,0.060,0.069
108,구창모,20NP,0.068,3,14,93.1,15,5,9,1,.933,1.35,0.67,0.00,0.00,0.06,-0.01,0.72,9.18,0.00,0.72,0.068,0.068
109,최용제,20두C,0.067,1,9,116.1,85,77,5,3,.965,6.34,0.04,0.00,0.25,-0.13,-0.43,-0.27,-2.77,0.98,0.72,-0.025,0.067
110,김호은,20L1B,0.067,2,15,120.1,102,97,4,1,.990,7.55,1.90,-0.14,0.00,0.00,-0.03,1.73,17.20,-1.02,0.71,0.164,0.067
111,김현수,20KP,0.064,2,4,32.1,5,0,5,0,1.000,1.39,0.66,0.00,0.00,-0.04,0.06,0.68,25.06,0.00,0.68,0.064,0.064
112,김은성,20키2B,0.063,1,1,22.0,12,4,8,0,1.000,4.91,0.57,0.00,0.00,0.00,0.06,0.63,34.16,0.04,0.67,0.059,0.063
113,켈리,20LP,0.062,2,28,173.1,26,10,16,0,1.000,1.35,0.20,0.00,0.00,0.11,0.35,0.66,4.55,0.00,0.66,0.062,0.062
114,백동훈,20두RF,0.061,2,1,55.0,22,21,0,1,.955,3.44,0.99,0.01,0.00,0.00,-0.17,0.83,18.12,-0.18,0.65,0.079,0.061
115,김영규,20NP,0.060,3,13,67.2,16,3,13,0,1.000,2.13,0.46,0.00,0.00,0.04,0.14,0.64,11.33,0.00,0.64,0.060,0.060
116,서폴드,20한P,0.055,2,28,165.0,38,13,24,1,.974,2.02,0.34,0.00,0.00,0.11,0.13,0.58,4.21,0.00,0.58,0.055,0.055
117,김인태,20두LF,0.054,3,15,173.2,39,39,0,0,1.000,2.02,1.68,-0.25,0.00,0.00,0.10,1.52,10.48,-0.95,0.57,0.143,0.054
118,김재웅,20키P,0.054,2,7,59.2,9,2,6,1,.889,1.21,0.61,0.00,0.00,0.04,-0.08,0.57,11.48,0.00,0.57,0.054,0.054
119,송광민,20한3B,0.053,3,65,542.2,287,220,61,6,.979,4.66,1.85,0.00,0.00,0.00,0.13,1.98,4.38,-1.43,0.56,0.189,0.053
120,박상언,20한C,0.051,2,7,102.1,91,80,9,2,.978,7.83,0.27,0.00,0.03,-0.43,-0.25,-0.38,-4.48,0.93,0.54,-0.036,0.051
121,정찬헌,20LP,0.051,2,19,110.1,18,9,9,0,1.000,1.47,0.25,0.00,0.00,0.07,0.22,0.54,5.89,0.00,0.54,0.051,0.051
122,조영우,20SP,0.051,2,7,77.0,12,4,7,1,.917,1.29,0.54,0.00,0.00,0.05,-0.05,0.54,8.45,0.00,0.54,0.051,0.051
123,서진용,20SP,0.050,2,0,61.0,3,0,3,0,1.000,0.44,0.19,0.00,0.31,-0.09,0.12,0.53,10.48,0.00,0.53,0.050,0.050
124,박재욱,20LC,0.049,2,1,47.0,42,38,4,0,1.000,8.04,0.27,0.00,0.02,-0.27,0.07,0.10,2.44,0.43,0.52,0.009,0.049
125,최원준,20두P,0.049,3,18,123.0,11,2,9,0,1.000,0.81,0.19,0.00,0.00,0.08,0.25,0.52,5.06,0.00,0.52,0.049,0.049
126,김재유,20롯CF,0.048,1,29,272.1,76,73,1,2,.974,2.45,1.19,-0.12,0.00,0.00,-0.26,0.81,3.56,-0.30,0.50,0.076,0.048
127,최준용,20롯P,0.047,1,0,29.2,9,3,6,0,1.000,2.73,0.42,0.00,0.00,0.02,0.06,0.50,20.20,0.00,0.50,0.047,0.047
128,안영명,20한P,0.047,3,0,45.2,8,1,7,0,1.000,1.58,0.37,0.00,0.00,0.03,0.09,0.49,12.97,0.00,0.49,0.047,0.047
129,하준호,20KP,0.046,2,1,41.2,6,1,5,0,1.000,1.30,0.38,0.00,0.00,0.03,0.08,0.49,14.16,0.00,0.49,0.046,0.046
130,조성운,20키P,0.045,3,0,45.0,8,1,6,1,.875,1.40,0.52,0.00,0.18,-0.10,-0.11,0.48,12.85,0.00,0.48,0.045,0.045
131,오승환,20삼P,0.045,1,0,47.2,7,3,4,0,1.000,1.32,0.35,0.00,0.00,0.03,0.10,0.48,12.04,0.00,0.48,0.045,0.045
132,홍현빈,20KLF,0.043,1,4,79.0,23,23,0,0,1.000,2.62,1.24,-0.56,0.00,0.00,0.04,0.72,10.91,-0.26,0.46,0.068,0.043
133,김도환,20삼C,0.043,1,13,123.2,104,100,3,1,.990,7.50,0.01,0.00,0.03,-0.68,-0.02,-0.66,-6.41,1.12,0.46,-0.063,0.043
134,홍성무,20NP,0.043,3,0,15.0,5,0,5,0,1.000,3.00,0.42,0.00,0.00,0.01,0.03,0.45,36.30,0.00,0.45,0.043,0.043
135,강태율,20롯C,0.043,1,0,39.2,29,29,0,0,1.000,6.58,0.00,0.00,-0.13,0.17,0.06,0.09,2.87,0.37,0.46,0.009,0.043
136,허도환,20KC,0.043,3,14,151.1,116,103,10,3,.974,6.72,-0.03,0.00,-0.08,-0.42,-0.38,-0.92,-7.31,1.38,0.45,-0.087,0.043
137,임창민,20NP,0.042,3,0,37.2,6,2,4,0,1.000,1.43,0.48,0.00,0.00,-0.11,0.08,0.45,14.24,0.00,0.45,0.042,0.042
138,이보근,20KP,0.042,1,0,46.2,5,1,4,0,1.000,0.96,0.32,0.00,0.00,0.03,0.09,0.44,11.34,0.00,0.44,0.042,0.042
139,요키시,20키P,0.042,2,27,159.2,51,10,37,4,.922,2.65,0.82,0.00,0.00,0.11,-0.48,0.44,3.30,0.00,0.44,0.042,0.042
140,오현택,20롯P,0.041,2,0,36.0,8,1,7,0,1.000,2.00,0.48,0.00,-0.13,0.02,0.07,0.44,14.61,0.00,0.44,0.041,0.041
141,양현,20키P,0.040,3,1,60.0,12,3,8,1,.917,1.65,0.47,0.00,0.00,0.04,-0.08,0.43,8.57,0.00,0.43,0.040,0.040
142,배제성,20KP,0.040,3,26,141.1,18,2,14,2,.889,1.02,0.45,0.00,0.00,0.09,-0.12,0.43,3.61,0.00,0.43,0.040,0.040
143,송승준,20롯P,0.040,2,1,24.2,3,0,3,0,1.000,1.10,0.36,0.00,0.00,0.02,0.05,0.42,20.54,0.00,0.42,0.040,0.040
144,이호중,20NP,0.039,1,0,4.1,2,0,2,0,1.000,4.15,0.40,0.00,0.00,0.00,0.01,0.41,113.96,0.00,0.41,0.039,0.039
145,오주원,20키P,0.037,2,0,18.1,6,1,5,0,1.000,2.95,0.35,0.00,0.00,0.01,0.04,0.40,25.86,0.00,0.40,0.037,0.037
146,이유찬,20두3B,0.037,3,25,279.2,129,55,68,6,.954,3.96,0.04,0.00,0.00,0.00,-0.40,-0.36,-1.53,0.75,0.40,-0.034,0.037
147,신민혁,20NP,0.037,2,7,42.0,5,1,4,0,1.000,1.07,0.28,0.00,0.00,0.03,0.08,0.40,11.26,0.00,0.40,0.037,0.037
148,박시영,20롯P,0.037,2,0,30.1,7,1,6,0,1.000,2.08,0.44,0.00,-0.13,0.02,0.06,0.39,15.45,0.00,0.39,0.037,0.037
149,정은원,20한2B,0.034,3,72,622.0,319,136,179,4,.988,4.56,-1.41,0.00,0.00,0.00,0.64,-0.77,-1.48,1.13,0.36,-0.072,0.034
150,여건욱,20LP,0.034,3,0,27.2,4,0,4,0,1.000,1.30,0.29,0.00,0.00,0.02,0.06,0.36,15.52,0.00,0.36,0.034,0.034
151,조영건,20키P,0.032,2,10,44.1,5,2,3,0,1.000,1.02,0.22,0.00,0.00,0.03,0.09,0.34,9.15,0.00,0.34,0.032,0.032
152,전유수,20KP,0.032,2,0,45.2,11,3,7,1,.909,1.97,0.81,0.00,-0.39,0.03,-0.11,0.34,8.88,0.00,0.34,0.032,0.032
153,송준석,20삼RF,0.031,1,8,76.0,14,14,0,0,1.000,1.66,0.82,-0.12,0.00,0.00,0.05,0.74,11.65,-0.41,0.33,0.070,0.031
154,김원중,20롯P,0.031,2,0,59.1,13,5,7,1,.923,1.82,0.37,0.00,0.00,0.04,-0.08,0.32,6.54,0.00,0.32,0.031,0.031
155,노성호,20삼P,0.030,2,0,36.1,3,0,3,0,1.000,0.74,0.22,0.00,0.00,0.02,0.07,0.32,10.47,0.00,0.32,0.030,0.030
156,한현희,20키P,0.030,3,25,135.2,28,11,17,0,1.000,1.86,-0.05,0.00,0.00,0.09,0.27,0.32,2.79,0.00,0.32,0.030,0.030
157,권희동,20NRF,0.030,4,88,784.1,192,181,9,2,.990,2.18,1.02,3.47,0.00,0.00,0.06,4.54,6.92,-4.22,0.31,0.427,0.030
158,김민수,20롯3B,0.029,1,2,20.2,7,0,7,0,1.000,3.05,0.20,0.00,0.00,0.00,0.06,0.27,15.46,0.04,0.30,0.025,0.029
159,백정현,20삼P,0.029,2,11,59.0,8,1,6,1,.875,1.07,0.35,0.00,0.00,0.04,-0.08,0.30,6.17,0.00,0.30,0.029,0.029
160,이홍구,20SKC,0.029,2,26,230.0,182,171,9,2,.989,7.04,0.01,0.00,-1.22,-0.49,-0.07,-1.77,-9.23,2.08,0.30,-0.169,0.029
161,이호연,20롯1B,0.028,1,0,4.1,3,3,0,0,1.000,6.23,0.31,0.00,0.00,0.00,0.01,0.32,87.87,-0.04,0.28,0.032,0.028
162,정우람,20한P,0.028,2,0,54.1,12,2,10,0,1.000,1.99,0.15,0.00,0.00,0.04,0.11,0.29,6.48,0.00,0.29,0.028,0.028
163,한석현,20LRF,0.028,2,0,8.1,2,2,0,0,1.000,2.16,0.33,0.00,0.00,0.00,0.00,0.34,48.56,-0.05,0.29,0.032,0.028
164,이승민,20삼P,0.028,1,5,26.1,5,0,5,0,1.000,1.71,0.22,0.00,0.00,0.02,0.05,0.29,13.24,0.00,0.29,0.028,0.028
