순,이름,팀,WAAwithADJ,출장,선발,이닝,기회,자살,보살,실책,수비율,RF9,RNG,ARM,CS,BLK,E+,RAA,/133,POSADJ,RAAwithADJ,WAAw/oADJ,WAAwithADJ
1,마차도,20롯SS,1.897,2,139,1180.2,618,228,380,10,.984,4.64,12.08,0.00,0.00,0.00,1.55,13.63,13.82,6.42,20.05,1.290,1.897
2,오지환,20LSS,1.787,3,136,1142.0,604,184,405,15,.975,4.64,12.31,0.00,0.00,0.00,0.43,12.74,13.36,6.24,18.99,1.199,1.787
3,박해민,20삼CF,1.685,3,125,1055.1,378,369,9,0,1.000,3.22,16.81,-1.13,0.00,0.00,0.55,16.23,18.41,1.52,17.75,1.541,1.685
4,박찬호,20KSS,1.045,2,136,1164.1,597,198,384,15,.975,4.50,4.14,0.00,0.00,0.00,0.50,4.63,4.76,6.22,10.85,0.446,1.045
5,홍창기,20LCF,1.003,3,102,943.2,267,259,6,2,.993,2.53,9.95,1.64,0.00,0.00,0.09,11.68,14.81,-0.98,10.70,1.095,1.003
6,양의지,20NC,1.000,3,97,792.0,694,645,47,2,.997,7.86,-0.14,0.00,2.48,0.41,0.73,3.47,5.24,7.34,10.80,0.321,1.000
7,유강남,20LC,0.967,3,123,1009.2,849,795,52,2,.998,7.55,-0.99,0.00,0.18,0.85,1.04,1.08,1.28,9.19,10.27,0.102,0.967
8,심우준,20KSS,0.911,3,133,1157.0,678,231,426,21,.969,5.11,4.03,0.00,0.00,0.00,-0.73,3.30,3.42,6.22,9.52,0.316,0.911
9,강민호,20삼C,0.894,2,103,862.2,691,640,43,8,.988,7.13,-1.17,0.00,1.95,1.24,-0.37,1.64,2.28,7.88,9.52,0.154,0.894
10,김혜성,20키2B,0.863,3,125,1114.1,530,234,287,9,.983,4.21,5.49,2.06,0.00,0.00,0.53,8.08,8.68,1.07,9.15,0.762,0.863
11,김하성,20키SS,0.834,3,127,1104.1,504,135,349,20,.960,3.94,4.88,0.00,0.00,0.00,-0.66,4.22,4.57,4.81,9.02,0.390,0.834
