순,이름,팀,WAAwithADJ,출장,선발,이닝,기회,자살,보살,실책,수비율,RF9,RNG,ARM,CS,BLK,E+,RAA,/133,POSADJ,RAAwithADJ,WAAw/oADJ,WAAwithADJ
1,오지환,19LSS,1.896,134,131,1101.0,628,214,402,12,.981,5.04,11.75,0.00,0.00,0.00,1.08,12.83,13.95,5.47,18.30,1.330,1.896
2,김재호,19두SS,1.360,129,116,993.1,507,158,339,10,.980,4.50,7.07,0.00,0.00,0.00,1.14,8.21,9.89,4.94,13.15,0.849,1.360
3,박해민,19삼CF,1.338,141,131,1162.1,406,393,11,2,.995,3.13,11.56,-0.85,0.00,0.00,0.35,11.05,11.38,1.76,12.80,1.155,1.338
4,노진혁,19NSS,1.282,106,92,800.0,356,104,247,5,.986,3.95,8.00,0.00,0.00,0.00,1.43,9.43,14.11,2.95,12.38,0.976,1.282
5,심우준,19KSS,1.247,134,117,1040.0,545,221,313,11,.980,4.62,6.02,0.00,0.00,0.00,1.05,7.07,8.14,4.94,12.02,0.734,1.247
6,박민우,19N2B,1.157,117,112,928.1,542,234,299,9,.983,5.17,9.44,0.00,0.00,0.00,0.32,9.76,12.58,1.56,11.31,0.998,1.157
7,황재균,19K3B,1.093,122,119,1026.2,370,127,232,11,.970,3.15,8.11,0.00,0.00,0.00,0.73,8.84,10.31,1.81,10.65,0.907,1.093
8,이형종,19LLF,1.041,94,91,756.1,210,201,7,2,.991,2.48,11.45,1.22,0.00,0.00,0.09,12.76,20.19,-2.65,10.10,1.314,1.041
9,박경수,19K2B,0.936,126,121,983.2,578,220,349,9,.984,5.21,6.96,0.00,0.00,0.00,0.45,7.41,9.02,1.63,9.04,0.768,0.936
10,김혜성,19키2B,0.920,120,97,890.1,492,172,305,15,.970,4.82,6.57,0.00,0.00,0.00,-0.58,6.00,8.06,2.89,8.88,0.621,0.920
11,임병욱,19키CF,0.915,117,101,904.2,262,248,10,4,.985,2.57,2.46,5.04,0.00,0.00,-0.23,7.26,9.61,1.48,8.75,0.759,0.915
12,김헌곤,19삼LF,0.904,113,111,970.0,232,224,8,0,1.000,2.15,9.02,3.61,0.00,0.00,0.51,13.14,16.22,-4.45,8.69,1.366,0.904
13,이재원,19SC,0.857,135,121,1041.0,953,891,56,6,.994,8.19,0.46,0.00,-1.88,0.91,0.17,-0.35,-0.40,8.64,8.29,-0.036,0.857
14,박세혁,19두C,0.835,134,128,1071.2,849,786,55,8,.991,7.06,-0.02,0.00,-1.50,0.90,-0.19,-0.81,-0.90,8.92,8.11,-0.083,0.835
15,최재훈,19한C,0.817,133,126,1022.2,869,788,75,6,.993,7.60,-1.10,0.00,0.60,-0.23,0.14,-0.58,-0.68,8.54,7.96,-0.060,0.817
16,김태진,19NLF,0.805,104,84,720.0,250,177,70,3,.988,3.09,5.98,2.41,0.00,0.00,0.24,8.63,14.35,-0.91,7.72,0.901,0.805
17,강민호,19삼C,0.770,109,104,842.0,715,660,47,8,.989,7.56,-0.45,0.00,0.23,1.18,-0.49,0.47,0.67,6.97,7.44,0.049,0.770
18,양의지,19NC,0.767,91,87,723.1,637,590,45,2,.997,7.90,-0.03,0.00,0.68,0.26,0.55,1.46,2.41,6.18,7.64,0.146,0.767
19,박동원,19키C,0.744,89,64,608.0,529,487,41,1,.998,7.82,0.39,0.00,0.51,0.66,0.60,2.17,4.27,5.09,7.26,0.223,0.744
20,장성우,19KC,0.740,125,107,911.2,685,626,54,5,.993,6.71,-0.75,0.00,0.09,0.06,0.20,-0.40,-0.53,7.52,7.12,-0.042,0.740
21,유강남,19LC,0.636,128,115,968.1,824,757,60,7,.992,7.59,0.08,0.00,-1.21,-0.63,-0.13,-1.89,-2.34,8.09,6.19,-0.194,0.636
22,한승택,19KC,0.634,103,83,702.0,600,553,42,5,.992,7.63,0.13,0.00,-0.05,0.31,-0.08,0.31,0.53,5.77,6.08,0.032,0.634
23,이지영,19키C,0.623,83,74,605.0,509,468,38,3,.994,7.53,0.01,0.00,0.41,0.39,0.20,1.01,1.99,4.99,6.00,0.105,0.623
24,노수광,19SLF,0.601,114,101,896.0,258,248,7,3,.988,2.56,8.26,0.08,0.00,0.00,-0.05,8.29,11.07,-2.54,5.75,0.866,0.601
25,오선진,19한SS,0.550,122,116,981.2,488,164,312,12,.975,4.36,-0.16,0.00,0.00,0.00,0.69,0.52,0.64,4.75,5.28,0.055,0.550
26,박찬호,19K3B,0.526,133,130,1141.0,497,186,295,16,.968,3.79,1.79,0.00,0.00,0.00,0.13,1.92,2.02,3.12,5.05,0.201,0.526
27,김선빈,19KSS,0.522,120,110,912.2,454,152,292,10,.978,4.38,-0.06,0.00,0.00,0.00,0.82,0.76,1.00,4.29,5.05,0.078,0.522
28,정수빈,19두CF,0.481,120,114,1012.2,309,302,4,3,.990,2.72,5.07,-2.13,0.00,0.00,0.03,2.97,3.51,1.68,4.65,0.308,0.481
29,김성현,19SSS,0.480,143,132,1143.2,565,180,359,26,.954,4.24,0.54,0.00,0.00,0.00,-1.58,-1.04,-1.09,5.65,4.60,-0.109,0.480
30,윤진호,19L2B,0.457,101,4,250.0,112,40,70,2,.982,3.96,3.54,0.00,0.00,0.00,0.27,3.81,18.26,0.57,4.39,0.397,0.457
31,송성문,19키3B,0.448,92,73,659.0,245,84,154,7,.971,3.25,2.93,0.00,0.00,0.00,0.32,3.26,5.92,1.02,4.28,0.341,0.448
32,호잉,19한RF,0.443,124,122,1040.1,284,273,9,2,.993,2.44,3.67,2.61,0.00,0.00,0.36,6.64,7.64,-2.32,4.32,0.681,0.443
33,나균안,19롯DH,0.436,103,66,556.2,521,474,42,5,.990,8.34,0.01,0.00,1.12,-1.25,-0.27,-0.39,-0.83,4.54,4.15,-0.041,0.436
34,송민섭,19KRF,0.415,83,6,183.0,59,57,2,0,1.000,2.90,3.74,0.80,0.00,0.00,0.12,4.65,30.45,-0.65,4.01,0.482,0.415
