순,이름,팀,WAAwithADJ,출장,선발,이닝,기회,자살,보살,실책,수비율,RF9,RNG,ARM,CS,BLK,E+,RAA,/133,POSADJ,RAAwithADJ,WAAw/oADJ,WAAwithADJ
35,김성욱,19NCF,0.396,112,83,775.0,196,191,3,2,.990,2.25,3.19,-0.45,0.00,0.00,0.09,2.83,4.38,0.97,3.81,0.294,0.396
36,구본혁,19L3B,0.380,54,25,273.1,102,23,78,1,.990,3.33,2.21,0.00,0.00,0.00,0.61,2.82,12.33,0.81,3.63,0.295,0.380
37,나주환,19S2B,0.364,84,60,528.0,325,154,170,1,.997,5.52,2.21,0.00,0.00,0.00,1.01,3.23,7.31,0.25,3.47,0.338,0.364
38,허경민,19두3B,0.363,132,124,1083.0,290,89,193,8,.972,2.34,0.23,0.00,0.00,0.00,1.48,1.71,1.89,1.80,3.51,0.177,0.363
39,정주현,19L2B,0.357,128,124,972.0,532,212,307,13,.976,4.81,2.21,0.00,0.00,0.00,-0.38,1.83,2.25,1.60,3.42,0.191,0.357
40,김상수,19삼2B,0.343,121,117,993.0,572,234,328,10,.983,5.09,1.40,0.00,0.00,0.00,0.27,1.67,2.02,1.65,3.33,0.172,0.343
41,김찬형,19NSS,0.325,66,37,372.1,181,63,115,3,.983,4.30,0.84,0.00,0.00,0.00,0.56,1.39,4.48,1.74,3.13,0.145,0.325
42,손시헌,19NSS,0.316,67,35,344.1,195,53,137,5,.974,4.97,1.25,0.00,0.00,0.00,0.09,1.34,4.66,1.71,3.05,0.139,0.316
43,김민하,19한LF,0.302,69,33,346.0,94,88,4,2,.979,2.39,2.75,1.78,0.00,0.00,-0.20,4.32,14.95,-1.41,2.91,0.449,0.302
44,백동훈,19두RF,0.295,36,10,139.0,55,55,0,0,1.000,3.56,3.43,-0.37,0.00,0.00,0.09,3.15,27.17,-0.34,2.81,0.330,0.295
45,허도환,19SC,0.273,56,22,242.1,239,218,19,2,.992,8.80,0.56,0.00,-0.28,0.42,-0.08,0.62,3.07,1.98,2.60,0.065,0.273
46,김민성,19L3B,0.269,105,104,841.2,244,61,177,6,.975,2.55,0.01,0.00,0.00,0.00,1.20,1.21,1.72,1.40,2.61,0.125,0.269
47,김형준,19NC,0.269,51,31,286.2,239,216,22,1,.996,7.47,-0.37,0.00,0.82,-0.40,0.18,0.22,0.93,2.36,2.58,0.023,0.269
48,요키시,19키P,0.261,30,30,181.1,54,16,37,1,.982,2.63,2.23,0.00,0.00,0.08,0.21,2.51,16.57,0.00,2.51,0.261,0.261
49,이성우,19LC,0.249,53,19,210.0,161,143,16,2,.988,6.81,0.20,0.00,0.02,0.56,-0.12,0.66,3.75,1.72,2.38,0.069,0.249
50,최준우,19S2B,0.234,13,11,78.0,40,15,25,0,1.000,4.62,1.92,0.00,0.00,0.00,0.18,2.10,32.19,0.13,2.22,0.221,0.234
51,최정,19S3B,0.230,134,133,1154.1,318,93,211,14,.956,2.37,-0.18,0.00,0.00,0.00,0.49,0.31,0.32,1.96,2.27,0.031,0.230
52,김도환,19삼C,0.223,61,30,299.2,219,202,16,1,.995,6.55,0.38,0.00,-0.49,-0.41,0.19,-0.33,-1.31,2.47,2.15,-0.034,0.223
53,장영석,19키3B,0.217,99,83,732.1,350,208,132,10,.971,4.18,3.22,0.00,0.00,0.00,-0.15,3.07,5.01,-0.98,2.08,0.319,0.217
54,홍창기,19LRF,0.213,17,2,52.0,13,12,1,0,1.000,2.25,1.45,0.72,0.00,0.00,0.03,2.20,50.75,-0.16,2.05,0.229,0.213
55,안중열,19롯C,0.207,73,42,381.0,321,285,31,5,.984,7.47,0.40,0.00,-0.16,-0.90,-0.50,-1.15,-3.62,3.13,1.98,-0.120,0.207
56,송광민,19한3B,0.205,120,115,974.0,313,80,217,16,.949,2.74,0.79,0.00,0.00,0.00,-0.43,0.36,0.45,1.61,1.97,0.038,0.205
57,박건우,19두RF,0.202,125,121,1002.1,256,251,2,3,.988,2.27,7.72,-1.23,0.00,0.00,0.19,6.69,7.98,-4.70,1.99,0.680,0.202
58,최항,19S2B,0.201,47,41,313.0,178,95,80,3,.983,5.03,1.64,0.00,0.00,0.00,0.10,1.74,6.65,0.19,1.93,0.181,0.201
59,김인태,19두LF,0.198,23,17,160.0,48,48,0,0,1.000,2.70,3.53,-0.94,0.00,0.00,0.10,2.69,20.13,-0.79,1.90,0.280,0.198
60,김규민,19키LF,0.191,83,53,520.0,124,118,5,1,.992,2.13,2.73,1.55,0.00,0.00,0.07,4.35,10.01,-2.51,1.84,0.452,0.191
61,배병옥,19KCF,0.187,1,1,7.0,0,0,0,0,,0.00,1.54,0.02,0.00,0.00,0.00,1.57,268.71,0.01,1.58,0.186,0.187
62,황윤호,19K2B,0.184,56,30,297.2,136,49,81,6,.956,3.93,1.59,0.00,0.00,0.00,-0.43,1.16,4.68,0.61,1.77,0.120,0.184
63,최채흥,19삼P,0.180,28,15,106.2,20,5,15,0,1.000,1.69,1.45,0.00,0.00,0.04,0.24,1.74,19.49,0.00,1.74,0.180,0.180
64,장승현,19두C,0.177,34,8,119.0,76,69,7,0,1.000,5.75,0.23,0.00,0.27,0.07,0.16,0.72,7.22,0.98,1.70,0.075,0.177
65,김대한,19두CF,0.176,14,4,52.0,23,21,1,1,.957,3.81,1.13,0.66,0.00,0.00,-0.17,1.63,37.43,0.05,1.68,0.171,0.176
66,조홍석,19롯RF,0.170,34,12,125.2,34,32,2,0,1.000,2.44,1.68,0.18,0.00,0.00,0.09,1.95,18.54,-0.33,1.62,0.205,0.170
67,최형우,19KLF,0.163,45,44,350.0,89,88,1,0,1.000,2.29,3.43,-0.24,0.00,0.00,0.18,3.37,11.54,-1.77,1.60,0.343,0.163
68,정보근,19롯C,0.158,15,10,89.2,79,72,7,0,1.000,7.93,0.09,0.00,0.41,0.15,0.12,0.77,10.24,0.73,1.49,0.081,0.158
69,신범수,19KC,0.149,31,12,126.2,118,101,16,1,.992,8.31,0.00,0.00,0.39,0.03,-0.03,0.39,3.67,1.05,1.44,0.040,0.149
70,김태군,19NC,0.147,15,7,71.1,50,46,4,0,1.000,6.31,0.00,0.00,0.65,0.08,0.09,0.83,13.86,0.59,1.41,0.086,0.147
71,주권,19KP,0.143,71,0,75.1,19,4,15,0,1.000,2.27,1.19,0.00,0.00,0.03,0.17,1.39,22.03,0.00,1.39,0.143,0.143
72,버틀러,19NP,0.142,13,13,73.2,17,2,15,0,1.000,2.08,1.17,0.00,0.00,0.03,0.17,1.37,22.25,0.00,1.37,0.142,0.142
73,레일리,19롯P,0.138,30,30,181.0,47,16,28,3,.936,2.19,1.45,0.00,0.00,0.08,-0.19,1.34,8.83,0.00,1.34,0.138,0.138
74,안영명,19한P,0.138,67,0,62.0,10,6,4,0,1.000,1.45,0.88,0.00,0.29,0.03,0.14,1.34,25.85,0.00,1.34,0.138,0.138
75,김민식,19KC,0.137,49,29,260.0,221,204,14,3,.986,7.55,0.15,0.00,-0.34,-0.37,-0.26,-0.82,-3.79,2.14,1.32,-0.086,0.137
76,백승현,19L3B,0.130,14,10,77.0,36,14,21,1,.972,4.09,1.02,0.00,0.00,0.00,0.01,1.04,16.11,0.20,1.23,0.110,0.130
77,정범모,19NC,0.127,25,8,103.0,95,88,6,1,.990,8.21,0.08,0.00,0.29,0.07,-0.06,0.37,4.32,0.85,1.22,0.039,0.127
78,윌랜드,19KP,0.126,28,28,165.0,29,7,22,0,1.000,1.58,0.78,0.00,0.00,0.07,0.37,1.22,8.82,0.00,1.22,0.126,0.126
79,지성준,19한C,0.123,45,13,186.1,152,142,10,0,1.000,7.34,-0.07,0.00,-0.20,-0.33,0.24,-0.35,-2.27,1.54,1.19,-0.037,0.123
80,고명성,19KSS,0.120,24,1,59.0,33,5,26,2,.939,4.73,1.16,0.00,0.00,0.00,-0.23,0.93,18.94,0.21,1.15,0.097,0.120
81,오주원,19키P,0.119,57,0,54.1,18,4,14,0,1.000,2.98,1.00,0.00,0.00,0.02,0.12,1.15,25.34,0.00,1.15,0.119,0.119
82,윌슨,19롯3B,0.117,63,62,534.2,231,140,87,4,.983,3.82,0.68,0.00,0.00,0.00,0.60,1.28,2.87,-0.15,1.13,0.132,0.117
83,김동한,19롯2B,0.116,30,19,177.1,86,33,51,2,.977,4.26,0.77,0.00,0.00,0.00,0.04,0.80,5.42,0.31,1.12,0.083,0.116
84,이흥련,19두C,0.113,23,8,91.0,51,47,4,0,1.000,5.04,0.00,0.00,0.06,0.16,0.12,0.34,4.49,0.75,1.10,0.035,0.113
85,김민수,19삼C,0.113,29,8,104.1,74,67,7,0,1.000,6.38,0.15,0.00,0.06,-0.12,0.14,0.23,2.59,0.86,1.08,0.024,0.113
86,하재훈,19SP,0.112,61,0,59.0,10,2,8,0,1.000,1.53,0.92,0.00,0.00,0.02,0.13,1.08,21.96,0.00,1.08,0.112,0.112
87,루친스키,19NP,0.111,30,30,177.1,34,15,17,2,.941,1.62,1.00,0.00,0.00,0.07,-0.00,1.07,7.23,0.00,1.07,0.111,0.111
88,박승규,19삼CF,0.109,13,7,62.0,17,17,0,0,1.000,2.47,1.14,-0.05,0.00,0.00,0.04,1.12,21.71,-0.09,1.04,0.118,0.109
89,강승호,19S2B,0.109,14,9,94.0,46,18,27,1,.978,4.31,0.74,0.00,0.00,0.00,0.04,0.78,9.98,0.25,1.03,0.083,0.109
90,박준태,19KRF,0.105,33,11,126.1,32,31,1,0,1.000,2.28,-0.21,1.62,0.00,0.00,0.10,1.51,14.30,-0.50,1.01,0.157,0.105
91,김창평,19S2B,0.102,18,15,126.0,78,30,48,0,1.000,5.57,0.46,0.00,0.00,0.00,0.29,0.75,7.13,0.22,0.97,0.079,0.102
92,장필준,19삼P,0.102,61,0,69.2,19,6,13,0,1.000,2.46,1.06,0.00,-0.12,-0.10,0.16,0.98,16.92,0.00,0.98,0.102,0.102
93,이해창,19KC,0.100,25,12,103.1,79,68,10,1,.987,6.79,0.01,0.00,0.49,-0.33,-0.06,0.11,1.29,0.85,0.96,0.012,0.100
94,함덕주,19두P,0.095,61,0,54.2,10,1,9,0,1.000,1.65,0.91,0.00,0.00,-0.11,0.12,0.92,20.23,0.00,0.92,0.095,0.095
95,구창모,19NP,0.094,23,19,107.0,25,5,19,1,.960,2.02,0.82,0.00,0.00,0.04,0.04,0.91,10.17,0.00,0.91,0.094,0.094
96,소사,19SP,0.093,16,16,94.1,10,2,8,0,1.000,0.95,0.65,0.00,0.00,0.04,0.21,0.90,11.40,0.00,0.90,0.093,0.093
97,윤성환,19삼P,0.091,27,27,145.1,15,6,9,0,1.000,0.93,0.49,0.00,0.00,0.06,0.33,0.88,7.26,0.00,0.88,0.091,0.091
98,최지광,19삼P,0.091,63,0,68.0,14,3,11,0,1.000,1.85,0.70,0.00,0.00,0.03,0.15,0.88,15.56,0.00,0.88,0.091,0.091
99,이대은,19KP,0.090,44,8,86.0,14,5,9,0,1.000,1.47,0.65,0.00,0.00,0.04,0.19,0.88,12.20,0.00,0.88,0.090,0.090
100,백용환,19KC,0.089,20,11,104.1,96,84,10,2,.979,8.11,-0.25,0.00,0.31,0.21,-0.26,0.00,0.00,0.87,0.87,0.000,0.089
101,최원태,19키P,0.088,27,27,157.1,37,15,20,2,.946,2.00,0.83,0.00,0.00,0.07,-0.05,0.85,6.48,0.00,0.85,0.088,0.088
102,이용찬,19두P,0.087,26,26,148.1,36,11,22,3,.917,2.00,1.04,0.00,0.00,0.06,-0.27,0.84,6.77,0.00,0.84,0.087,0.087
103,여건욱,19LP,0.086,25,0,29.2,3,0,3,0,1.000,0.91,0.18,0.00,0.58,0.01,0.07,0.83,33.67,0.00,0.83,0.086,0.086
104,원태인,19삼P,0.085,26,20,112.0,20,7,13,0,1.000,1.61,0.53,0.00,0.00,0.05,0.25,0.82,8.82,0.00,0.82,0.085,0.085
105,김진곤,19KLF,0.084,13,5,50.1,13,13,0,0,1.000,2.33,1.04,-0.13,0.00,0.00,0.03,0.93,22.16,-0.12,0.81,0.097,0.084
106,김대우,19삼P,0.082,44,0,59.2,12,3,9,0,1.000,1.81,0.76,0.00,0.00,-0.11,0.13,0.79,15.89,0.00,0.79,0.082,0.082
107,박세웅,19롯P,0.077,12,12,60.0,13,4,9,0,1.000,1.95,0.59,0.00,0.00,0.03,0.14,0.75,14.89,0.00,0.75,0.077,0.077
108,최민재,19SRF,0.077,1,1,6.0,3,3,0,0,1.000,4.50,0.61,0.08,0.00,0.00,0.00,0.70,139.86,-0.03,0.67,0.080,0.077
109,이준수,19KC,0.076,32,14,141.2,108,96,10,2,.982,6.73,-0.07,0.00,-0.12,-0.04,-0.21,-0.44,-3.74,1.17,0.73,-0.046,0.076
110,유희관,19두P,0.074,28,27,166.1,22,1,20,1,.955,1.14,0.61,0.00,0.00,-0.06,0.17,0.72,5.16,0.00,0.72,0.074,0.074
111,이재학,19NP,0.074,24,23,129.2,23,5,16,2,.913,1.46,0.76,0.00,0.00,0.05,-0.11,0.71,6.57,0.00,0.71,0.074,0.074
112,김종민,19한C,0.071,10,5,50.2,47,42,5,0,1.000,8.35,0.08,0.00,0.12,0.00,0.07,0.27,6.28,0.42,0.68,0.028,0.071
113,백정현,19삼P,0.071,28,27,157.0,29,10,19,0,1.000,1.66,0.27,0.00,0.00,0.07,0.35,0.69,5.25,0.00,0.69,0.071,0.071
114,최경모,19S2B,0.068,17,1,47.0,24,8,14,2,.917,4.21,0.76,0.00,0.00,0.00,-0.27,0.49,12.54,0.15,0.64,0.052,0.068
115,박용택,19LLF,0.066,4,3,25.2,4,4,0,0,1.000,1.40,0.76,-0.01,0.00,0.00,0.01,0.77,35.68,-0.12,0.64,0.079,0.066
116,최선호,19삼LF,0.066,12,0,28.0,13,13,0,0,1.000,4.18,1.03,-0.27,0.00,0.00,0.02,0.77,33.04,-0.13,0.64,0.080,0.066
117,이준영,19KP,0.064,37,1,51.0,10,3,7,0,1.000,1.77,0.49,0.00,0.00,0.02,0.11,0.62,14.59,0.00,0.62,0.064,0.064
118,켈리,19LP,0.064,29,29,180.1,36,11,20,5,.861,1.55,1.14,0.00,0.00,0.08,-0.59,0.62,4.10,0.00,0.62,0.064,0.064
119,정현,19KS2B,0.063,23,11,106.1,56,28,28,0,1.000,4.74,-0.00,0.00,0.00,0.00,0.28,0.28,3.17,0.32,0.60,0.030,0.063
120,손동현,19KP,0.063,34,3,47.1,14,6,8,0,1.000,2.66,0.55,0.00,0.00,-0.05,0.11,0.61,15.40,0.00,0.61,0.063,0.063
121,이인복,19롯P,0.062,11,0,12.1,3,1,2,0,1.000,2.19,0.57,0.00,0.00,0.01,0.03,0.60,58.35,0.00,0.60,0.062,0.062
122,진명호,19롯P,0.062,60,0,63.1,15,6,9,0,1.000,2.13,0.69,0.00,-0.12,-0.11,0.14,0.60,11.34,0.00,0.60,0.062,0.062
123,김성민,19키P,0.059,50,0,56.1,11,3,8,0,1.000,1.76,0.42,0.00,0.00,0.02,0.13,0.57,12.14,0.00,0.57,0.059,0.059
124,주효상,19키C,0.057,17,6,66.0,60,53,6,1,.983,8.05,0.09,0.00,-0.16,0.19,-0.11,0.00,0.09,0.54,0.55,0.000,0.057
125,정병곤,19두2B,0.056,18,7,77.2,42,15,26,1,.976,4.75,0.34,0.00,0.00,0.00,-0.00,0.34,5.27,0.20,0.54,0.035,0.056
126,박시영,19롯P,0.056,43,6,61.2,8,4,4,0,1.000,1.17,0.38,0.00,0.00,0.03,0.14,0.54,10.50,0.00,0.54,0.056,0.056
127,오현택,19롯P,0.056,15,0,12.2,3,1,2,0,1.000,2.13,0.51,0.00,0.00,0.01,0.03,0.54,51.03,0.00,0.54,0.056,0.056
128,이승현,19삼P,0.054,34,0,37.0,10,2,8,0,1.000,2.43,0.49,0.00,0.00,-0.05,0.08,0.52,16.82,0.00,0.52,0.054,0.054
129,장시환,19롯P,0.052,27,27,125.1,15,5,10,0,1.000,1.08,0.17,0.00,0.00,0.05,0.28,0.51,4.83,0.00,0.51,0.052,0.052
130,권혁,19두P,0.051,57,0,36.2,9,3,6,0,1.000,2.21,0.52,0.00,-0.12,0.02,0.08,0.50,16.21,0.00,0.50,0.051,0.051
131,박준표,19KP,0.051,49,0,56.0,19,7,12,0,1.000,3.05,0.59,0.00,-0.25,0.02,0.13,0.50,10.61,0.00,0.50,0.051,0.051
132,박정음,19키LF,0.050,44,21,208.1,50,49,1,0,1.000,2.16,1.38,-0.28,0.00,0.00,0.12,1.23,7.04,-0.75,0.48,0.127,0.050
133,김윤수,19삼P,0.048,5,2,11.2,5,1,4,0,1.000,3.86,0.43,0.00,0.00,0.00,0.03,0.46,47.43,0.00,0.46,0.048,0.048
134,김주한,19SP,0.048,11,1,12.0,4,1,3,0,1.000,3.00,0.43,0.00,0.00,0.01,0.03,0.46,46.20,0.00,0.46,0.048,0.048
135,박정배,19SP,0.048,20,0,19.2,6,1,5,0,1.000,2.75,0.41,0.00,0.00,0.01,0.04,0.46,27.98,0.00,0.46,0.048,0.048
136,한준수,19KC,0.047,7,5,39.0,34,29,5,0,1.000,7.85,0.08,0.00,-0.08,0.09,0.05,0.13,4.09,0.32,0.45,0.014,0.047
137,이진영,19KRF,0.047,9,4,40.0,11,11,0,0,1.000,2.48,0.54,0.02,0.00,0.00,0.03,0.59,17.53,-0.14,0.44,0.062,0.047
138,배제성,19KP,0.045,28,21,131.2,30,10,19,1,.967,1.98,0.28,0.00,0.00,0.06,0.10,0.44,3.97,0.00,0.44,0.045,0.045
139,스몰린스키,19NRF,0.044,53,52,455.2,141,135,3,3,.979,2.73,0.82,2.10,0.00,0.00,-0.24,2.68,7.05,-2.26,0.42,0.278,0.044
140,이병휘,19두2B,0.043,1,0,3.0,3,1,2,0,1.000,9.00,0.40,0.00,0.00,0.00,0.01,0.40,160.40,0.00,0.41,0.043,0.043
141,이창열,19한3B,0.043,4,1,15.0,4,1,3,0,1.000,2.40,0.33,0.00,0.00,0.00,0.04,0.37,29.74,0.03,0.41,0.039,0.043
142,박민석,19KSS,0.041,2,0,3.0,1,0,1,0,1.000,3.00,0.37,0.00,0.00,0.00,0.01,0.38,151.92,0.01,0.39,0.040,0.041
143,신민재,19L2B,0.041,56,14,189.1,102,56,46,0,1.000,4.85,0.56,-0.82,0.00,0.00,0.35,0.08,0.49,0.31,0.39,0.008,0.041
144,이우성,19KLF,0.038,2,3,22.0,8,8,0,0,1.000,3.27,0.57,-0.26,0.00,0.00,0.01,0.33,17.87,0.04,0.36,0.034,0.038
145,이성곤,19삼RF,0.036,7,5,40.0,14,13,1,0,1.000,3.15,-0.14,0.65,0.00,0.00,0.03,0.54,16.12,-0.19,0.34,0.057,0.036
146,김웅빈,19키3B,0.036,3,3,20.0,8,3,5,0,1.000,3.60,0.26,0.00,0.00,0.00,0.05,0.32,18.88,0.03,0.35,0.033,0.036
147,이대형,19KCF,0.035,2,0,6.0,3,3,0,0,1.000,4.50,0.40,-0.06,0.00,0.00,0.00,0.34,67.23,0.00,0.34,0.035,0.035
148,안승한,19KC,0.035,36,11,119.0,95,88,5,2,.979,7.03,-0.34,0.00,-0.06,0.00,-0.24,-0.64,-6.44,0.97,0.33,-0.067,0.035
149,최승준,19S1B,0.034,4,2,26.0,25,21,4,0,1.000,8.65,0.50,0.00,0.00,0.00,0.05,0.54,24.95,-0.21,0.33,0.057,0.034
150,신재영,19키P,0.034,12,6,29.1,4,1,3,0,1.000,1.23,0.25,0.00,0.00,0.01,0.07,0.33,13.46,0.00,0.33,0.034,0.034
151,전준호,19LC,0.034,8,2,24.0,20,20,0,0,1.000,7.50,0.00,0.00,0.00,0.09,0.03,0.13,6.28,0.20,0.32,0.013,0.034
152,쿠에바스,19KP,0.033,30,30,184.0,37,10,24,3,.919,1.66,0.43,0.00,0.00,0.08,-0.19,0.32,2.10,0.00,0.32,0.033,0.033
153,안우진,19키P,0.033,19,15,88.1,14,5,9,0,1.000,1.43,0.08,0.00,0.00,0.04,0.20,0.32,4.33,0.00,0.32,0.033,0.033
154,이영준,19키P,0.033,29,0,33.1,6,1,5,0,1.000,1.62,0.23,0.00,0.00,0.01,0.08,0.32,11.47,0.00,0.32,0.033,0.033
155,프리드릭,19NP,0.033,12,12,72.0,5,3,2,0,1.000,0.63,0.12,0.00,0.00,0.03,0.16,0.32,5.27,0.00,0.32,0.033,0.033
156,전상현,19KP,0.033,57,0,60.2,7,3,4,0,1.000,1.04,0.28,0.00,-0.12,0.03,0.14,0.32,6.24,0.00,0.32,0.033,0.033
157,김재성,19LC,0.032,3,2,17.0,18,16,2,0,1.000,9.53,0.00,0.00,0.08,0.07,0.02,0.17,12.02,0.14,0.31,0.018,0.032
158,배재준,19LP,0.030,19,12,62.0,4,0,4,0,1.000,0.58,0.13,0.00,0.00,0.03,0.14,0.29,5.68,0.00,0.29,0.030,0.030
159,송승준,19롯P,0.030,11,1,14.1,2,1,1,0,1.000,1.26,0.25,0.00,0.00,0.01,0.03,0.29,24.28,0.00,0.29,0.030,0.030
160,박한결,19한SS,0.030,7,2,29.0,13,5,8,0,1.000,4.03,0.05,0.00,0.00,0.00,0.09,0.14,5.82,0.14,0.28,0.015,0.030
161,채은성,19LRF,0.028,109,105,886.1,195,187,5,3,.985,1.95,3.23,1.39,0.00,0.00,0.11,4.73,6.39,-4.45,0.28,0.484,0.028
162,배재환,19NP,0.028,62,0,54.1,8,2,6,0,1.000,1.33,0.13,0.00,0.00,0.02,0.12,0.27,6.04,0.00,0.27,0.028,0.028
163,정우람,19한P,0.027,57,0,58.1,8,2,5,1,.875,1.08,0.30,0.00,0.00,0.02,-0.07,0.26,5.34,0.00,0.26,0.027,0.027
164,나경민,19롯CF,0.027,28,10,119.2,35,35,0,0,1.000,2.63,0.79,-0.52,0.00,0.00,0.08,0.34,3.43,-0.08,0.26,0.036,0.027
