순,이름,팀,WAAwithADJ,출장,선발,이닝,기회,자살,보살,실책,수비율,RF9,RNG,ARM,CS,BLK,E+,RAA,/133,POSADJ,RAAwithADJ,WAAw/oADJ,WAAwithADJ
1,김태군,17NC,1.067,132,122,958.1,931,860,62,9,.990,8.66,0.79,0.00,1.13,1.10,-0.38,2.64,3.30,8.82,11.46,0.246,1.067
2,이형종,17LLF,1.063,125,99,878.1,232,220,10,2,.991,2.36,9.94,3.72,0.00,0.00,0.30,13.96,19.02,-2.50,11.46,1.294,1.063
3,박해민,17삼CF,1.040,142,133,1177.2,362,352,9,1,.997,2.76,7.50,1.47,0.00,0.00,0.37,9.33,9.48,1.89,11.22,0.865,1.040
4,오지환,17LSS,1.039,106,95,830.2,397,132,254,11,.972,4.18,6.13,0.00,0.00,0.00,0.49,6.62,9.54,4.63,11.25,0.611,1.039
5,김하성,17넥SS,1.020,138,133,1163.0,646,208,420,18,.972,4.86,4.45,0.00,0.00,0.00,0.17,4.62,4.76,6.55,11.17,0.422,1.020
6,김민성,17넥3B,0.997,128,124,1061.0,370,117,247,6,.984,3.09,7.11,0.00,0.00,0.00,1.59,8.70,9.81,2.08,10.78,0.805,0.997
7,강한울,17삼SS,0.955,130,110,974.2,537,187,334,16,.970,4.81,6.69,0.00,0.00,0.00,-0.48,6.21,7.62,4.08,10.28,0.577,0.955
8,번즈,17롯2B,0.940,116,113,997.1,565,231,326,8,.986,5.03,7.87,0.00,0.00,0.00,0.45,8.32,9.99,1.88,10.20,0.767,0.940
9,김재호,17두SS,0.924,91,81,688.0,384,111,264,9,.977,4.91,5.76,0.00,0.00,0.00,0.43,6.19,10.76,3.84,10.03,0.570,0.924
10,김민식,17SKC,0.893,136,112,931.1,819,739,72,8,.990,7.84,0.07,0.00,1.66,-0.50,-0.22,1.01,1.30,8.54,9.55,0.094,0.893
11,하주석,17한SS,0.888,109,107,936.1,471,158,304,9,.981,4.44,3.24,-0.00,0.00,0.00,1.22,4.46,5.70,5.10,9.56,0.414,0.888
12,강승호,17L2B,0.811,80,66,563.2,355,138,205,12,.966,5.48,8.81,0.00,0.00,0.00,-1.25,7.56,16.06,1.11,8.67,0.708,0.811
