순,이름,팀,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA
1,양현종,19K,7.41,29,2,2,29,16,8,0,0,184.2,56,47,731,165,32,1,6,33,0,2,163,0,1,2.29,2.63,1.07,184.3,160.8,7.41,3.81
2,린드블럼,19두,6.83,30,0,0,30,20,3,0,0,194.2,57,54,773,165,22,3,13,29,0,6,189,0,7,2.50,2.87,1.00,163.7,141.3,6.83,4.44
3,김광현,19S,6.38,31,0,0,30,17,6,0,0,190.1,64,53,786,198,17,0,13,38,1,2,180,0,8,2.51,3.01,1.24,169.3,142.2,6.38,3.28
4,산체스,19S,5.91,28,0,0,28,17,5,0,0,165.0,51,48,671,151,18,2,2,42,0,2,148,2,11,2.62,2.57,1.17,162.0,163.9,5.91,3.64
5,루친스키,19N,4.70,30,2,0,30,9,9,0,0,177.1,68,60,731,164,20,1,13,45,0,11,119,0,7,3.05,3.96,1.18,139.2,106.7,4.70,2.51
6,채드벨,19한,4.45,29,0,0,29,11,10,0,0,177.1,73,69,749,169,33,2,14,63,0,10,134,1,8,3.50,4.15,1.31,118.3,100.4,4.45,1.53
7,요키시,19키,4.21,30,1,1,30,13,9,0,0,181.1,72,63,746,166,33,5,9,39,0,11,141,0,6,3.13,3.32,1.13,132.1,124.3,4.21,1.09
8,서폴드,19한,4.18,31,0,0,31,12,11,0,0,192.1,84,75,810,191,28,4,8,54,1,8,135,0,8,3.51,3.49,1.27,118.0,119.5,4.18,1.73
9,레일리,19롯,4.10,30,0,0,30,5,14,0,0,181.0,88,78,791,191,32,4,10,65,1,8,140,1,10,3.88,3.77,1.41,108.2,111.0,4.10,0.20
10,고우석,19L,4.00,65,0,0,0,8,2,35,1,71.0,13,12,288,47,7,1,4,30,4,4,76,0,2,1.52,3.26,1.09,268.7,124.7,4.00,3.78
11,켈리,19L,3.97,29,0,0,29,14,12,0,0,180.1,70,51,747,164,33,3,7,41,0,16,126,0,12,2.55,3.46,1.14,160.6,118.6,3.97,2.39
12,박진우,19N,3.86,41,0,0,18,9,7,0,5,140.2,53,49,590,137,18,0,9,29,0,19,92,0,2,3.14,3.95,1.18,135.2,107.0,3.86,2.46
13,정우람,19한,3.81,57,0,0,0,4,3,26,0,58.1,11,10,237,57,8,0,4,16,4,1,48,1,2,1.54,3.32,1.25,268.5,125.4,3.81,2.59
14,브리검,19키,3.67,28,0,0,28,13,5,0,0,158.1,62,52,669,148,32,2,5,46,0,12,130,1,7,2.96,3.27,1.23,139.7,126.8,3.67,1.21
15,쿠에바스,19K,3.58,30,0,0,30,13,10,0,0,184.0,80,74,760,153,21,6,18,63,0,12,135,0,4,3.62,4.43,1.17,115.1,93.1,3.58,1.22
16,유희관,19두,3.52,28,2,0,27,11,8,0,0,166.1,67,60,692,171,37,2,8,42,3,3,64,0,2,3.25,4.02,1.28,125.9,102.2,3.52,1.70
17,윌슨,19L,3.39,30,1,0,30,14,7,0,0,185.0,77,60,763,171,27,2,7,43,1,11,137,0,6,2.92,3.27,1.16,140.0,125.3,3.39,1.88
18,하재훈,19S,3.09,61,0,0,0,5,3,36,3,59.0,13,13,245,47,11,0,1,26,2,1,64,1,0,1.98,2.72,1.24,213.9,154.8,3.09,3.47
19,최원태,19키,3.07,27,0,0,27,11,5,0,0,157.1,68,59,666,165,28,2,5,36,0,5,105,0,5,3.38,3.26,1.28,122.4,127.0,3.07,0.60
20,이영하,19두,3.01,29,1,0,27,17,4,0,0,163.1,70,66,692,148,28,5,5,61,1,10,90,2,5,3.64,3.98,1.28,112.4,103.3,3.01,3.13
21,문경찬,19K,2.89,54,0,0,0,1,2,24,0,55.0,9,8,217,45,9,1,2,10,1,0,50,0,0,1.31,2.55,1.00,322.5,165.9,2.89,0.26
22,문승원,19S,2.87,26,0,0,23,11,7,0,2,144.0,63,62,586,130,13,5,23,33,1,3,99,0,0,3.88,4.83,1.13,109.5,89.5,2.87,0.72
23,알칸타라,19K,2.74,27,1,0,27,11,11,0,0,172.2,80,77,724,189,39,3,15,27,0,8,100,2,2,4.01,3.98,1.25,103.8,103.7,2.74,0.88
24,구창모,19N,2.70,23,0,0,19,10,7,0,1,107.0,40,38,449,85,15,2,10,42,0,5,114,0,7,3.20,3.80,1.19,132.6,111.7,2.70,1.09
25,서진용,19S,2.63,72,0,0,0,3,1,4,33,68.0,19,18,279,53,9,2,2,28,4,2,76,0,1,2.38,2.70,1.19,178.1,157.4,2.63,2.87
26,후랭코프,19두,2.58,22,0,0,22,9,8,0,0,117.1,48,47,495,110,20,2,5,30,1,13,111,1,2,3.61,3.14,1.19,113.4,130.3,2.58,0.48
27,프리드릭,19N,2.40,12,2,1,12,7,4,0,0,72.0,22,22,294,63,6,0,4,22,1,3,56,0,2,2.75,3.57,1.18,154.1,118.3,2.40,0.79
28,배제성,19K,2.30,28,1,1,21,10,10,0,0,131.2,58,55,564,132,18,3,6,56,0,3,91,0,10,3.76,3.96,1.43,110.8,104.8,2.30,0.18
29,박준표,19K,2.16,49,0,0,0,5,2,0,15,56.0,15,13,210,42,5,1,4,6,1,4,30,0,1,2.09,3.74,0.86,202.0,112.1,2.16,1.94
30,주권,19K,2.14,71,0,0,0,6,2,2,25,75.1,25,25,296,64,15,0,7,14,0,2,47,0,1,2.99,4.00,1.04,139.5,103.2,2.14,3.22
31,박종훈,19S,2.08,28,0,0,28,8,11,0,0,144.0,72,62,643,157,29,0,12,59,0,13,100,0,1,3.88,4.60,1.50,109.5,92.8,2.08,0.73
32,다익손,19S롯,2.07,29,0,0,28,6,10,0,0,149.1,81,72,649,164,23,3,15,40,1,6,117,1,4,4.34,4.05,1.37,97.2,104.7,2.07,-0.58
33,백정현,19삼,2.06,28,1,1,27,8,10,0,0,157.0,85,74,677,158,29,4,17,56,0,6,82,0,4,4.24,4.95,1.36,102.1,86.3,2.06,-0.65
34,우규민,19삼,1.99,54,0,0,0,2,7,15,7,59.0,20,18,247,58,3,0,7,10,1,6,40,0,0,2.75,4.35,1.15,157.7,98.5,1.99,0.96
