순,이름,팀,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA
35,소사,19S,1.92,16,0,0,16,9,3,0,0,94.1,42,40,387,85,6,0,15,23,0,2,96,1,3,3.82,4.23,1.15,111.2,102.8,1.92,1.38
36,진명호,19롯,1.89,60,0,0,0,3,2,0,9,63.1,24,24,273,56,12,0,4,35,4,1,51,0,3,3.41,4.13,1.44,123.0,101.1,1.89,0.68
37,전상현,19K,1.86,57,0,0,0,1,4,0,15,60.2,21,21,245,45,8,1,3,21,2,2,62,0,2,3.12,3.04,1.09,135.5,138.9,1.86,0.47
38,이재학,19N,1.75,24,0,0,23,10,4,0,0,129.2,62,55,560,133,24,2,6,43,0,9,91,0,6,3.82,3.80,1.36,111.0,111.0,1.75,0.29
39,조상우,19키,1.74,48,0,0,0,2,4,20,8,47.1,15,14,192,45,3,0,3,8,0,2,46,0,1,2.66,2.92,1.12,155.1,140.7,1.74,2.10
40,장필준,19삼,1.73,61,0,0,0,3,3,11,15,69.2,29,28,302,64,12,1,7,33,3,3,53,0,4,3.62,4.61,1.39,119.7,92.6,1.73,0.79
41,김상수,19키,1.72,67,0,0,0,3,5,0,40,56.2,19,18,238,50,6,0,3,28,1,2,60,0,0,2.86,3.51,1.38,144.4,117.5,1.72,1.04
42,김재윤,19K,1.72,43,0,0,0,2,2,7,9,47.2,13,12,177,27,3,0,4,12,2,1,42,0,1,2.27,3.42,0.82,183.9,120.8,1.72,1.38
43,윌랜드,19K,1.68,28,0,0,28,8,10,0,0,165.0,95,87,726,191,41,1,17,59,1,5,137,0,4,4.75,4.23,1.52,89.0,99.4,1.68,-0.78
44,윤명준,19두,1.61,69,0,0,0,6,2,1,14,68.1,23,20,279,63,14,0,3,20,2,3,40,0,7,2.63,3.72,1.22,155.2,110.1,1.61,0.36
45,오주원,19키,1.60,57,0,0,0,3,3,18,3,54.1,17,14,223,54,7,0,1,7,0,3,41,0,1,2.32,2.68,1.12,178.1,154.8,1.60,1.33
46,최성영,19N,1.47,26,0,0,15,4,1,0,2,82.1,39,36,368,79,15,3,3,48,0,4,62,0,3,3.94,4.27,1.54,107.7,98.8,1.47,-0.01
47,차우찬,19L,1.43,29,0,0,28,13,8,0,0,168.1,87,77,730,181,30,1,16,59,0,5,124,0,13,4.12,4.31,1.43,99.3,94.0,1.43,0.19
48,김성민,19키,1.39,50,0,0,0,2,0,0,5,56.1,17,16,230,53,13,1,0,11,0,2,38,0,4,2.56,2.75,1.14,161.5,152.1,1.39,1.03
49,이용찬,19두,1.32,26,0,0,26,7,10,0,0,148.1,75,67,651,168,28,2,15,45,3,6,102,0,3,4.07,4.31,1.44,100.6,93.8,1.32,0.09
50,최원준,19두,1.29,34,0,0,3,1,2,1,4,54.1,17,16,228,52,12,1,1,16,1,4,38,0,1,2.65,3.29,1.25,154.2,125.4,1.29,-0.23
51,윤영삼,19키,1.28,54,0,0,0,3,3,1,3,62.2,23,20,254,60,12,2,5,14,1,1,56,0,3,2.87,3.32,1.18,143.8,123.3,1.28,-0.41
52,박민호,19S,1.26,47,0,0,0,3,1,0,4,50.1,17,15,209,49,10,0,2,14,0,4,22,0,0,2.68,4.12,1.25,158.2,102.7,1.26,-0.28
53,고영창,19K,1.21,55,0,0,0,1,3,1,10,54.0,22,21,243,63,8,3,2,14,2,8,22,0,2,3.50,4.18,1.43,120.6,100.2,1.21,-0.93
54,이형범,19두,1.20,67,0,0,0,6,3,19,10,61.0,25,18,258,57,6,0,4,19,2,9,31,0,2,2.66,4.52,1.25,153.9,90.4,1.20,1.23
55,양현,19키,1.20,29,0,0,3,1,0,0,1,40.2,10,9,159,31,5,1,1,11,0,1,25,0,0,1.99,3.38,1.03,207.3,122.9,1.20,0.55
56,장시환,19롯,1.20,27,0,0,27,6,13,0,0,125.1,78,69,570,147,29,1,12,58,1,2,109,0,17,4.95,4.32,1.64,84.7,97.0,1.20,-0.61
57,안영명,19한,1.19,67,0,0,0,4,7,0,13,62.0,27,27,273,82,14,1,5,13,0,3,48,1,2,3.92,3.68,1.53,105.7,113.1,1.19,-1.91
58,정영일,19S,1.17,44,0,0,0,1,2,1,8,42.0,15,15,175,32,3,1,1,22,2,1,35,0,2,3.21,3.55,1.29,132.0,118.9,1.17,0.44
59,이승현,19삼,1.16,34,0,0,0,2,1,0,8,37.0,11,8,147,28,3,0,2,11,0,1,31,0,2,1.95,3.40,1.05,222.5,124.8,1.16,0.36
60,라이블리,19삼,1.10,9,1,1,9,4,4,0,0,57.0,26,25,236,51,9,4,4,13,0,5,58,0,0,3.95,3.23,1.12,109.7,132.2,1.10,0.25
61,박시영,19롯,1.06,43,0,0,6,1,1,0,4,61.2,30,29,262,51,10,1,5,27,0,4,60,0,7,4.23,4.02,1.27,99.1,104.1,1.06,0.73
62,김대현,19L,1.06,41,0,0,2,5,4,0,9,66.2,31,28,285,63,11,1,2,27,1,4,40,0,3,3.78,3.94,1.35,108.1,104.4,1.06,1.50
63,김태훈,19S,1.04,71,0,0,0,4,5,7,27,69.2,33,31,296,62,8,0,4,26,0,4,76,0,7,4.00,3.26,1.26,105.9,130.9,1.04,0.42
64,최지광,19삼,1.03,63,0,0,0,3,8,2,10,68.0,33,31,303,64,9,3,4,40,3,5,60,0,3,4.10,4.26,1.53,105.5,99.6,1.03,-0.71
65,김승회,19두,0.99,55,0,0,0,3,3,3,7,58.2,24,20,250,57,12,3,1,16,1,2,46,0,5,3.07,2.93,1.24,133.2,141.2,0.99,0.30
66,박세웅,19롯,0.98,12,0,0,12,3,6,0,0,60.0,33,28,263,66,12,3,3,23,0,0,44,0,4,4.20,3.74,1.48,99.9,112.0,0.98,-0.45
67,전유수,19K,0.93,62,0,0,1,3,1,1,7,66.1,31,25,280,66,16,1,2,18,4,4,46,0,6,3.39,3.22,1.27,122.8,129.3,0.93,-1.21
68,박희수,19S,0.91,34,0,0,0,0,1,1,2,28.2,8,4,124,29,2,0,1,13,0,3,14,0,0,1.26,4.55,1.47,337.8,92.7,0.91,0.28
69,김건국,19롯,0.91,37,0,0,5,3,3,0,3,66.2,34,33,293,73,8,1,5,27,0,6,43,0,3,4.46,4.57,1.50,94.2,91.4,0.91,-0.27
70,손승락,19롯,0.86,53,0,0,0,4,3,9,2,52.2,27,23,233,54,9,1,3,19,3,3,44,0,2,3.93,3.55,1.39,106.8,117.3,0.86,-1.04
71,원태인,19삼,0.85,26,0,0,20,4,8,0,2,112.0,65,60,493,119,26,3,12,39,0,5,68,2,6,4.82,4.76,1.41,89.8,89.8,0.85,-1.59
72,톰슨,19롯,0.83,11,1,1,11,2,3,0,0,62.2,35,33,267,54,8,1,4,23,0,5,60,0,8,4.74,3.66,1.23,88.5,114.2,0.83,-0.26
73,진해수,19L,0.83,73,0,0,0,3,1,0,20,43.0,17,16,188,44,3,3,2,16,0,2,38,0,0,3.35,3.50,1.40,122.1,116.9,0.83,-0.02
74,한현희,19키,0.83,61,0,0,0,7,5,0,24,58.0,26,22,251,50,10,1,1,20,1,7,49,1,2,3.41,3.28,1.21,121.0,126.8,0.83,-0.45
75,함덕주,19두,0.81,61,0,0,0,2,5,16,7,54.2,24,21,236,39,7,1,6,34,4,1,48,0,2,3.46,4.77,1.34,118.2,84.6,0.81,1.14
76,윤성환,19삼,0.81,27,1,1,27,8,13,0,0,145.1,87,77,643,168,34,3,14,50,0,7,65,0,3,4.77,4.94,1.50,90.8,86.3,0.81,-1.05
77,박상원,19한,0.80,61,0,0,0,1,4,0,12,59.0,29,26,256,52,6,0,5,28,1,5,39,0,1,3.97,4.81,1.36,104.4,86.8,0.80,0.45
78,박진형,19롯,0.77,41,0,0,0,2,1,5,5,40.1,19,18,169,40,3,0,6,11,3,0,40,0,5,4.02,3.95,1.26,104.5,106.3,0.77,-1.02
79,이승호,19키,0.76,23,1,1,23,8,5,0,0,122.2,70,61,533,134,27,3,10,51,0,1,82,3,5,4.48,4.40,1.51,92.3,93.5,0.76,-0.82
80,맥과이어,19삼,0.75,21,1,1,21,4,8,0,0,112.1,68,63,512,119,24,3,13,66,0,6,100,2,3,5.05,5.05,1.65,85.8,84.7,0.75,-0.37
81,이영준,19키,0.74,29,0,0,0,1,1,0,1,33.1,11,11,136,39,7,2,0,5,0,0,19,0,0,2.97,2.71,1.32,139.0,153.9,0.74,0.69
82,임현준,19삼,0.72,71,0,0,0,1,0,0,8,42.1,19,16,177,34,9,1,2,12,0,3,35,0,0,3.40,3.43,1.09,127.3,123.7,0.72,0.45
83,고효준,19롯,0.71,75,0,0,0,2,7,0,15,62.1,34,33,280,58,13,1,6,36,6,3,72,0,11,4.76,3.93,1.51,88.1,106.1,0.71,-1.37
84,김대유,19K,0.70,21,0,0,0,0,0,0,0,27.0,7,7,111,21,6,0,1,12,1,4,23,0,0,2.33,3.85,1.22,178.6,107.8,0.70,0.21
85,이대은,19K,0.67,44,0,0,8,4,2,17,0,86.0,48,40,391,89,17,1,10,39,1,6,59,0,5,4.19,5.08,1.49,99.5,81.2,0.67,0.96
86,임기준,19K,0.66,52,0,0,0,2,2,0,6,36.2,17,14,162,32,5,0,1,16,0,4,24,0,2,3.44,4.08,1.31,122.8,102.9,0.66,0.04
87,정우영,19L,0.65,56,0,0,0,4,6,1,16,65.1,30,27,273,57,9,2,2,20,5,8,38,1,3,3.72,3.69,1.18,109.9,111.4,0.65,0.63
88,서준원,19롯,0.64,33,0,0,16,4,11,0,0,97.0,61,59,443,117,25,1,10,38,0,11,60,1,1,5.47,5.02,1.60,76.7,83.3,0.64,-0.84
89,김정훈,19N,0.64,44,0,0,0,0,2,0,7,51.1,23,21,215,49,11,0,5,16,0,4,32,0,3,3.68,4.59,1.27,115.1,92.1,0.64,0.66
90,김태훈,19키,0.63,33,0,0,5,8,3,0,2,70.0,36,35,300,77,15,0,5,23,0,0,50,0,3,4.50,3.89,1.43,91.8,105.7,0.63,-0.25
91,배재환,19N,0.63,62,0,0,0,3,5,0,20,54.1,26,22,247,49,9,0,3,31,2,7,61,1,2,3.64,3.86,1.47,116.3,109.5,0.63,-0.66
92,류제국,19L,0.59,11,0,0,11,0,2,0,0,53.1,27,25,243,57,7,2,5,26,1,4,31,0,2,4.22,5.09,1.56,96.9,79.8,0.59,-0.58
93,김민,19K,0.58,27,0,0,26,6,12,0,0,150.2,88,83,674,175,26,4,16,65,0,4,91,2,4,4.96,4.95,1.59,84.0,83.3,0.58,-2.06
94,백승건,19S,0.56,15,0,0,0,0,0,0,0,19.1,5,5,81,16,4,0,1,12,0,1,14,0,1,2.33,4.64,1.45,182.3,91.1,0.56,-0.51
95,김진영,19한,0.56,6,0,0,5,0,4,0,0,26.2,12,12,117,27,6,0,1,16,0,1,14,0,0,4.05,4.75,1.61,102.3,88.2,0.56,0.12
96,김민수,19K,0.51,28,0,0,11,8,5,2,1,81.2,46,45,354,87,12,3,10,30,2,2,56,0,4,4.96,4.73,1.43,84.0,87.2,0.51,-0.60
97,김이환,19한,0.49,11,0,0,8,4,3,0,0,38.0,19,18,171,42,9,0,2,21,0,2,15,0,1,4.26,5.11,1.66,97.2,81.9,0.49,0.04
98,강윤구,19N,0.46,67,0,0,0,3,3,0,15,56.1,29,28,242,55,4,4,4,24,2,4,49,0,2,4.47,3.97,1.40,94.7,106.4,0.46,0.47
99,차명진,19K,0.45,9,0,0,6,3,1,0,0,33.0,17,16,151,35,9,0,1,18,0,2,19,0,3,4.36,4.46,1.61,96.7,94.0,0.45,0.25
100,원종현,19N,0.44,60,0,0,0,3,3,31,0,60.0,31,27,256,62,9,2,4,17,2,3,59,0,5,4.05,3.20,1.32,104.6,132.2,0.44,0.74
101,신재웅,19S,0.40,20,0,0,1,1,0,0,0,21.2,8,8,88,14,4,0,1,10,0,1,14,0,0,3.32,4.23,1.11,127.7,99.9,0.40,0.27
102,김선기,19키,0.37,7,0,0,6,3,1,0,0,28.0,13,13,122,27,5,0,2,9,0,4,17,0,2,4.18,4.51,1.29,98.8,91.5,0.37,0.07
103,신재영,19키,0.36,12,0,0,6,1,0,0,0,29.1,14,12,132,34,14,2,1,9,0,4,21,0,1,3.68,3.74,1.47,112.2,110.8,0.36,0.27
104,박치국,19두,0.35,61,0,0,0,2,2,3,14,52.0,26,26,229,64,14,1,5,14,2,5,35,0,3,4.50,4.29,1.50,90.8,94.4,0.35,-1.07
105,문광은,19L,0.33,32,0,0,0,1,1,1,3,33.0,15,15,141,35,5,1,3,13,0,1,26,0,1,4.09,4.28,1.46,99.9,94.6,0.33,0.92
106,최채흥,19삼,0.32,28,0,0,15,6,6,0,2,106.2,67,57,478,127,21,5,10,36,1,1,89,0,6,4.81,3.97,1.53,90.0,107.8,0.32,-1.21
107,조무근,19롯,0.31,8,0,0,0,0,0,0,0,9.2,2,2,43,6,2,1,0,5,0,3,5,0,0,1.86,4.85,1.14,225.4,85.3,0.31,-0.03
108,여건욱,19L,0.29,25,0,0,0,0,0,0,0,29.2,14,13,130,35,11,1,2,8,0,1,24,0,1,3.94,3.57,1.45,103.6,113.9,0.29,-0.22
109,임창민,19N,0.29,20,0,0,0,0,1,0,2,15.0,6,4,64,14,2,0,1,8,1,1,10,0,1,2.40,4.54,1.47,176.6,92.8,0.29,-0.24
110,강지광,19S,0.29,25,0,0,0,2,4,0,6,27.1,14,12,115,24,5,0,0,11,1,0,15,0,3,3.95,3.40,1.28,107.4,123.0,0.29,0.46
111,하준호,19K,0.28,8,0,0,0,0,0,0,0,8.0,1,1,33,4,0,0,1,4,0,0,11,0,1,1.13,3.78,1.00,370.4,108.9,0.28,-0.02
112,권오준,19삼,0.24,43,0,0,0,3,0,0,3,43.0,25,25,187,49,10,1,7,12,0,2,26,0,0,5.23,5.29,1.42,82.8,81.4,0.24,-0.18
113,하준영,19K,0.21,59,0,0,0,6,2,0,15,52.2,31,29,243,59,9,1,5,31,2,0,51,0,1,4.96,4.35,1.71,85.2,96.6,0.21,-1.62
114,김영규,19N,0.21,30,1,1,10,5,4,0,1,66.1,40,39,307,82,6,1,7,31,0,6,46,0,4,5.29,5.06,1.70,80.1,83.6,0.21,-0.62
115,홍성민,19롯,0.20,12,0,0,0,0,0,0,1,12.2,6,6,57,17,4,0,0,0,0,1,7,0,2,4.26,2.53,1.34,98.4,164.1,0.20,-0.12
116,김현수,19롯,0.20,6,0,0,0,0,1,0,0,6.1,2,1,24,3,1,0,0,1,0,0,4,0,1,1.42,2.61,0.63,295.3,159.7,0.20,-0.00
117,배영수,19두,0.20,37,0,0,0,1,2,0,0,45.1,25,23,194,50,11,1,4,11,2,3,10,1,3,4.57,4.90,1.35,89.5,83.1,0.20,-0.60
118,이동현,19L,0.20,5,0,0,0,0,0,0,0,5.0,0,0,20,6,0,0,0,0,0,0,5,0,0,0.00,1.40,1.20,,299.4,0.20,0.03
119,정성종,19롯,0.20,32,0,0,0,1,1,0,0,49.2,33,30,231,64,10,1,6,24,3,4,24,0,4,5.44,5.52,1.77,77.2,75.8,0.20,-0.09
120,송승준,19롯,0.19,11,0,0,1,0,1,0,0,14.1,7,7,64,16,3,0,2,6,0,0,13,0,0,4.40,4.66,1.54,95.5,90.2,0.19,-0.42
121,박진태,19K,0.19,2,0,0,2,0,1,0,0,8.1,4,4,42,10,1,0,0,6,0,3,5,0,0,4.32,5.44,1.92,97.7,77.2,0.19,-0.02
122,임준섭,19한,0.17,34,0,0,6,1,3,0,1,49.1,30,23,230,56,14,1,1,28,0,1,26,0,6,4.20,4.38,1.70,98.7,96.0,0.17,-0.60
123,김성훈,19한,0.16,15,0,0,1,0,1,0,0,22.1,12,12,104,24,5,0,3,15,0,1,26,0,6,4.84,4.97,1.75,85.7,83.9,0.16,-0.52
124,이현승,19두,0.16,9,0,0,0,0,1,0,2,6.0,2,2,22,4,1,0,0,0,0,0,4,0,0,3.00,2.07,0.67,136.3,202.4,0.16,0.28
125,이종혁,19K,0.16,5,0,0,0,0,0,0,0,5.1,1,1,25,6,1,1,0,3,0,1,4,0,0,1.69,4.15,1.69,246.9,100.0,0.16,-0.07
126,김경태,19한,0.16,17,0,0,0,0,0,0,0,11.0,5,5,54,14,4,0,0,8,0,0,10,0,2,4.09,3.77,2.00,101.2,111.9,0.16,-0.56
127,강정현,19L,0.15,7,0,0,1,0,0,0,0,10.2,6,6,48,9,1,0,3,6,0,2,8,0,0,5.06,7.81,1.41,80.7,51.0,0.15,0.13
128,이우찬,19L,0.15,30,0,0,13,5,4,0,2,91.0,55,49,398,78,14,1,5,66,1,4,58,0,5,4.85,5.12,1.58,84.3,80.0,0.15,-0.14
129,임찬규,19L,0.14,30,0,0,13,3,5,0,2,88.2,51,49,392,84,20,3,10,46,0,7,72,0,7,4.97,5.04,1.47,82.2,80.2,0.14,-1.21
130,장민재,19한,0.14,26,1,0,22,6,8,0,0,119.1,76,72,526,150,25,1,14,27,0,6,103,0,3,5.43,4.03,1.48,76.3,103.0,0.14,-1.45
131,김시현,19삼,0.14,14,0,0,0,0,0,0,0,16.1,9,8,71,16,2,0,3,8,0,1,10,0,1,4.41,6.22,1.47,98.2,69.2,0.14,-0.08
132,조현우,19K,0.13,7,0,0,0,0,0,0,0,7.2,3,3,35,6,2,0,0,5,0,1,9,0,2,3.52,3.40,1.44,118.3,122.2,0.13,0.01
133,이케빈,19S,0.13,1,0,0,1,0,0,0,0,3.0,1,1,14,2,0,0,0,3,0,0,3,0,1,3.00,4.40,1.67,141.4,94.9,0.13,-0.03
134,박윤철,19한,0.13,15,0,0,3,0,1,0,0,30.0,19,17,145,22,3,0,4,30,0,3,21,0,2,5.10,7.04,1.73,81.2,59.5,0.13,-0.21
135,한선태,19L,0.10,6,0,0,0,0,0,0,0,7.1,3,3,29,6,0,0,0,1,0,1,4,0,0,3.68,3.13,0.96,111.0,132.9,0.10,0.01
136,김대우,19삼,0.09,44,0,0,0,5,1,0,1,59.2,38,34,253,61,16,2,11,16,0,5,40,0,2,5.13,5.51,1.29,84.4,78.2,0.09,-0.42
137,차재용,19롯,0.09,9,0,0,0,0,0,0,0,9.2,6,4,47,9,2,0,0,8,1,0,7,0,1,3.72,4.13,1.76,112.7,100.6,0.09,-0.03
138,김윤수,19삼,0.08,5,0,0,2,1,1,0,0,11.2,6,6,54,10,3,1,2,10,0,0,9,0,0,4.63,6.66,1.71,93.5,64.4,0.08,-0.32
139,임정호,19N,0.08,6,0,0,0,0,1,0,0,4.2,2,2,19,3,0,0,0,2,0,0,6,0,0,3.86,2.12,1.07,109.9,200.0,0.08,0.14
140,임기영,19K,0.08,12,0,0,8,2,3,0,0,48.2,33,31,225,67,14,1,7,19,0,2,37,0,0,5.73,5.05,1.77,73.6,83.1,0.08,-0.64
141,버틀러,19N,0.07,13,0,0,13,3,6,0,0,73.2,46,39,326,78,18,1,6,28,1,2,49,0,4,4.76,4.31,1.44,88.9,98.0,0.07,-1.15
142,김민규,19두,0.07,1,0,0,0,0,0,0,0,2.0,0,0,8,2,0,0,0,1,0,0,0,0,0,0.00,4.90,1.50,,84.8,0.07,0.00
143,김정후,19L,0.07,2,0,0,0,0,0,0,0,1.2,0,0,7,1,0,0,0,1,0,0,1,0,0,0.00,4.00,1.20,,103.7,0.07,-0.01
144,김진성,19N,0.05,42,0,0,0,1,2,0,5,42.0,25,20,178,39,10,1,6,15,1,2,35,1,6,4.29,4.74,1.29,98.9,89.6,0.05,-0.31
145,장현식,19N,0.05,53,0,0,0,5,4,0,9,54.2,31,28,246,58,7,1,9,23,0,4,49,0,6,4.61,5.23,1.48,91.9,81.2,0.05,-0.48
146,조한욱,19K,0.05,2,0,0,0,0,0,0,0,2.2,1,1,12,4,0,0,0,1,0,0,0,0,0,3.38,4.53,1.88,123.5,92.1,0.05,-0.01
147,강백호,19K,0.04,1,0,0,0,0,0,0,0,1.0,0,0,4,0,0,0,0,1,0,0,0,0,0,0.00,6.40,1.00,,64.9,0.04,0.02
148,김진욱,19한,0.04,1,0,0,0,0,0,0,0,1.0,0,0,4,0,0,0,0,1,0,1,0,0,0,0.00,9.40,1.00,,44.2,0.04,0.00
149,소이현,19N,0.04,1,0,0,0,0,0,0,0,1.0,0,0,5,1,0,0,0,1,0,0,1,0,1,0.00,4.40,2.00,,95.6,0.04,0.01
150,오석주,19L,0.04,3,0,0,0,0,0,0,0,5.0,3,3,24,6,1,0,2,3,0,0,4,0,1,5.40,8.80,1.80,75.7,44.7,0.04,-0.00
151,홍상삼,19두,0.04,3,0,0,1,0,0,0,0,5.2,3,3,26,5,0,0,1,4,0,1,5,0,5,4.76,6.58,1.59,85.8,61.1,0.04,0.02
152,임규빈,19키,0.04,1,0,0,0,0,0,0,0,1.0,0,0,4,1,1,0,0,0,0,0,2,0,0,0.00,-0.60,1.00,,-699.1,0.04,0.00
153,전사민,19N,0.04,1,0,0,0,0,0,0,0,1.0,0,0,5,2,0,0,0,0,0,0,1,0,0,0.00,1.40,2.00,,301.5,0.04,0.00
154,정찬헌,19L,0.03,13,0,0,0,1,1,6,0,10.0,5,2,46,11,4,0,0,6,0,0,11,0,0,1.80,3.00,1.70,227.1,138.0,0.03,-0.30
155,송창현,19한,0.02,3,0,0,2,0,1,0,0,12.2,9,9,57,15,1,0,4,4,0,0,5,0,0,6.39,7.67,1.50,64.8,54.2,0.02,-0.26
156,김주한,19S,0.02,11,0,0,1,1,1,0,1,12.0,7,7,56,12,4,1,0,7,1,2,10,0,2,5.25,3.74,1.58,80.8,112.7,0.02,-0.41
