순,이름,팀,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA
1,헥터,17K,5.86,30,1,0,30,20,5,0,0,201.2,83,78,854,221,36,4,21,45,1,5,149,0,7,3.48,4.34,1.32,142.7,115.0,5.86,1.34
2,장원준,17두,5.40,29,1,1,29,14,9,0,0,180.1,70,63,760,172,26,2,12,51,2,14,125,0,3,3.14,4.26,1.24,153.1,114.0,5.40,1.41
3,피어밴드,17k,5.34,26,1,1,26,8,10,0,0,160.0,67,54,657,153,19,4,20,31,0,7,132,0,4,3.04,4.42,1.15,167.0,112.8,5.34,1.00
4,켈리,17S,5.11,30,0,0,30,16,7,0,0,190.0,85,76,815,204,38,3,16,45,2,11,189,1,9,3.60,3.69,1.31,139.8,136.9,5.11,1.60
5,레일리,17롯,5.07,30,1,0,30,13,7,0,0,187.1,87,79,798,199,39,2,19,44,0,17,156,1,3,3.80,4.37,1.30,132.7,115.1,5.07,1.25
6,허프,17L,4.95,19,2,0,17,6,4,0,0,124.2,37,33,490,100,20,2,7,14,0,2,98,0,2,2.38,3.28,0.91,203.1,148.5,4.95,2.93
7,박세웅,17롯,4.67,28,0,0,28,12,6,0,0,171.1,74,70,725,170,25,1,21,56,2,9,117,0,7,3.68,5.07,1.32,137.0,99.3,4.67,1.23
8,양현종,17K,4.60,31,1,0,31,20,6,0,0,193.1,88,74,808,209,32,2,17,45,0,0,158,0,14,3.44,3.94,1.31,144.2,126.7,4.60,1.31
9,해커,17N,4.52,26,1,0,26,12,7,0,0,160.1,64,61,672,159,19,2,14,29,1,14,97,2,6,3.42,4.45,1.17,145.0,112.4,4.52,1.40
10,소사,17L,4.22,30,2,1,29,11,11,1,0,185.1,86,80,769,189,36,9,11,38,0,3,153,0,3,3.88,3.52,1.23,124.6,138.3,4.22,0.50
11,차우찬,17L,4.21,28,0,0,28,10,7,0,0,175.2,75,67,732,171,33,4,20,38,0,7,157,0,10,3.43,4.20,1.19,141.0,114.3,4.21,1.27
12,손승락,17롯,4.13,61,0,0,0,1,3,37,0,62.0,16,15,250,59,3,1,7,11,2,1,62,1,0,2.18,3.69,1.13,231.4,136.8,4.13,2.62
13,윤성환,17삼,3.73,28,1,0,28,12,9,0,0,174.1,86,83,731,181,39,4,22,37,0,15,130,0,3,4.28,4.78,1.25,118.4,105.4,3.73,0.77
14,박종훈,17S,3.51,29,0,0,28,12,7,0,1,151.1,74,69,664,145,26,0,16,61,1,25,107,0,4,4.10,5.38,1.36,122.7,93.8,3.51,0.23
