,이름,WHIP,승률,피안타율,피홈런율,이닝당삼진,이닝당볼넷,평균자책점,선수WAR
199,정대현,1.72,0.2727272727272727,0.2973856209150327,0.042483660130718956,0.4084720121028745,0.34795763993948564,7.080181543116491,-0.21
200,박세진,1.94,0.0,0.2857142857142857,0.0,0.7207207207207208,0.5405405405405406,9.72972972972973,-0.21
201,배우열,1.95,0.0,0.327683615819209,0.03954802259887006,0.9677419354838709,0.26392961876832843,8.709677419354838,-0.21
202,신정락,1.44,0.375,0.23018867924528302,0.01509433962264151,0.9830508474576272,0.4067796610169492,5.338983050847458,-0.22
203,송창식,1.5,0.45454545454545453,0.2326283987915408,0.03927492447129909,0.8755129958960329,0.45143638850889195,6.6484268125855,-0.22
204,남재현,3.26,,0.3333333333333333,0.020833333333333332,1.1111111111111112,1.25,12.5,-0.23
205,오윤성,2.35,0.0,0.21428571428571427,0.0,0.5555555555555556,1.25,12.5,-0.24
206,문광은,1.59,0.3333333333333333,0.2562814070351759,0.02512562814070352,0.927601809954751,0.4524886877828054,7.126696832579185,-0.25
207,홍성무,2.68,0.0,0.3142857142857143,0.02857142857142857,0.6557377049180328,0.9836065573770493,13.278688524590164,-0.26
208,애디튼,1.57,0.2222222222222222,0.2623456790123457,0.021604938271604937,0.8571428571428571,0.35714285714285715,5.914285714285715,-0.27
209,한승혁,1.77,0.5,0.24731182795698925,0.021505376344086023,1.0769230769230769,0.5897435897435898,7.153846153846154,-0.28
210,박근홍,1.76,,0.17105263157894737,0.02631578947368421,0.9271523178807948,0.9271523178807948,9.536423841059603,-0.29
211,임대한,2.93,,0.32098765432098764,0.037037037037037035,0.9285714285714286,1.0714285714285714,9.0,-0.3
212,이태양,1.78,0.3333333333333333,0.2872727272727273,0.04363636363636364,0.4915254237288136,0.4406779661016949,7.169491525423729,-0.31
213,황덕균,1.93,0.0,0.3466666666666667,0.05333333333333334,0.3333333333333333,0.2,9.6,-0.31
214,정영일,2.25,,0.2727272727272727,0.06818181818181818,0.25,0.75,10.125,-0.34
215,박주현,5.14,,0.47368421052631576,0.05263157894736842,0.0,1.4285714285714286,38.57142857142857,-0.34
216,이재학,1.54,0.4166666666666667,0.2600732600732601,0.040293040293040296,0.9831932773109243,0.3445378151260504,5.6722689075630255,-0.34
217,이현호,2.07,1.0,0.32653061224489793,0.04081632653061224,0.6333333333333333,0.4666666666666667,5.7,-0.37
218,고원준,2.68,0.0,0.3269230769230769,0.0,0.6593406593406593,0.8791208791208791,10.87912087912088,-0.37
219,홍상삼,1.82,0.5,0.23809523809523808,0.023809523809523808,0.4117647058823529,0.6470588235294118,7.9411764705882355,-0.38
220,채병용,1.54,0.6,0.2683982683982684,0.03463203463203463,0.86,0.3,6.84,-0.39
221,류희운,1.88,0.5,0.25063291139240507,0.04556962025316456,0.6419753086419753,0.654320987654321,7.666666666666667,-0.45
222,노경은,2.25,0.0,0.32894736842105265,0.05263157894736842,0.5633802816901409,0.5633802816901409,12.042253521126762,-0.48
223,배힘찬,3.6,0.0,0.5714285714285714,0.14285714285714285,1.2903225806451613,0.0,31.93548387096774,-0.49
224,김범수,2.16,0.0,0.2721518987341772,0.04430379746835443,0.5161290322580645,0.7741935483870968,8.709677419354838,-0.49
225,손영민,2.18,0.0,0.3939393939393939,0.06060606060606061,0.6870229007633588,0.22900763358778625,10.992366412213741,-0.52
226,오설리반,2.38,0.0,0.3953488372093023,0.046511627906976744,0.75,0.25,15.75,-0.57
227,이충호,2.91,0.5,0.31343283582089554,0.04477611940298507,0.7207207207207208,1.0810810810810811,13.783783783783784,-0.59
228,최충연,1.88,0.2727272727272727,0.2644230769230769,0.028846153846153848,0.8809523809523809,0.5714285714285714,7.607142857142857,-0.6
229,정인욱,1.88,0.2,0.2893081761006289,0.05660377358490566,0.84375,0.4375,9.84375,-0.61
230,김민우,3.55,,0.40816326530612246,0.02040816326530612,0.7042253521126761,0.8450704225352114,17.746478873239436,-0.69
231,김광수,2.03,1.0,0.35454545454545455,0.05454545454545454,0.49504950495049505,0.1485148514851485,12.02970297029703,-0.77
232,레나도,1.98,0.4,0.2880658436213992,0.04526748971193416,0.5714285714285714,0.5510204081632653,6.795918367346939,-0.78
233,김진우,2.06,0.25,0.28415300546448086,0.0273224043715847,0.5817174515235457,0.6371191135734072,7.977839335180055,-0.79
