Unnamed: 0,이름,WHIP,승률,피안타율,피홈런율,이닝당삼진,이닝당볼넷,평균자책점,선수WAR
0,린드블럼,1.07,0.7894736842105263,0.20851688693098386,0.023494860499265784,0.9334126040428062,0.2259215219976219,2.8894173602853748,6.83
1,윌슨,1.14,0.6923076923076923,0.22931785195936136,0.015965166908563134,0.8764705882352941,0.2058823529411765,3.070588235294118,6.33
2,브리검,1.2,0.6111111111111112,0.2267792521109771,0.022919179734620026,0.8793969849246231,0.25125628140703515,3.8442211055276383,5.8
3,김광현,1.14,0.5789473684210527,0.22563176895306855,0.02888086642599278,0.9558823529411764,0.22058823529411764,2.9779411764705883,5.28
4,양현종,1.31,0.5416666666666666,0.25777202072538863,0.027202072538860103,0.8256382400869093,0.23356871265616516,4.155350353068984,5.23
5,소사,1.21,0.5,0.25263157894736843,0.021052631578947368,0.9994478188845942,0.15461071231363888,3.528437327443401,4.97
6,니퍼트,1.41,0.5,0.2732026143790849,0.03398692810457516,0.9417808219178084,0.2226027397260274,4.263698630136987,4.76
7,후랭코프,1.16,0.8571428571428571,0.19001610305958133,0.01932367149758454,0.8987256874580819,0.3688799463447351,3.742454728370221,4.13
8,이용찬,1.3,0.8333333333333334,0.24835526315789475,0.023026315789473683,0.7083333333333334,0.25,3.625,3.93
9,켈리,1.26,0.631578947368421,0.2255192878338279,0.02670623145400593,1.0183428209993677,0.2972802024035421,4.098671726755218,3.9
10,피어밴드,1.37,0.5,0.26308345120226306,0.033946251768033946,0.8645003065603925,0.2329858982219497,4.304107909258124,3.79
11,최원태,1.33,0.65,0.24956672443674174,0.013864818024263429,0.7531692766592096,0.2609992542878449,3.959731543624162,3.68
12,노경은,1.19,0.6,0.23217550274223034,0.032906764168190134,0.6737320211960636,0.2271006813020439,4.08781226343679,3.42
13,박종훈,1.33,0.6363636363636364,0.22507122507122507,0.022792022792022797,0.8359522313010685,0.33940917661847897,4.186046511627906,3.39
14,최충연,1.17,0.25,0.21220930232558136,0.017441860465116282,1.188235294117647,0.3058823529411765,3.6,3.0
15,샘슨,1.38,0.6190476190476191,0.20483641536273114,0.02418207681365576,1.2096774193548387,0.4900744416873449,4.689826302729529,2.99
16,헥터,1.41,0.5238095238095238,0.2775564409030544,0.033200531208499334,0.7873563218390804,0.20689655172413796,4.6034482758620685,2.98
17,레일리,1.31,0.4583333333333333,0.23225806451612904,0.030967741935483867,0.9994385176866928,0.30320044918585065,4.750140370578327,2.97
18,함덕주,1.42,0.6666666666666666,0.19795221843003413,0.013651877133105802,1.1194029850746268,0.5522388059701493,2.955223880597015,2.96
19,송은범,1.39,0.6363636363636364,0.2258064516129032,0.0058651026392961885,0.7711757269279393,0.4171934260429836,2.503160556257902,2.94
