,이름,WHIP,승률,피안타율,피홈런율,이닝당삼진,이닝당볼넷,평균자책점,선수WAR
0,알칸타라,1.03,0.9090909090909091,0.2188679245283019,0.01509433962264151,0.9182643794147326,0.1513622603430878,2.542885973763875,8.29
1,스트레일리,1.02,0.7894736842105263,0.19047619047619047,0.01287001287001287,1.055612770339856,0.2626158599382081,2.502574665293512,7.51
2,브룩스,1.02,0.7333333333333333,0.2235494880546075,0.006825938566552901,0.8603573792190603,0.15883520847121113,2.501654533421575,7.17
3,루친스키,1.26,0.7916666666666666,0.22467532467532467,0.01818181818181818,0.912568306010929,0.3114754098360656,3.0491803278688523,5.59
4,요키시,1.06,0.631578947368421,0.225,0.009375,0.7223618090452262,0.157035175879397,2.148241206030151,5.48
5,뷰캐넌,1.27,0.6818181818181818,0.23626373626373626,0.02197802197802198,0.6946039035591275,0.28702640642939153,3.4615384615384617,4.73
6,구창모,0.81,1.0,0.16666666666666666,0.020114942528735632,1.0955961331901183,0.1933404940923738,1.7400644468313642,4.61
7,켈리,1.15,0.6818181818181818,0.22695035460992907,0.02269503546099291,0.7741190063547083,0.23108030040439054,3.3275563258232235,4.24
8,문승원,1.24,0.42857142857142855,0.22295081967213115,0.021311475409836064,0.8057851239669422,0.30991735537190085,3.65702479338843,3.88
9,플렉센,1.09,0.6666666666666666,0.2055084745762712,0.012711864406779662,1.1359724612736661,0.25817555938037867,3.0206540447504304,3.49
10,최채흥,1.25,0.6470588235294118,0.21231766612641814,0.019448946515397084,0.8424657534246576,0.3493150684931507,3.5753424657534247,3.4
11,데스파이네,1.45,0.6521739130434783,0.2571743929359823,0.019867549668874173,0.7335907335907337,0.3281853281853282,4.343629343629344,3.18
12,최원준,1.37,0.8333333333333334,0.2518796992481203,0.02819548872180451,0.7642276422764228,0.2845528455284553,3.8048780487804876,3.05
13,조상우,1.25,0.625,0.21551724137931033,0.01293103448275862,1.1829944547134934,0.33271719038817005,2.162661737523105,2.93
14,가뇽,1.42,0.5789473684210527,0.23076923076923078,0.009971509971509971,0.885678391959799,0.4020100502512563,4.353015075376884,2.87
15,라이블리,1.22,0.46153846153846156,0.20502092050209206,0.02301255230125523,0.8482142857142857,0.3482142857142857,4.258928571428571,2.72
16,박준표,0.95,0.875,0.2,0.014634146341463415,0.859375,0.15625,1.58203125,2.63
17,배제성,1.46,0.5882352941176471,0.210016155088853,0.01938610662358643,0.5882352941176471,0.5386250885896527,3.9546420978029766,2.63
18,정우영,1.03,0.5,0.15737704918032788,0.009836065573770493,0.7866666666666666,0.38666666666666666,3.12,2.62
19,쿠에바스,1.25,0.5555555555555556,0.2275449101796407,0.023952095808383235,0.6962025316455697,0.2911392405063291,4.10126582278481,2.61
20,오승환,1.24,0.6,0.21890547263681592,0.009950248756218905,0.8262711864406779,0.3177966101694915,2.669491525423729,2.61
21,주권,1.23,0.75,0.1836734693877551,0.02040816326530612,0.5285714285714286,0.45714285714285713,2.7,2.58
22,양현종,1.42,0.5238095238095238,0.24128686327077747,0.01742627345844504,0.8657757117954678,0.37187681580476467,4.706565950029053,2.56
23,브리검,1.31,0.6428571428571429,0.2149122807017544,0.013157894736842105,0.9813084112149533,0.3925233644859813,3.616822429906542,2.36
24,소형준,1.4,0.6842105263157895,0.2465034965034965,0.01048951048951049,0.6917293233082706,0.3383458646616541,3.857142857142857,2.35
25,김민우,1.46,0.3333333333333333,0.20404721753794267,0.025295109612141653,0.9379727685325265,0.5446293494704992,4.357034795763994,2.33
26,송명기,1.34,0.75,0.20967741935483872,0.03225806451612903,0.8256880733944953,0.44724770642201833,3.715596330275229,2.29
27,박민호,1.19,0.6666666666666666,0.2,0.018604651162790697,0.6923076923076923,0.36538461538461536,2.423076923076923,2.28
28,김재윤,1.27,0.625,0.2421875,0.02734375,0.9634551495016611,0.24916943521594684,3.2890365448504983,2.18
29,윤대경,1.43,1.0,0.21333333333333335,0.013333333333333334,0.8235294117647058,0.49019607843137253,1.588235294117647,2.17
30,라이트,1.44,0.55,0.23563218390804597,0.017241379310344827,0.7951653944020357,0.40076335877862596,4.694656488549619,2.01
31,박세웅,1.52,0.4444444444444444,0.2689969604863222,0.030395136778115502,0.734194425560843,0.3195105370496261,4.711080897348743,2.01
32,이영하,1.62,0.3125,0.24462809917355371,0.01487603305785124,0.6439393939393939,0.5,4.636363636363637,1.99
33,강재민,1.2,0.3333333333333333,0.2019704433497537,0.014778325123152709,1.163265306122449,0.3673469387755102,2.5714285714285716,1.96
34,박종훈,1.42,0.5416666666666666,0.21128798842257598,0.020260492040520984,0.852959898154042,0.4964990451941439,4.812221514958625,1.95
35,구승민,1.09,0.7142857142857143,0.16806722689075632,0.03361344537815126,0.9650582362728786,0.43261231281198004,3.594009983361065,1.9
36,이민호,1.41,0.5,0.21658986175115208,0.01152073732718894,0.6893004115226338,0.45267489711934156,3.7037037037037037,1.77
37,조현우,1.29,0.8333333333333334,0.19387755102040816,0.00510204081632653,0.7142857142857142,0.47619047619047616,3.1168831168831166,1.76
38,양현,1.25,0.7272727272727273,0.23673469387755103,0.0163265306122449,0.55,0.2833333333333333,3.3,1.72
39,노경은,1.35,0.3333333333333333,0.2421602787456446,0.033101045296167246,0.5789473684210527,0.3007518796992481,4.87218045112782,1.69
40,전상현,1.2,0.5,0.17676767676767677,0.020202020202020204,1.3559322033898304,0.4661016949152542,2.4788135593220337,1.6
41,이승현,1.29,0.3333333333333333,0.19911504424778761,0.048672566371681415,0.9611829944547134,0.4621072088724584,3.4935304990757854,1.59
42,김원중,1.26,0.5555555555555556,0.20883534136546184,0.0321285140562249,0.9644670050761421,0.38917089678510997,3.9593908629441623,1.57
43,원태인,1.56,0.375,0.25878594249201275,0.03035143769968051,0.5571428571428572,0.4,4.885714285714286,1.56
44,임찬규,1.41,0.5263157894736842,0.22308892355694226,0.0218408736349454,0.9375000000000001,0.4415760869565218,4.096467391304349,1.49
45,정찬헌,1.33,0.6363636363636364,0.24680851063829787,0.02127659574468085,0.7720254314259765,0.2815622161671208,3.5149863760217985,1.48
46,정해영,1.7,0.625,0.23668639053254437,0.011834319526627219,0.8602150537634408,0.6451612903225806,3.387096774193548,1.45
47,이보근,1.16,0.75,0.21875,0.010416666666666666,0.5844155844155844,0.2597402597402597,2.5324675324675323,1.45
48,김진성,1.08,1.0,0.21578947368421053,0.021052631578947368,1.1889596602972399,0.21231422505307854,2.6751592356687897,1.43
49,장시환,1.61,0.2222222222222222,0.23051409618573798,0.024875621890547265,0.8698940998487141,0.5597579425113465,5.037821482602118,1.42
50,박치국,1.38,0.5,0.20504731861198738,0.015772870662460567,0.9269662921348314,0.47752808988764045,2.907303370786517,1.41
51,홍성민,1.0,1.0,0.19230769230769232,0.019230769230769232,0.5384615384615384,0.23076923076923078,1.0384615384615385,1.37
52,임기영,1.45,0.47368421052631576,0.27191413237924866,0.02146690518783542,0.8333333333333333,0.25943396226415094,5.165094339622641,1.37
53,안우진,1.03,0.4,0.13986013986013987,0.02097902097902098,1.1388888888888888,0.4722222222222222,3.0,1.35
54,서폴드,1.49,0.43478260869565216,0.276566757493188,0.025885558583106268,0.5878787878787879,0.2545454545454545,4.909090909090909,1.33
55,함덕주,1.37,0.8333333333333334,0.22916666666666666,0.008333333333333333,0.9981851179673321,0.3811252268602541,3.9201451905626135,1.31
56,김진영,1.3,0.5,0.2077922077922078,0.025974025974025976,1.037037037037037,0.4074074074074074,3.3333333333333335,1.31
57,최동환,1.16,0.8,0.23684210526315788,0.02631578947368421,0.7368421052631579,0.21052631578947367,3.473684210526316,1.25
58,정우람,1.29,0.375,0.25217391304347825,0.017391304347826087,0.9796672828096118,0.22181146025878004,4.824399260628466,1.21
59,김대우,1.5,0.0,0.2222222222222222,0.004629629629629629,0.8757637474541752,0.5295315682281059,3.116089613034623,1.12
60,유원상,1.25,0.6666666666666666,0.1918819188191882,0.02952029520295203,0.578125,0.4375,3.796875,1.11
61,이승호,1.45,0.5,0.2553191489361702,0.029013539651837523,0.6175972927241963,0.338409475465313,5.101522842639594,1.09
62,윌슨,1.38,0.5555555555555556,0.25636942675159236,0.020700636942675158,0.7558945908460473,0.2704576976421637,4.431345353675451,1.08
63,서진용,1.41,0.2222222222222222,0.19696969696969696,0.041666666666666664,0.9180327868852459,0.5573770491803278,4.131147540983607,1.08
64,이건욱,1.53,0.3333333333333333,0.1937269372693727,0.02029520295202952,0.7459016393442623,0.6639344262295082,5.680327868852459,1.07
65,원종현,1.33,0.375,0.22857142857142856,0.0163265306122449,0.7192982456140351,0.3508771929824561,4.2631578947368425,1.06
66,임현준,1.22,0.5,0.22018348623853212,0.01834862385321101,0.7171314741035856,0.2788844621513944,1.792828685258964,1.04
67,한현희,1.31,0.4375,0.2402044293015332,0.017035775127768313,0.8062130177514794,0.27366863905325445,4.992603550295859,1.03
