Unnamed: 0,이름,WHIP,승률,피안타율,피홈런율,이닝당삼진,이닝당볼넷,평균자책점,선수WAR
0,헥터,1.32,0.8,0.25878220140515223,0.024590163934426233,0.7405566600397615,0.2236580516898609,3.4890656063618293,5.86
1,장원준,1.24,0.6086956521739131,0.22631578947368425,0.015789473684210527,0.6940588561910049,0.2831760133259301,3.148250971682399,5.4
2,피어밴드,1.15,0.4444444444444444,0.2328767123287671,0.030441400304413998,0.825,0.19375,3.0375,5.34
3,켈리,1.31,0.6956521739130435,0.2503067484662577,0.0196319018404908,0.9947368421052633,0.2368421052631579,3.6,5.11
4,레일리,1.3,0.65,0.2493734335839599,0.023809523809523808,0.8337787279529664,0.2351683591662213,3.800106894708712,5.07
5,허프,0.91,0.6,0.20408163265306126,0.014285714285714284,0.789049919484702,0.11272141706924314,2.391304347826087,4.95
6,박세웅,1.32,0.6666666666666666,0.23448275862068965,0.028965517241379312,0.6838106370543542,0.3272939801285798,3.6820572764465225,4.67
7,양현종,1.31,0.7692307692307693,0.2586633663366337,0.02103960396039604,0.8182288969445883,0.2330398757120663,3.4489901605385813,4.6
8,해커,1.17,0.631578947368421,0.23660714285714285,0.02083333333333333,0.6058713304184885,0.1811367895065584,3.4291068082448466,4.52
9,소사,1.23,0.5,0.2457737321196359,0.014304291287386216,0.826580226904376,0.20529443544030251,3.8897893030794166,4.22
10,차우찬,1.19,0.5882352941176471,0.2336065573770492,0.0273224043715847,0.8961187214611873,0.2168949771689498,3.4417808219178085,4.21
11,손승락,1.13,0.25,0.23600000000000002,0.027999999999999997,1.0,0.1774193548387097,2.177419354838709,4.13
12,윤성환,1.25,0.5714285714285714,0.2476060191518468,0.030095759233926125,0.7466973004020678,0.2125215393452039,4.290637564618036,3.73
13,박종훈,1.36,0.631578947368421,0.2183734939759036,0.024096385542168683,0.7081403044341495,0.40370615486432826,4.109861019192588,3.51
14,팻딘,1.42,0.5625,0.274025974025974,0.028571428571428567,0.8125,0.2215909090909091,4.142045454545454,3.51
15,니퍼트,1.4,0.6363636363636364,0.2237851662404092,0.02557544757033248,0.8984375000000001,0.4296875,4.068080357142858,3.45
16,최원태,1.31,0.6111111111111112,0.25274725274725274,0.029827315541601257,0.8450704225352113,0.2280348759221999,4.466800804828973,3.42
17,밴헤켄,1.32,0.5333333333333333,0.2368866328257191,0.021996615905245348,1.0065170166545985,0.30412744388124546,3.779869659666909,3.31
18,함덕주,1.4,0.5294117647058824,0.2140468227424749,0.013377926421404682,1.013858497447119,0.4668125455871627,3.676148796498906,3.23
19,정우람,1.12,0.6,0.1902834008097166,0.020242914979757085,1.3220338983050848,0.3220338983050847,2.7457627118644066,2.88
20,송승준,1.33,0.6875,0.23655913978494625,0.034050179211469536,0.8685626441199078,0.3151421983089931,4.219830899308223,2.8
21,브리검,1.33,0.625,0.2681744749596123,0.02746365105008077,0.6805555555555556,0.18055555555555555,4.375,2.77
22,임기영,1.32,0.5714285714285714,0.2776659959758551,0.018108651911468814,0.6181202370872143,0.15241320914479256,3.6579170194750215,2.76
23,다이아몬드,1.47,0.5882352941176471,0.2805507745266781,0.0189328743545611,0.4399701715137957,0.2609992542878449,4.429530201342282,2.64
24,오간도,1.32,0.6666666666666666,0.24210526315789474,0.016842105263157894,0.6727272727272727,0.2727272727272727,3.9272727272727272,2.6
25,김진성,1.1,0.625,0.1994459833795014,0.036011080332409975,1.0986547085201794,0.30269058295964124,3.6322869955156944,2.56
26,고영표,1.31,0.4,0.2777777777777778,0.02124183006535948,0.8852691218130312,0.11331444759206802,5.09915014164306,2.52
27,맨쉽,1.29,0.75,0.23430962343096234,0.014644351464435146,0.7664884135472371,0.29411764705882354,3.6898395721925135,2.45
28,비야누에바,1.17,0.4166666666666667,0.23427331887201736,0.026030368763557483,0.6071428571428571,0.20535714285714285,4.178571428571429,2.41
29,신재영,1.3,0.4615384615384616,0.25512104283054005,0.0260707635009311,0.6,0.2,4.5360000000000005,2.36
30,린드블럼,1.16,0.625,0.22297297297297294,0.03378378378378378,1.0526315789473684,0.2493074792243767,3.7396121883656512,2.35
31,유희관,1.43,0.6470588235294118,0.2773722627737226,0.024330900243309004,0.5632306057385761,0.21785334750265675,4.543039319872476,2.34
32,로치,1.58,0.21052631578947367,0.2691790040376851,0.024226110363391656,0.6,0.3636363636363637,4.6909090909090905,2.28
