,이름,WHIP,승률,피안타율,피홈런율,이닝당삼진,이닝당볼넷,평균자책점,선수WAR
0,양현종,1.07,0.6666666666666666,0.22571819425444598,0.008207934336525308,0.8849077090119436,0.17915309446254074,2.2964169381107493,7.41
1,린드블럼,1.0,0.8695652173913043,0.21345407503234154,0.016817593790426907,0.9732234809474769,0.14933058702368693,2.502574665293512,6.83
2,김광현,1.24,0.7391304347826086,0.25190839694656486,0.01653944020356234,0.9468700683850605,0.1998947922146239,2.5092056812204104,6.38
3,산체스,1.17,0.7727272727272727,0.22503725782414308,0.0029806259314456036,0.896969696969697,0.2545454545454545,2.618181818181818,5.91
4,루친스키,1.18,0.5,0.2243502051983584,0.017783857729138167,0.6719367588932806,0.2540937323546019,3.0491247882552233,4.7
5,채드벨,1.31,0.5238095238095238,0.22563417890520696,0.018691588785046728,0.756634669678148,0.3557312252964427,3.5064935064935066,4.45
6,요키시,1.13,0.5909090909090909,0.2225201072386059,0.012064343163538873,0.778575372722253,0.21535063500828272,3.1308669243511873,4.21
7,서폴드,1.27,0.5217391304347826,0.23580246913580247,0.009876543209876543,0.702758979698074,0.28110359187922956,3.5137948984903695,4.18
8,레일리,1.41,0.2631578947368421,0.24146649810366624,0.012642225031605562,0.7734806629834254,0.35911602209944754,3.8784530386740332,4.1
9,고우석,1.09,0.8,0.16319444444444445,0.013888888888888888,1.0704225352112675,0.4225352112676056,1.5211267605633803,4.0
10,켈리,1.14,0.5384615384615384,0.21954484605087016,0.009370816599732263,0.6996113270405331,0.22765130483064966,2.5485841199333703,3.97
11,박진우,1.18,0.5625,0.23220338983050848,0.015254237288135594,0.6562054208273895,0.20684736091298148,3.145506419400856,3.86
12,정우람,1.25,0.5714285714285714,0.24050632911392406,0.016877637130801686,0.8261617900172117,0.27538726333907054,1.549053356282272,3.81
13,브리검,1.23,0.7222222222222222,0.22122571001494767,0.007473841554559043,0.8222643896268185,0.290955091714105,2.9601518026565468,3.67
14,쿠에바스,1.17,0.5652173913043478,0.2013157894736842,0.02368421052631579,0.7336956521739131,0.3423913043478261,3.619565217391304,3.58
15,유희관,1.28,0.5789473684210527,0.24710982658959538,0.011560693641618497,0.38531005418422637,0.25285972305839854,3.25105358217941,3.52
16,윌슨,1.16,0.6666666666666666,0.22411533420707733,0.009174311926605505,0.7405405405405405,0.23243243243243245,2.918918918918919,3.39
17,하재훈,1.24,0.625,0.19183673469387755,0.004081632653061225,1.0847457627118644,0.4406779661016949,1.9830508474576272,3.09
18,최원태,1.28,0.6875,0.24774774774774774,0.0075075075075075074,0.6683640992998091,0.22915340547422025,3.3800127307447485,3.07
19,이영하,1.28,0.8095238095238095,0.2138728323699422,0.0072254335260115606,0.5518087063151441,0.3740036787247088,3.641937461679951,3.01
20,문경찬,1.0,0.3333333333333333,0.2073732718894009,0.009216589861751152,0.9090909090909091,0.18181818181818182,1.309090909090909,2.89
21,문승원,1.13,0.6111111111111112,0.22184300341296928,0.03924914675767918,0.6875,0.22916666666666666,3.875,2.87
22,알칸타라,1.25,0.5,0.2610497237569061,0.020718232044198894,0.5807200929152149,0.15679442508710803,4.024390243902439,2.74
23,구창모,1.19,0.5882352941176471,0.18930957683741648,0.022271714922048998,1.0654205607476634,0.3925233644859813,3.196261682242991,2.7
24,서진용,1.19,0.75,0.18996415770609318,0.007168458781362007,1.1176470588235294,0.4117647058823529,2.3823529411764706,2.63
25,후랭코프,1.19,0.5294117647058824,0.2222222222222222,0.010101010101010102,0.9479077711357814,0.25619128949615716,3.6122971818958156,2.58
26,프리드릭,1.18,0.6363636363636364,0.21428571428571427,0.013605442176870748,0.7777777777777778,0.3055555555555556,2.75,2.4
27,배제성,1.43,0.5,0.23404255319148937,0.010638297872340425,0.6935975609756098,0.426829268292683,3.772865853658537,2.3
28,박준표,0.86,0.7142857142857143,0.2,0.01904761904761905,0.5357142857142857,0.10714285714285714,2.0892857142857144,2.16
29,주권,1.04,0.75,0.21621621621621623,0.02364864864864865,0.6258322237017311,0.18641810918774968,2.9960053262316912,2.14
30,박종훈,1.5,0.42105263157894735,0.24416796267496113,0.01866251944012442,0.6944444444444444,0.4097222222222222,3.875,2.08
31,다익손,1.37,0.375,0.2526964560862866,0.023112480739599383,0.7847082494969819,0.2682763246143528,4.346076458752515,2.07
32,백정현,1.36,0.4444444444444444,0.23338257016248154,0.025110782865583457,0.5222929936305732,0.35668789808917195,4.24203821656051,2.06
33,우규민,1.15,0.2222222222222222,0.23481781376518218,0.02834008097165992,0.6779661016949152,0.1694915254237288,2.7457627118644066,1.99
34,소사,1.15,0.75,0.21963824289405684,0.03875968992248062,1.0201912858661,0.24442082890541977,3.8257173219978746,1.92
35,진명호,1.44,0.6,0.20512820512820512,0.014652014652014652,0.8082408874801902,0.554675118858954,3.4231378763866878,1.89
36,전상현,1.09,0.2,0.1836734693877551,0.012244897959183673,1.0299003322259135,0.3488372093023256,3.13953488372093,1.86
37,이재학,1.36,0.7142857142857143,0.2375,0.010714285714285714,0.7043343653250774,0.3328173374613003,3.8312693498452015,1.75
38,조상우,1.12,0.3333333333333333,0.234375,0.015625,0.9766454352441614,0.16985138004246284,2.6751592356687897,1.74
39,장필준,1.39,0.5,0.2119205298013245,0.023178807947019868,0.7658959537572254,0.47687861271676296,3.6416184971098264,1.73
40,김상수,1.38,0.375,0.21008403361344538,0.012605042016806723,1.0676156583629892,0.49822064056939497,2.882562277580071,1.72
41,김재윤,0.82,0.5,0.15254237288135594,0.022598870056497175,0.8898305084745762,0.2542372881355932,2.2881355932203387,1.72
42,윌랜드,1.52,0.4444444444444444,0.2630853994490358,0.023415977961432508,0.8303030303030303,0.3575757575757576,4.745454545454545,1.68
43,윤명준,1.22,0.75,0.22580645161290322,0.010752688172043012,0.5873715124816447,0.2936857562408223,2.643171806167401,1.61
44,오주원,1.12,0.5,0.242152466367713,0.004484304932735426,0.7578558225508317,0.12939001848428835,2.32902033271719,1.6
45,최성영,1.54,0.8,0.21467391304347827,0.008152173913043478,0.7551766138855055,0.584652862362972,3.9464068209500613,1.47
46,차우찬,1.43,0.6190476190476191,0.24794520547945206,0.021917808219178082,0.7376561570493754,0.3509815585960738,4.122546103509816,1.43
47,김성민,1.14,1.0,0.23043478260869565,0.0,0.6773618538324421,0.19607843137254902,2.5668449197860963,1.39
48,이용찬,1.44,0.4117647058823529,0.25806451612903225,0.02304147465437788,0.6887238352464551,0.3038487508440243,4.071573261309926,1.32
49,최원준,1.25,0.3333333333333333,0.22807017543859648,0.0043859649122807015,0.7024029574861368,0.29574861367837335,2.6617375231053604,1.29
50,윤영삼,1.18,0.5,0.23622047244094488,0.01968503937007874,0.9003215434083601,0.22508038585209003,2.8938906752411575,1.28
51,박민호,1.25,0.75,0.23444976076555024,0.009569377990430622,0.43912175648702595,0.27944111776447106,2.6946107784431135,1.26
52,고영창,1.43,0.25,0.25925925925925924,0.00823045267489712,0.4074074074074074,0.25925925925925924,3.5,1.21
53,이형범,1.25,0.6666666666666666,0.22093023255813954,0.015503875968992248,0.5081967213114754,0.3114754098360656,2.6557377049180326,1.2
54,양현,1.03,1.0,0.1949685534591195,0.006289308176100629,0.6218905472636815,0.2736318407960199,2.014925373134328,1.2
